time,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG
2000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0
2001.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0
2002.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0
2003.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0
2004.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0
2005.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0
2006.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0
2007.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0
2008.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0
2009.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0
2010.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0
2011.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0
2012.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0
2013.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0
2014.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0
2015.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0
2016.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0
2017.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0
2018.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0
2019.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0
2020.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0
2021.0,44269088000000.0,44362377000000.0,44286406000000.0,44211810000000.0
2022.0,44215694000000.0,44338776000000.0,44158790000000.0,44151815000000.0
2023.0,44147168000000.0,44240264000000.0,44062753000000.0,44090180000000.0
2024.0,44034090000000.0,44181016000000.0,44028167000000.0,44050376000000.0
2025.0,43971804000000.0,44043930000000.0,43882155000000.0,44027395000000.0
2026.0,43809572000000.0,43999105000000.0,43856620000000.0,43957770000000.0
2027.0,43689838000000.0,43987793000000.0,43712646000000.0,43886740000000.0
2028.0,43546680000000.0,43935750000000.0,43488096000000.0,43745488000000.0
2029.0,43434600000000.0,43888380000000.0,43468534000000.0,43650910000000.0
2030.0,43234670000000.0,43886253000000.0,43494940000000.0,43538490000000.0
2031.0,43046066000000.0,43895648000000.0,43406617000000.0,43429254000000.0
2032.0,42985100000000.0,43922227000000.0,43259150000000.0,43304348000000.0
2033.0,42860703000000.0,43932560000000.0,43238057000000.0,43144494000000.0
2034.0,42743292000000.0,43892292000000.0,43054078000000.0,42963130000000.0
2035.0,42697710000000.0,43763700000000.0,42928350000000.0,42879364000000.0
2036.0,42609370000000.0,43732940000000.0,42973425000000.0,42746750000000.0
2037.0,42483304000000.0,43678156000000.0,42922276000000.0,42612540000000.0
2038.0,42408574000000.0,43602140000000.0,42776610000000.0,42483760000000.0
2039.0,42265550000000.0,43578690000000.0,42750450000000.0,42405430000000.0
2040.0,42212220000000.0,43550130000000.0,42728520000000.0,42169030000000.0
2041.0,42163820000000.0,43545524000000.0,42657470000000.0,41956047000000.0
2042.0,42073978000000.0,43437676000000.0,42432580000000.0,41845757000000.0
2043.0,41924290000000.0,43329115000000.0,42446770000000.0,41709493000000.0
2044.0,41742313000000.0,43310622000000.0,42434776000000.0,41579885000000.0
2045.0,41501527000000.0,43258743000000.0,42240910000000.0,41401123000000.0
2046.0,41337560000000.0,43140954000000.0,42080580000000.0,41209680000000.0
2047.0,41170040000000.0,43034817000000.0,42005602000000.0,40931360000000.0
