time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2000.0,712178049400.0,712222787400.0,712224990400.0,712102108400.0
2001.0,711750566500.0,711793627500.0,711795825500.0,711674865000.0
2002.0,710636332000.0,710678021000.0,710680214000.0,710560388500.0
2003.0,710155666700.0,710197094700.0,710199343700.0,710076817300.0
2004.0,710462674800.0,710509058800.0,710511241800.0,710369743800.0
2005.0,709590619700.0,709634200700.0,709636376700.0,709506891300.0
2006.0,709508304600.0,709555127600.0,709557298600.0,709434191500.0
2007.0,708484672500.0,708528410500.0,708530573500.0,708408528200.0
2008.0,707520160300.0,707561675300.0,707563831300.0,707442401300.0
2009.0,707579445000.0,707620430000.0,707622580000.0,707502111500.0
2010.0,705976597900.0,706020106900.0,706022241900.0,705897723400.0
2011.0,706824238200.0,706866500200.0,706868611200.0,706747178800.0
2012.0,705228544500.0,705270292500.0,705272392500.0,705151930300.0
2013.0,705035236200.0,705079680200.0,705081771200.0,704961368100.0
2014.0,705879059700.0,705922167700.0,705924313700.0,705803797300.0
2015.0,703853006700.0,703896462700.0,703898467700.0,703777724200.0
2016.0,704691984100.0,704744254100.0,704746254100.0,704623474200.0
2017.0,701268059900.0,701312470900.0,701314408900.0,701193848100.0
2018.0,700947856400.0,700989484400.0,700991416400.0,700871082200.0
2019.0,702105828800.0,702146973800.0,702148889800.0,702028651200.0
2020.0,699437834100.0,699482809100.0,699484687100.0,699362500300.0
2021.0,697679130900.0,697483860900.0,698093150500.0,697591356300.0
2022.0,696681562100.0,696280163700.0,697521649800.0,696818267700.0
2023.0,694570721800.0,694753600000.0,695661173750.0,695238408200.0
2024.0,694212982310.0,693987397140.0,694976676100.0,693913447300.0
2025.0,692622104560.0,691834552460.0,694120347500.0,692777384500.0
2026.0,690650729540.0,691125569060.0,692510157460.0,692102604400.0
2027.0,689817042600.0,689588831140.0,690010091860.0,689806333950.0
2028.0,687862575900.0,688440398600.0,688681101300.0,687665243840.0
2029.0,687131280740.0,687640966600.0,686612344500.0,686269454170.0
2030.0,686672000950.0,684097170100.0,684734376660.0,683931467800.0
2031.0,683370018400.0,681820235100.0,683078205000.0,682552333710.0
2032.0,681765079280.0,680081750900.0,679945022400.0,681056736810.0
2033.0,680173145310.0,677834653100.0,677667130940.0,678412267270.0
2034.0,677314394850.0,675851683120.0,675277942300.0,678221801250.0
2035.0,674924228600.0,672906806530.0,672159692660.0,674471751900.0
2036.0,672931271770.0,671130534250.0,669696231740.0,673468109670.0
2037.0,670568065440.0,669298007010.0,667094814690.0,670684397640.0
2038.0,668577249860.0,665827163100.0,663548721550.0,670180567560.0
2039.0,666331111500.0,662964718600.0,660070426400.0,665650140550.0
2040.0,663580203840.0,661316042450.0,657969623740.0,663731779300.0
2041.0,661150904500.0,657900849600.0,653703777480.0,660459766920.0
2042.0,657750084140.0,654334416300.0,650186655160.0,658709020460.0
2043.0,655770455640.0,650874751650.0,648162292940.0,655769242860.0
2044.0,652868428500.0,648038364270.0,643337818060.0,654595716730.0
2045.0,649479055000.0,645545102720.0,639100568990.0,651872281880.0
