time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,712063755400.0,712205499000.0,712224990400.0
2001.0,711635605500.0,711777002500.0,711795825500.0
2002.0,710520318000.0,710661321700.0,710680214000.0
2003.0,710039515700.0,710180269100.0,710199343700.0
2004.0,710345062800.0,710489790400.0,710511241800.0
2005.0,709473811700.0,709614220400.0,709636376700.0
2006.0,709392877600.0,709536435200.0,709557298600.0
2007.0,708368704500.0,708509716500.0,708530573500.0
2008.0,707403213300.0,707543427200.0,707563831300.0
2009.0,707461824000.0,707603100000.0,707622580000.0
2010.0,705861859900.0,706002427500.0,706022241900.0
2011.0,706708144200.0,706848787000.0,706868611200.0
2012.0,705112557500.0,705253039900.0,705272392500.0
2013.0,704922438200.0,705062404500.0,705081771200.0
2014.0,705765323700.0,705905073500.0,705924313700.0
2015.0,703739606700.0,703879332800.0,703898467700.0
2016.0,704577703100.0,704725224900.0,704746254100.0
2017.0,701154344900.0,701295495000.0,701314408900.0
2018.0,700832859400.0,700972665800.0,700991416400.0
2019.0,701990932800.0,702130284800.0,702148889800.0
2020.0,699322187100.0,699464792600.0,699484687100.0
2021.0,697152071100.0,697943097700.0,697902189100.0
2022.0,696364150100.0,697889276800.0,696789310500.0
2023.0,695664777100.0,695194544200.0,696589065400.0
2024.0,694380180540.0,694421651600.0,693946041800.0
2025.0,692215025250.0,692817506000.0,693101504600.0
2026.0,690680481290.0,692204989400.0,690768958850.0
2027.0,689164874450.0,691334076160.0,689128790000.0
2028.0,687845447740.0,689790130500.0,687163290560.0
2029.0,686607271200.0,687010081140.0,684767061400.0
2030.0,684640682900.0,685478988300.0,682631965600.0
2031.0,684740655500.0,683874194300.0,680006651840.0
2032.0,681872707850.0,682167500000.0,677722216860.0
2033.0,680342120900.0,679598599840.0,675049239340.0
2034.0,677145441300.0,676994780960.0,673467282950.0
2035.0,674869361840.0,675649809270.0,670212483540.0
2036.0,673378810930.0,673264904090.0,666989703200.0
2037.0,671267689860.0,671815520500.0,664281244750.0
2038.0,667658269640.0,668481678860.0,661034375740.0
2039.0,664987398740.0,666384269040.0,657895362000.0
2040.0,662293078500.0,664035091640.0,655626457640.0
2041.0,659446537950.0,662350718350.0,652378191600.0
2042.0,655747871450.0,659118376800.0,650085638100.0
2043.0,653016907620.0,656274915860.0,646334878040.0
2044.0,649899997910.0,653180880200.0,642777573600.0
2045.0,646629524300.0,650347106210.0,639326192500.0
2046.0,642639254040.0,647090226970.0,635931374480.0
2047.0,639188653680.0,643413979750.0,632909246390.0
2048.0,635964885950.0,640510301830.0,630602571590.0
2049.0,631839106660.0,637063355040.0,626193882200.0
2050.0,628570444440.0,634038501480.0,623594339030.0
2051.0,625434875180.0,629784251990.0,620333214920.0
2052.0,622417788810.0,626219493060.0,616381891230.0
