time,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3-VEG
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87477720000.0,87520270000.0,87482320000.0,87273920000.0
2022.0,87450730000.0,87463410000.0,87546770000.0,87305560000.0
2023.0,87624340000.0,87013800000.0,87127140000.0,87307130000.0
2024.0,87313600000.0,86821356000.0,87109330000.0,86882900000.0
2025.0,87067950000.0,86654130000.0,87085480000.0,86739500000.0
2026.0,87079174000.0,87637850000.0,86914286000.0,86511010000.0
2027.0,87160046000.0,86614620000.0,87031380000.0,86543240000.0
2028.0,86794445000.0,86343570000.0,86519540000.0,86309050000.0
2029.0,86672910000.0,86120270000.0,86314920000.0,86171880000.0
2030.0,86853345000.0,85946930000.0,86161140000.0,85896995000.0
2031.0,86553100000.0,85694350000.0,86063390000.0,85733330000.0
2032.0,86364200000.0,85529215000.0,86196220000.0,85844800000.0
2033.0,86803540000.0,85299770000.0,86168290000.0,85433336000.0
2034.0,86897430000.0,85110870000.0,85472000000.0,85153030000.0
2035.0,86883940000.0,84899365000.0,85282200000.0,84848690000.0
2036.0,86242280000.0,84523360000.0,85059180000.0,84813800000.0
2037.0,86188710000.0,84794065000.0,85127150000.0,84567760000.0
2038.0,85795684000.0,83999850000.0,84643500000.0,84247044000.0
2039.0,85620670000.0,83674910000.0,84944580000.0,84275724000.0
2040.0,85841770000.0,83288875000.0,84274240000.0,83828750000.0
2041.0,85592244000.0,83000450000.0,84122310000.0,83461510000.0
2042.0,85126640000.0,82944780000.0,83834135000.0,83108364000.0
2043.0,85198100000.0,82280200000.0,83552050000.0,83296190000.0
2044.0,84911130000.0,81975210000.0,83359820000.0,83504280000.0
2045.0,85989310000.0,81855800000.0,83329960000.0,82779865000.0
2046.0,84751204000.0,81508720000.0,82866210000.0,82712570000.0
2047.0,84558080000.0,81124290000.0,82944360000.0,82251740000.0
2048.0,84545790000.0,80703660000.0,82324010000.0,82166540000.0
2049.0,84373100000.0,81039060000.0,82022660000.0,81812950000.0
2050.0,83930020000.0,80306250000.0,82990160000.0,81885580000.0
2051.0,83802990000.0,80300090000.0,82165450000.0,82235195000.0
2052.0,83697690000.0,79655780000.0,81845270000.0,81523550000.0
2053.0,83621265000.0,79152840000.0,81529490000.0,81418510000.0
2054.0,83330720000.0,78810490000.0,81258226000.0,80911790000.0
2055.0,83358550000.0,78437100000.0,80798890000.0,80847750000.0
2056.0,83181040000.0,78048770000.0,80950270000.0,80175430000.0
2057.0,83235710000.0,77738250000.0,80722166000.0,80182430000.0
2058.0,82877145000.0,77334405000.0,80246650000.0,79489830000.0
2059.0,82836630000.0,77583065000.0,79967180000.0,79069210000.0
2060.0,82410850000.0,76770960000.0,79927510000.0,78652560000.0
2061.0,82561180000.0,79404384000.0,79988200000.0,78722064000.0
2062.0,82347565000.0,77948830000.0,79170000000.0,79052130000.0
2063.0,81958250000.0,76060750000.0,78803500000.0,77930310000.0
2064.0,82046000000.0,78281695000.0,78812220000.0,77889905000.0
2065.0,82442270000.0,76274660000.0,78469660000.0,77388500000.0
2066.0,81683670000.0,76484290000.0,78044110000.0,77087060000.0
2067.0,82483250000.0,76007360000.0,78348960000.0,77206310000.0
2068.0,81432070000.0,75731436000.0,78056220000.0,76915474000.0
2069.0,81484440000.0,76645310000.0,77661450000.0,76270576000.0
2070.0,81331820000.0,74867290000.0,78038790000.0,76036650000.0
2071.0,81121680000.0,76222915000.0,77596960000.0,75510660000.0
2072.0,80779810000.0,74569520000.0,77339754000.0,76654610000.0
2073.0,80539210000.0,74134820000.0,76666450000.0,75159980000.0
