time,MRI-ESM2-0,CESM2-WACCM,CANESM5,IPSL-CM6A-LR
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87399700000.0,87644720000.0,88248880000.0,87402635000.0
2022.0,87255500000.0,87369105000.0,87528420000.0,87453190000.0
2023.0,86928744000.0,87281040000.0,87624860000.0,87043360000.0
2024.0,86791586000.0,87179980000.0,86965900000.0,87086105000.0
2025.0,86773630000.0,86871090000.0,86666300000.0,87217030000.0
2026.0,86487800000.0,86760650000.0,86530920000.0,86789760000.0
2027.0,86579100000.0,86781714000.0,86554800000.0,86682370000.0
2028.0,86440880000.0,86767400000.0,86130180000.0,86496980000.0
2029.0,86201850000.0,86342600000.0,85908140000.0,86225990000.0
2030.0,86038420000.0,86237880000.0,85790070000.0,86070240000.0
2031.0,85776530000.0,85992145000.0,85706810000.0,86222870000.0
2032.0,85481510000.0,85933680000.0,85075190000.0,85581430000.0
2033.0,85346030000.0,85620170000.0,85150250000.0,85308290000.0
2034.0,85001440000.0,85372380000.0,84519620000.0,85044210000.0
2035.0,84769540000.0,85270160000.0,84358390000.0,85070150000.0
2036.0,84722100000.0,85368996000.0,83780930000.0,84793360000.0
2037.0,84375030000.0,84931970000.0,83461950000.0,84594510000.0
2038.0,83941330000.0,84633890000.0,83260890000.0,84395246000.0
2039.0,83669720000.0,84352200000.0,83089820000.0,83824500000.0
2040.0,83727080000.0,83972900000.0,82399390000.0,84754180000.0
2041.0,83506600000.0,83749190000.0,81717486000.0,83296715000.0
2042.0,82755190000.0,83563420000.0,81078080000.0,83163310000.0
2043.0,82251930000.0,83213840000.0,80499830000.0,82430420000.0
2044.0,81841780000.0,82858560000.0,80450250000.0,82074400000.0
2045.0,81272455000.0,82656580000.0,79663964000.0,81728725000.0
2046.0,80796280000.0,82139520000.0,79038644000.0,81450030000.0
2047.0,80202420000.0,81834310000.0,78408610000.0,81046890000.0
2048.0,79643400000.0,81626470000.0,77919580000.0,80333790000.0
2049.0,79271250000.0,81335770000.0,77406945000.0,79945490000.0
2050.0,78850890000.0,80719650000.0,76783500000.0,79661335000.0
2051.0,78247600000.0,80320760000.0,76106600000.0,78903270000.0
2052.0,77733150000.0,79780970000.0,75260540000.0,78996130000.0
2053.0,77080740000.0,79177840000.0,74607850000.0,78024700000.0
2054.0,76545010000.0,78620890000.0,73972390000.0,77703040000.0
2055.0,76260114000.0,78079970000.0,73087210000.0,77023430000.0
2056.0,75571905000.0,77473956000.0,73098640000.0,77083320000.0
2057.0,75126190000.0,77028160000.0,72076435000.0,76339090000.0
2058.0,74464354000.0,76516680000.0,71217520000.0,75771590000.0
2059.0,73885410000.0,75935830000.0,70497080000.0,75285690000.0
2060.0,73423690000.0,75481390000.0,69690500000.0,74860536000.0
2061.0,72875475000.0,74812880000.0,69161460000.0,73885310000.0
2062.0,72350515000.0,74215170000.0,68342292000.0,73134680000.0
2063.0,71906290000.0,74038256000.0,67581583000.0,72346200000.0
2064.0,71324900000.0,73565020000.0,67492196000.0,72098185000.0
2065.0,70947370000.0,72734090000.0,66138470000.0,71639340000.0
2066.0,70579300000.0,72404870000.0,65467232000.0,70944990000.0
2067.0,70076190000.0,71667410000.0,64786547000.0,70785384000.0
2068.0,69652365000.0,71180410000.0,64402670000.0,69719590000.0
2069.0,70081040000.0,70529690000.0,63313230000.0,69058540000.0
2070.0,70772780000.0,69872800000.0,62642250000.0,68364860000.0
2071.0,69185290000.0,70057150000.0,61968773000.0,67853033000.0
2072.0,68203713000.0,69283220000.0,61472790000.0,67353550000.0
2073.0,67654685000.0,68942840000.0,60647588000.0,66883764000.0
