time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GISS-E2-R,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0
2001.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0
2002.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0
2003.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0
2004.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0
2005.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0
2006.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0
2007.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0
2008.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0
2009.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0
2010.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0
2011.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0
2012.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0
2013.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0
2014.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0
2015.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0
2016.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0
2017.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0
2018.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0
2019.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0
2020.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0
2021.0,33700710000.0,33692150000.0,33706449000.0,33698410000.0,33705146000.0,33705540000.0,33699664000.0,33699654000.0,33698820000.0,33700598000.0
2022.0,33692903000.0,33688003000.0,33694157000.0,33687536000.0,33691190000.0,33699138000.0,33688090000.0,33693702000.0,33686520000.0,33682012000.0
2023.0,33681695000.0,33674328000.0,33669456000.0,33673460000.0,33681215000.0,33684689000.0,33675590000.0,33676691000.0,33673628000.0,33658063000.0
2024.0,33669351000.0,33655130000.0,33657944000.0,33657420000.0,33664549000.0,33675490000.0,33674971000.0,33667660000.0,33667041000.0,33643123000.0
2025.0,33659533000.0,33636002000.0,33676087000.0,33638085000.0,33639944000.0,33656064000.0,33668968000.0,33642662000.0,33642764000.0,33599298000.0
2026.0,33643282000.0,33602523000.0,33643060000.0,33616947000.0,33623728000.0,33637910000.0,33653445000.0,33619644000.0,33621676000.0,33584194000.0
2027.0,33610988000.0,33587517000.0,33614412000.0,33596426000.0,33606838000.0,33624810000.0,33634933000.0,33612240000.0,33620058000.0,33565870000.0
2028.0,33609914000.0,33567764000.0,33598415000.0,33569186000.0,33601667000.0,33607946000.0,33619126000.0,33591796000.0,33607203000.0,33526325000.0
2029.0,33598368000.0,33532822000.0,33567414000.0,33527822000.0,33583831000.0,33592110000.0,33593754000.0,33576397000.0,33589987000.0,33494727000.0
2030.0,33551503000.0,33507641000.0,33555116000.0,33497723000.0,33553973000.0,33556179000.0,33583233000.0,33566685000.0,33554944000.0,33466479000.0
2031.0,33516745000.0,33484950000.0,33538613000.0,33469977000.0,33539031000.0,33532443000.0,33560580000.0,33524996000.0,33532522000.0,33405470000.0
2032.0,33490774000.0,33464635000.0,33526817000.0,33447470000.0,33515258000.0,33483180000.0,33533490000.0,33505376000.0,33522311000.0,33340674000.0
2033.0,33467419000.0,33442470000.0,33494250000.0,33420958000.0,33496891000.0,33454696000.0,33517476000.0,33478437000.0,33508604000.0,33288890000.0
2034.0,33448038000.0,33411471000.0,33455862000.0,33371875000.0,33484564000.0,33425054000.0,33500705000.0,33433182000.0,33487835000.0,33221337000.0
2035.0,33404105000.0,33371857000.0,33422720000.0,33285485000.0,33459761000.0,33305706000.0,33484866000.0,33401930000.0,33483162000.0,33120424000.0
2036.0,33350128000.0,33336476000.0,33317786000.0,33264420000.0,33425338000.0,33253868000.0,33460260000.0,33369975000.0,33440106000.0,33038115000.0
2037.0,33314355000.0,33299739000.0,33265360000.0,33224915000.0,33394708000.0,33204000000.0,33428451000.0,33314260000.0,33407095000.0,32952148000.0
2038.0,33247349000.0,33225904000.0,33159930000.0,33181254000.0,33374503000.0,33055676000.0,33397203000.0,33282013000.0,33390504000.0,32879704000.0
2039.0,33213460000.0,33189122000.0,33120350000.0,33123492000.0,33345905000.0,32962000000.0,33358305000.0,33242653000.0,33361027000.0,32787853000.0
2040.0,33184856000.0,33127674000.0,33070115000.0,33028014000.0,33355737000.0,32895953000.0,33332814000.0,33156469000.0,33334962000.0,32641841000.0
2041.0,33145911000.0,33064268000.0,32999550000.0,32977953000.0,33322228000.0,32798513000.0,33311697000.0,33125894000.0,33289427000.0,32572582000.0
2042.0,33094384000.0,33003708000.0,32916392000.0,32914979000.0,33293017000.0,32609524000.0,33273922000.0,33058073000.0,33258672000.0,32433846000.0
2043.0,33085233000.0,32910127000.0,32842460000.0,32847165000.0,33248293000.0,32514329000.0,33232228000.0,32992266000.0,33182198000.0,32301779000.0
