time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2044.0,32836626000.0,32949834000.0,33170650000.0,32274067000.0,33241244000.0,32568891000.0,33321486000.0,32626332000.0,31879672000.0,32944056000.0
2045.0,32736408000.0,32840720000.0,33130545000.0,32132903000.0,33190918000.0,32471587000.0,33286971000.0,32500486000.0,31664132000.0,32887032000.0
2046.0,32650189000.0,32779252000.0,33090077000.0,31985402000.0,33111658000.0,32336976000.0,33263954000.0,32364430000.0,31484100000.0,32805782000.0
2047.0,32567366000.0,32724550000.0,33052670000.0,31901143000.0,33031200000.0,32193640000.0,33239419000.0,32221215000.0,31216028000.0,32758673000.0
2048.0,32445667000.0,32668654000.0,32979608000.0,31784974000.0,32948873000.0,32067383000.0,33202307000.0,32068227000.0,31036449000.0,32705622000.0
2049.0,32353722000.0,32563778000.0,32920154000.0,31695903000.0,32896897000.0,31957098000.0,33163336000.0,31854825000.0,30794258000.0,32600205000.0
2050.0,32223121000.0,32506659000.0,32867058000.0,31628286000.0,32833410000.0,31779303000.0,33112076000.0,31675007000.0,30585188000.0,32528850000.0
2051.0,32079647000.0,32436888000.0,32807916000.0,31521706000.0,32774910000.0,31717566000.0,33059197000.0,31533971000.0,30290598000.0,32462412000.0
2052.0,31936315000.0,32344816000.0,32687243000.0,31436237000.0,32668983000.0,31569291000.0,33020596000.0,31339300000.0,29999340000.0,32382515000.0
2053.0,31810955000.0,32246120000.0,32632963000.0,31316634000.0,32549415000.0,31423308000.0,32980554000.0,31148966000.0,29783024000.0,32289014000.0
2054.0,31699653000.0,32099230000.0,32580090000.0,31186774000.0,32487944000.0,31314768000.0,32940510000.0,30817120000.0,29543582000.0,32225020000.0
2055.0,31579417000.0,32026898000.0,32517282000.0,31040397000.0,32426801000.0,31156605000.0,32900964000.0,30531203000.0,29171534000.0,32149942000.0
2056.0,31427822000.0,31961588000.0,32455352000.0,30922154000.0,32365750000.0,30990092000.0,32855370000.0,30328328000.0,28773876000.0,32006089000.0
2057.0,31289592000.0,31869645000.0,32420456000.0,30712177000.0,32296217000.0,30853020000.0,32783739000.0,30048987000.0,28393337000.0,31903934000.0
2058.0,31157672000.0,31783160000.0,32333720000.0,30463416000.0,32172255000.0,30632155000.0,32803453000.0,29741410000.0,27900826000.0,31804293000.0
2059.0,31056292000.0,31689175000.0,32292850000.0,30291065000.0,32084144000.0,30505482000.0,32739220000.0,29485280000.0,27462875000.0,31698018000.0
2060.0,30911738000.0,31508535000.0,32241156000.0,30137715000.0,31964672000.0,30336352000.0,32699935000.0,29220243000.0,26970522000.0,31619977000.0
2061.0,30815134000.0,31398400000.0,32152187000.0,29935913000.0,31876516000.0,30157328000.0,32662512000.0,29041240000.0,26487912000.0,31530322000.0
2062.0,30711546000.0,31315472000.0,32106617000.0,29718178000.0,31779870000.0,29999809000.0,32625258000.0,28740622000.0,26072164000.0,31428545000.0
2063.0,30521231000.0,31214328000.0,32074916000.0,29495015000.0,31668548000.0,29842490000.0,32561324000.0,28381878000.0,25742557000.0,31304673000.0
2064.0,30376362000.0,31073946000.0,32001608000.0,29288280000.0,31595520000.0,29651122000.0,32536291000.0,28003131000.0,25432226000.0,31212798000.0
2065.0,30269227000.0,30869492000.0,31877732000.0,29095856000.0,31444128000.0,29399951000.0,32459997000.0,27828003000.0,25056942000.0,31123180000.0
2066.0,30120006000.0,30787940000.0,31815670000.0,28945072000.0,31339006000.0,29264126000.0,32398223000.0,27479968000.0,24588995000.0,31020237000.0
2067.0,29971278000.0,30657686000.0,31744199000.0,28798448000.0,31227435000.0,29070475000.0,32307894000.0,27281537000.0,24184293000.0,30907660000.0
2068.0,29709206000.0,30487687000.0,31696253000.0,28595347000.0,31077329000.0,28902740000.0,32250552000.0,27097297000.0,23819958000.0,30715613000.0
2069.0,29534180000.0,30403977000.0,31624436000.0,28391533000.0,30933338000.0,28761846000.0,32201245000.0,26853222000.0,23313435000.0,30565722000.0
2070.0,29422236000.0,30283225000.0,31549590000.0,28157123000.0,30813678000.0,28549255000.0,32138232000.0,26608495000.0,22834964000.0,30482754000.0
2071.0,29333516000.0,30150107000.0,31497472000.0,27869358000.0,30688750000.0,28402598000.0,32103248000.0,26258616000.0,22443129000.0,30369060000.0
2072.0,29136675000.0,30034217000.0,31432219000.0,27580486000.0,30601605000.0,28203973000.0,32037180000.0,25960923000.0,22006915000.0,30267734000.0
2073.0,28849328000.0,29971438000.0,31363404000.0,27326826000.0,30422028000.0,28000338000.0,31989373000.0,25533116000.0,21600680000.0,30154440000.0
2074.0,28724888000.0,29895730000.0,31268510000.0,27077765000.0,30312405000.0,27806833000.0,31929426000.0,25068268000.0,21146038000.0,30013512000.0
2075.0,28469692000.0,29749803000.0,31197774000.0,26792170000.0,30227570000.0,27541467000.0,31881277000.0,24642990000.0,20810174000.0,29904814000.0
2076.0,28250405000.0,29651520000.0,31091290000.0,26594410000.0,30047599000.0,27323304000.0,31774472000.0,24168315000.0,20426402000.0,29756730000.0
2077.0,28032135000.0,29552165000.0,30945698000.0,26336438000.0,29922613000.0,27072168000.0,31706554000.0,23807814000.0,20036796000.0,29603439000.0
2078.0,27778953000.0,29371658000.0,30862610000.0,26139798000.0,29798520000.0,26850824000.0,31647236000.0,23439897000.0,19606979000.0,29498110000.0
2079.0,27528712000.0,29254531000.0,30775067000.0,25895051000.0,29576188000.0,26629100000.0,31574696000.0,23112542000.0,18974124000.0,29397430000.0
2080.0,27263009000.0,29164954000.0,30606230000.0,25753094000.0,29376623000.0,26398663000.0,31461102000.0,22788012000.0,18560164000.0,29269551000.0
2081.0,27066075000.0,28978065000.0,30488402000.0,25512227000.0,29127630000.0,26156138000.0,31380083000.0,22369751000.0,18264500000.0,29168839000.0
2082.0,26884540000.0,28803248000.0,30399056000.0,25332610000.0,28871770000.0,25925038000.0,31299783000.0,21967866000.0,17855940000.0,29027813000.0
2083.0,26619728000.0,28647310000.0,30317693000.0,25136046000.0,28703420000.0,25709263000.0,31219909000.0,21533910000.0,17455542000.0,28993001000.0
2084.0,26414055000.0,28454416000.0,30221850000.0,24929427000.0,28556761000.0,25452075000.0,31164072000.0,21134954000.0,17212938000.0,28944435000.0
2085.0,26194555000.0,28357843000.0,30034065000.0,24607425000.0,28346067000.0,25195719000.0,31108377000.0,20849690000.0,16960544000.0,28765047000.0
2086.0,25946616000.0,28149076000.0,29920320000.0,24307862000.0,28202279000.0,25043223000.0,31051538000.0,20491145000.0,16718870000.0,28686768000.0
2087.0,25760707000.0,27993598000.0,29808298000.0,23957666000.0,28007981000.0,24813621000.0,31047682000.0,19996492000.0,16465970000.0,28598917000.0
2088.0,25595050000.0,27782412000.0,29667404000.0,23650804000.0,27868318000.0,24547369000.0,30917425000.0,19515267000.0,16274330000.0,28514636000.0
2089.0,25244858000.0,27623668000.0,29588247000.0,23388467000.0,27703955000.0,24294175000.0,30844540000.0,19163224000.0,15995045000.0,28322816000.0
2090.0,24990052000.0,27483380000.0,29449193000.0,23163767000.0,27521903000.0,24012857000.0,30765416000.0,18667130000.0,15784746000.0,28179028000.0
2091.0,24723943000.0,27335980000.0,29346644000.0,22923377000.0,27334633000.0,23788480000.0,30655060000.0,18293390000.0,15631310000.0,28037687000.0
2092.0,24467628000.0,27175980000.0,29150400000.0,22695148000.0,27183012000.0,23576453000.0,30561202000.0,17983930000.0,15397553000.0,27874880000.0
2093.0,24131120000.0,26956925000.0,29057202000.0,22478332000.0,27041581000.0,23379874000.0,30513598000.0,17688259000.0,15032765000.0,27741100000.0
2094.0,23869463000.0,26774948000.0,28954302000.0,22213272000.0,26834369000.0,23230325000.0,30443264000.0,17404110000.0,14817700000.0,27599358000.0
2095.0,23645538000.0,26654884000.0,28884308000.0,21859715000.0,26629237000.0,23022715000.0,30368395000.0,17174131000.0,14546691000.0,27456926000.0
2096.0,23418188000.0,26517283000.0,28789960000.0,21600911000.0,26457657000.0,22785520000.0,30262174000.0,16876392000.0,14276914000.0,27319896000.0
2097.0,23161844000.0,26314822000.0,28685814000.0,21378402000.0,26272831000.0,22550815000.0,30228280000.0,16537421000.0,13998308000.0,27200078000.0
2098.0,22826318000.0,26143482000.0,28528230000.0,21070967000.0,26130393000.0,22315475000.0,30136543000.0,16142278000.0,13716072000.0,27031802000.0
2099.0,22507764000.0,25971757000.0,28449417000.0,20795250000.0,25921202000.0,22067737000.0,30063342000.0,15814969000.0,13407003000.0,26931384000.0
2100.0,22211537000.0,25797972000.0,28344800000.0,20500010000.0,25697880000.0,21836524000.0,29961023000.0,15498577000.0,13032624000.0,26734285000.0
