time,NORESM1-M,GFDL-ESM2G,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0
2001.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0
2002.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0
2003.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0
2004.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0
2005.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0
2006.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0
2007.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0
2008.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0
2009.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0
2010.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0
2011.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0
2012.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0
2013.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0
2014.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0
2015.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0
2016.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0
2017.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0
2018.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0
2019.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0
2020.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0
2021.0,33694478000.0,33730992000.0,33697999000.0,33700805000.0,33700841000.0,33704487000.0,33698568000.0
2022.0,33684427000.0,33694999000.0,33688650000.0,33690415000.0,33687988000.0,33692058000.0,33690071000.0
2023.0,33687146000.0,33689623000.0,33680796000.0,33680790000.0,33673617000.0,33686430000.0,33664778000.0
2024.0,33689965000.0,33674801000.0,33674721000.0,33665407000.0,33665452000.0,33692000000.0,33650463000.0
2025.0,33671680000.0,33665507000.0,33653146000.0,33654145000.0,33648124000.0,33681523000.0,33625717000.0
2026.0,33639600000.0,33637695000.0,33631246000.0,33637126000.0,33644505000.0,33663721000.0,33609617000.0
2027.0,33621412000.0,33613898000.0,33620690000.0,33618538000.0,33620908000.0,33659798000.0,33595390000.0
2028.0,33606980000.0,33598505000.0,33611393000.0,33602568000.0,33632428000.0,33645066000.0,33643127000.0
2029.0,33580810000.0,33577603000.0,33598058000.0,33571015000.0,33607900000.0,33636813000.0,33550135000.0
2030.0,33561876000.0,33543952000.0,33558852000.0,33537591000.0,33574334000.0,33621709000.0,33676005000.0
2031.0,33551278000.0,33537694000.0,33530840000.0,33517390000.0,33553480000.0,33585644000.0,33542250000.0
2032.0,33527142000.0,33525613000.0,33513048000.0,33495919000.0,33535662000.0,33563675000.0,33525678000.0
2033.0,33498405000.0,33507688000.0,33494925000.0,33479207000.0,33526460000.0,33556713000.0,33495770000.0
2034.0,33474079000.0,33485347000.0,33466558000.0,33442961000.0,33506595000.0,33583374000.0,33449232000.0
2035.0,33459485000.0,33468092000.0,33423876000.0,33400037000.0,33486490000.0,33526120000.0,33422977000.0
2036.0,33423092000.0,33443004000.0,33386117000.0,33358020000.0,33472555000.0,33498230000.0,33392863000.0
2037.0,33385850000.0,33423247000.0,33358750000.0,33331790000.0,33454905000.0,33463001000.0,33365187000.0
2038.0,33345554000.0,33395800000.0,33331145000.0,33301000000.0,33460916000.0,33428163000.0,33324319000.0
2039.0,33312586000.0,33367284000.0,33305186000.0,33268916000.0,33412733000.0,33408707000.0,33296996000.0
2040.0,33297390000.0,33335181000.0,33229793000.0,33181684000.0,33401178000.0,33392824000.0,33250503000.0
2041.0,33260808000.0,33320520000.0,33190488000.0,33145706000.0,33378028000.0,33397293000.0,33209657000.0
2042.0,33168216000.0,33287980000.0,33149604000.0,33078730000.0,33355268000.0,33363530000.0,33162930000.0
2043.0,33123211000.0,33253650000.0,33116230000.0,33034746000.0,33342194000.0,33333053000.0,33097546000.0
2044.0,33078622000.0,33216817000.0,33065062000.0,32972616000.0,33320692000.0,33307710000.0,33014735000.0
2045.0,33036900000.0,33177524000.0,33008726000.0,32910880000.0,33281395000.0,33222916000.0,32921115000.0
2046.0,32976366000.0,33115537000.0,32955634000.0,32812919000.0,33268945000.0,33188370000.0,32780208000.0
2047.0,32910690000.0,33078835000.0,32851784000.0,32754008000.0,33235413000.0,33147025000.0,32613552000.0
