time,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,ACCESS-ESM1-5,ACCESS-CM2
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10040458000.0,10037127000.0,10040941000.0,10035287000.0,10052239000.0,10038039000.0
2022.0,10034214000.0,10026902000.0,10036743000.0,10023408000.0,10039838000.0,10028935000.0
2023.0,10028871000.0,10018261000.0,10033676000.0,10012173000.0,10035537000.0,10023854000.0
2024.0,10021034000.0,10013537000.0,10031096000.0,10000929000.0,10028515000.0,10017248000.0
2025.0,10014348000.0,10002293000.0,10025170000.0,9987915000.0,10024181000.0,10012625000.0
2026.0,10005404000.0,9990331000.0,10021008000.0,9978008000.0,10017151000.0,10008769000.0
2027.0,9995621000.0,9972697000.0,10017057000.0,9959184000.0,10012580000.0,10003285000.0
2028.0,9982330000.0,9960481000.0,10003333000.0,9932945000.0,10011833000.0,9989160000.0
2029.0,9976036000.0,9936111000.0,9998842000.0,9908006000.0,9997468000.0,9983811000.0
2030.0,9956054000.0,9918601000.0,9981233000.0,9885245000.0,9994249000.0,9961121000.0
2031.0,9942335000.0,9899239000.0,9974947000.0,9846399000.0,9973121000.0,9942941000.0
2032.0,9928223000.0,9871683000.0,9957724000.0,9811580000.0,9972732000.0,9929503000.0
2033.0,9908471000.0,9839932000.0,9944902000.0,9767937000.0,9959030000.0,9920360000.0
2034.0,9899981000.0,9825862000.0,9927041000.0,9728324000.0,9954662000.0,9897581000.0
