time,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5,GISS-E2-R,CCSM4,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0
2059.0,367519800000.0,327989170000.0,310667250000.0,471437100000.0,382358220000.0,415636550000.0,246523990000.0,409859650000.0
2060.0,363345670000.0,318019800000.0,301370150000.0,464000060000.0,371339000000.0,405972320000.0,236370510000.0,395240640000.0
2061.0,361859740000.0,312054380000.0,293419750000.0,451176600000.0,364991870000.0,390383760000.0,226159920000.0,383557600000.0
2062.0,355377970000.0,302458440000.0,284457600000.0,441406260000.0,353563900000.0,372889750000.0,218783060000.0,377921700000.0
2063.0,348593980000.0,291302900000.0,274523830000.0,426890900000.0,348919330000.0,369530080000.0,211235370000.0,375416950000.0
2064.0,342006330000.0,281561100000.0,254438900000.0,417289960000.0,336957240000.0,364012300000.0,203516220000.0,371541400000.0
2065.0,337656220000.0,272421800000.0,238852720000.0,409593900000.0,327383780000.0,349663230000.0,190797870000.0,364643680000.0
2066.0,328235250000.0,269015090000.0,226192600000.0,399321960000.0,322387640000.0,331670620000.0,186280640000.0,353613380000.0
2067.0,324108500000.0,259118140000.0,212951650000.0,391922940000.0,316500380000.0,315337900000.0,175895220000.0,349147370000.0
2068.0,317119560000.0,250958330000.0,200814080000.0,378477770000.0,304578360000.0,301737900000.0,168235300000.0,336428430000.0
2069.0,308967830000.0,242690230000.0,187299450000.0,368478300000.0,295214380000.0,293169500000.0,158234120000.0,321483200000.0
2070.0,301888500000.0,236699190000.0,176186870000.0,359514700000.0,285872750000.0,285201600000.0,151101010000.0,314917400000.0
2071.0,297595240000.0,225891650000.0,163380250000.0,352223070000.0,280136160000.0,272596350000.0,142607630000.0,303178680000.0
2072.0,293927850000.0,218056620000.0,150843400000.0,344563020000.0,270773350000.0,263122900000.0,136437694000.0,293338550000.0
2073.0,287552930000.0,211254510000.0,141386120000.0,342864430000.0,260409850000.0,247555390000.0,128600560000.0,278034800000.0
2074.0,283906500000.0,203423530000.0,133850570000.0,336395270000.0,246928230000.0,236404230000.0,121572510000.0,269104900000.0
