time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40365638000.0,40344560000.0,40386417000.0,40543367000.0
2022.0,40490807000.0,40582038000.0,40296500000.0,40376353000.0
2023.0,40276970000.0,40641843000.0,40271864000.0,40547110000.0
2024.0,40163260000.0,40346290000.0,40165876000.0,40651022000.0
2025.0,40068560000.0,40271684000.0,40122606000.0,40340955000.0
2026.0,39963894000.0,40275747000.0,40067305000.0,40633070000.0
2027.0,40222077000.0,40094470000.0,40012906000.0,40508450000.0
2028.0,39861130000.0,40040050000.0,39949610000.0,40423810000.0
2029.0,39961970000.0,40022393000.0,39847810000.0,40481296000.0
2030.0,39808740000.0,40370463000.0,39761646000.0,40298570000.0
2031.0,39644963000.0,40078914000.0,39624800000.0,40223314000.0
2032.0,39540470000.0,39905850000.0,39554090000.0,40428140000.0
2033.0,39375192000.0,39778517000.0,39414948000.0,40308070000.0
2034.0,39225960000.0,39694963000.0,39295600000.0,40095590000.0
2035.0,39051526000.0,39680890000.0,39136362000.0,39994480000.0
2036.0,38945550000.0,39535710000.0,38925640000.0,39885836000.0
2037.0,38783570000.0,39742063000.0,38736660000.0,40052806000.0
2038.0,38628753000.0,39849353000.0,38518243000.0,40029073000.0
2039.0,38431343000.0,39388630000.0,38356560000.0,39822828000.0
2040.0,38404555000.0,39450235000.0,38107240000.0,39695905000.0
2041.0,38122740000.0,39154910000.0,37845550000.0,39598210000.0
2042.0,37912420000.0,38969610000.0,37729710000.0,39503150000.0
2043.0,37655810000.0,38790500000.0,37646635000.0,39439370000.0
2044.0,37378730000.0,38613380000.0,37479334000.0,39389508000.0
2045.0,37106622000.0,38585143000.0,37283144000.0,39816696000.0
2046.0,36760695000.0,38650175000.0,37054894000.0,39374213000.0
2047.0,36505575000.0,38460355000.0,36830300000.0,39191364000.0
2048.0,36183245000.0,38232250000.0,36915050000.0,39094743000.0
2049.0,35879637000.0,38136107000.0,36474257000.0,39017886000.0
2050.0,35518840000.0,37867336000.0,36254134000.0,39098340000.0
2051.0,35157365000.0,37643530000.0,36044943000.0,38957466000.0
2052.0,34803593000.0,37543105000.0,35774886000.0,39013070000.0
2053.0,34600990000.0,37424660000.0,35463540000.0,39016976000.0
2054.0,34273194000.0,37175550000.0,35277554000.0,38755370000.0
2055.0,34016199000.0,37035010000.0,35082310000.0,38591420000.0
2056.0,33732390000.0,37472640000.0,34726105000.0,38460490000.0
2057.0,33339090000.0,36865200000.0,34468987000.0,38378586000.0
2058.0,32945960000.0,36601557000.0,34246300000.0,38379210000.0
2059.0,32592708000.0,36161286000.0,34875370000.0,38361182000.0
2060.0,32414177000.0,36164950000.0,34207183000.0,38128870000.0
2061.0,32069001000.0,35807957000.0,33818780000.0,38030148000.0
2062.0,31776303000.0,35595567000.0,34758400000.0,37898908000.0
2063.0,31371168000.0,35387306000.0,33446488000.0,37814256000.0
2064.0,31057609000.0,35178996000.0,33075157000.0,38083850000.0
2065.0,30627654000.0,35239784000.0,33148154000.0,37948797000.0
2066.0,30313042000.0,34682884000.0,33433670000.0,37571870000.0
2067.0,29924807000.0,34950447000.0,33136163000.0,37421870000.0
2068.0,29585248000.0,34526230000.0,32427686000.0,37308043000.0
2069.0,29051515000.0,33979470000.0,32586623000.0,37513610000.0
2070.0,28895020000.0,33690077000.0,32540955000.0,36939846000.0
2071.0,28517796000.0,33555862000.0,34174642000.0,37350887000.0
2072.0,28461388000.0,33449253000.0,32788218000.0,37027955000.0
2073.0,27919251000.0,33151360000.0,32489742000.0,36781965000.0
2074.0,27558890000.0,32793800000.0,31931927000.0,36716960000.0
2075.0,27305525000.0,32553510000.0,32014725000.0,36589208000.0
2076.0,26964877000.0,32369220000.0,31824357000.0,36943585000.0
2077.0,26624979000.0,32243552000.0,31155192000.0,36442110000.0
2078.0,26462192000.0,31982248000.0,31035408000.0,36456600000.0
2079.0,25960456000.0,31711562000.0,30686350000.0,36220630000.0
2080.0,25705693000.0,31533656000.0,30606301000.0,37175923000.0
2081.0,25351852000.0,31310596000.0,30181923000.0,35988880000.0
2082.0,25359542000.0,31209021000.0,29857753000.0,36013367000.0
2083.0,24671365000.0,31686652000.0,30392810000.0,35889790000.0
2084.0,24671693000.0,31418171000.0,29721987000.0,35740440000.0
2085.0,24163146000.0,30752310000.0,29325961000.0,35639853000.0
2086.0,23833745000.0,30512716000.0,29181063000.0,35401355000.0
2087.0,23425149000.0,30489887000.0,29188540000.0,35490267000.0
2088.0,23158452000.0,30518557000.0,29033578000.0,35847766000.0
2089.0,22846833000.0,30302950000.0,29866551000.0,36174940000.0
2090.0,22446970000.0,30645090000.0,29816891000.0,35270332000.0
2091.0,22420769000.0,30031573000.0,28702270000.0,35301097000.0
2092.0,21779638000.0,29575887000.0,28700488000.0,34962490000.0
2093.0,22023830000.0,30369071000.0,28484280000.0,34868230000.0
2094.0,21480325000.0,29127176000.0,28341465000.0,34753150000.0
2095.0,20984035000.0,29038811000.0,29113608000.0,34485834000.0
2096.0,20602477000.0,28887695000.0,28040632000.0,34895950000.0
2097.0,20285745000.0,29160550000.0,29465950000.0,34315602000.0
2098.0,19918496000.0,28475159000.0,28218423000.0,34162500000.0
2099.0,19678577000.0,28867240000.0,27500423000.0,34169752000.0
2100.0,19391000000.0,31747790000.0,27499547000.0,34139419000.0
