time,MRI-ESM2-0,KACE-1-0-G,MPI-ESM1-2-HR,GFDL-ESM4,CANESM5,EC-EARTH3,CESM2-WACCM,TAIESM1,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR,CNRM-CM6-1
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40512328000.0,40651133000.0,40362850000.0,41070710000.0,40365630000.0,40289223000.0,40628474000.0,40341103000.0,40382013000.0,40349270000.0,40279933000.0,40421510000.0,40603333000.0
2022.0,40351790000.0,40485736000.0,40329590000.0,40411280000.0,40365236000.0,40257966000.0,40454492000.0,40277017000.0,40337560000.0,40354350000.0,40252555000.0,40949207000.0,41291186000.0
2023.0,40247310000.0,40428340000.0,40428175000.0,40372690000.0,40227406000.0,40179100000.0,40465306000.0,40205697000.0,40232980000.0,40267882000.0,40452770000.0,40723070000.0,40770120000.0
2024.0,40330646000.0,40342634000.0,40233460000.0,40295090000.0,40122120000.0,40158794000.0,40309473000.0,40138936000.0,40239014000.0,40306990000.0,40182520000.0,40412963000.0,40447623000.0
2025.0,40293396000.0,40267596000.0,40195592000.0,40290333000.0,40022790000.0,40034530000.0,40184697000.0,40118250000.0,40114635000.0,40166236000.0,40163290000.0,40263946000.0,40569516000.0
2026.0,40318820000.0,40184644000.0,40216220000.0,40238320000.0,40035332000.0,39954575000.0,41175646000.0,39977415000.0,40055996000.0,40221954000.0,40096432000.0,40191650000.0,40687542000.0
2027.0,40113873000.0,40163267000.0,40172577000.0,40182886000.0,39857295000.0,39832720000.0,40356893000.0,40016445000.0,39988900000.0,40072250000.0,40058510000.0,40198496000.0,40579346000.0
2028.0,40052695000.0,40035450000.0,40079520000.0,40461898000.0,39800810000.0,39708890000.0,40408097000.0,40304790000.0,40022266000.0,40066610000.0,40162770000.0,40240312000.0,41534968000.0
2029.0,40048185000.0,39951032000.0,40015720000.0,40396087000.0,39681000000.0,39566983000.0,40351530000.0,40020180000.0,39836213000.0,39940993000.0,39964620000.0,40288140000.0,40379453000.0
2030.0,39969570000.0,39894120000.0,40331490000.0,40356630000.0,39579420000.0,39399035000.0,40303480000.0,39872140000.0,39782756000.0,39850500000.0,40087257000.0,40776212000.0,40247374000.0
2031.0,39850580000.0,39779270000.0,40010576000.0,40245070000.0,39459893000.0,39273510000.0,40132810000.0,39721090000.0,39872260000.0,39761633000.0,39939633000.0,40098380000.0,40333670000.0
2032.0,39785742000.0,39693020000.0,39951163000.0,40190902000.0,39337636000.0,39068443000.0,40125846000.0,39580213000.0,39643468000.0,39666140000.0,39782900000.0,40002260000.0,40574145000.0
2033.0,39708803000.0,39633953000.0,39909413000.0,40082596000.0,39186000000.0,38978503000.0,39938340000.0,39469290000.0,39572947000.0,39583457000.0,39695233000.0,39936287000.0,40153235000.0
2034.0,39630815000.0,39575826000.0,39922790000.0,40048165000.0,39023014000.0,38801195000.0,39837037000.0,39378440000.0,39487263000.0,39466580000.0,39573164000.0,39798317000.0,40394695000.0
2035.0,39656886000.0,39479250000.0,39856706000.0,40376037000.0,38917240000.0,38574530000.0,39830080000.0,39324484000.0,39401517000.0,39410000000.0,39878730000.0,39835345000.0,40292820000.0
2036.0,39509860000.0,39386450000.0,39725175000.0,40014730000.0,38697857000.0,38188544000.0,39748612000.0,39214520000.0,39270728000.0,39160205000.0,39548410000.0,39786725000.0,40167790000.0
