time,UKESM1-0-LL,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40747720000.0,40411406000.0,40993595000.0,40384320000.0,40684130000.0
2022.0,40474300000.0,40527524000.0,40287277000.0,40309866000.0,40349140000.0
2023.0,40564420000.0,40274080000.0,40273318000.0,40222550000.0,40275464000.0
2024.0,40357520000.0,40233316000.0,40229577000.0,40138630000.0,40436257000.0
2025.0,40244480000.0,40181883000.0,40261063000.0,39985406000.0,40493003000.0
2026.0,40141780000.0,40113697000.0,40123703000.0,40118370000.0,40140698000.0
2027.0,40160965000.0,40060174000.0,40040194000.0,39928193000.0,40186167000.0
2028.0,40049967000.0,39997530000.0,40217280000.0,39755133000.0,40064680000.0
2029.0,39960904000.0,39959126000.0,40230404000.0,39624070000.0,39969820000.0
2030.0,39908336000.0,39938834000.0,40092692000.0,39598244000.0,39941550000.0
2031.0,39784407000.0,40395276000.0,39922246000.0,39476870000.0,39933650000.0
2032.0,39829905000.0,39970470000.0,39835930000.0,39461843000.0,39768100000.0
2033.0,39584264000.0,39865800000.0,39746232000.0,39186240000.0,40250212000.0
2034.0,39516975000.0,39736450000.0,39797785000.0,39045472000.0,39723790000.0
2035.0,39367602000.0,39647870000.0,39607230000.0,38933880000.0,39805280000.0
2036.0,39256110000.0,39682350000.0,39521956000.0,38704670000.0,39592595000.0
2037.0,39083330000.0,39523960000.0,39426330000.0,38560210000.0,39682064000.0
2038.0,38926537000.0,39433974000.0,39364768000.0,38302917000.0,39436538000.0
2039.0,38870230000.0,39342730000.0,39225836000.0,38146662000.0,39628394000.0
2040.0,38588290000.0,39568260000.0,39550800000.0,38013247000.0,39431560000.0
2041.0,38434500000.0,39202365000.0,38993764000.0,37775094000.0,39358194000.0
2042.0,38193947000.0,39098460000.0,39053910000.0,37344084000.0,39245020000.0
2043.0,38035120000.0,38891074000.0,38777460000.0,36938502000.0,38991663000.0
2044.0,37709870000.0,38793090000.0,38666658000.0,36582048000.0,38829507000.0
2045.0,37379666000.0,38650820000.0,38546706000.0,36293730000.0,38935140000.0
2046.0,37074723000.0,38435193000.0,38402670000.0,35958608000.0,38673797000.0
2047.0,36751688000.0,38382998000.0,38222020000.0,35546370000.0,38447665000.0
2048.0,36394040000.0,38119520000.0,38055416000.0,35050865000.0,38246780000.0
2049.0,36013270000.0,37960073000.0,37895487000.0,34648600000.0,38053030000.0
2050.0,35718447000.0,37746004000.0,37887220000.0,34212033000.0,37903913000.0
2051.0,35281474000.0,37653720000.0,37640954000.0,33793862000.0,37790142000.0
2052.0,34803147000.0,37440050000.0,37490307000.0,33309730000.0,37523223000.0
2053.0,34485990000.0,37124920000.0,37371420000.0,32857790000.0,37392617000.0
2054.0,34114836000.0,36816232000.0,37568045000.0,32302615000.0,37089882000.0
2055.0,33573097000.0,36566660000.0,37188235000.0,31805043000.0,36783645000.0
2056.0,33057694000.0,36361253000.0,36881404000.0,31276913000.0,36489420000.0
2057.0,32559870000.0,36119050000.0,36807537000.0,30913910000.0,36357366000.0
2058.0,32039637000.0,35823400000.0,36721762000.0,30570000000.0,36050555000.0
2059.0,31413211000.0,35512287000.0,36747026000.0,30451526000.0,35672842000.0
2060.0,30894655000.0,35404690000.0,36280900000.0,29886070000.0,35402850000.0
2061.0,30432557000.0,35012710000.0,36086150000.0,29280164000.0,35100852000.0
2062.0,29739120000.0,34822360000.0,36437643000.0,28671586000.0,34838910000.0
2063.0,29152373000.0,34475516000.0,35815710000.0,28135970000.0,34415240000.0
2064.0,28572477000.0,34110106000.0,35382845000.0,27657460000.0,34054250000.0
2065.0,27963988000.0,33787556000.0,34989210000.0,27525421000.0,34025212000.0
2066.0,27375946000.0,33422723000.0,36351664000.0,26830746000.0,33475360000.0
2067.0,26831356000.0,33206410000.0,35117584000.0,26646096000.0,33083570000.0
2068.0,26237338000.0,33287932000.0,34619740000.0,26175947000.0,32720314000.0
2069.0,25830520000.0,33479737000.0,34836283000.0,25590532000.0,32329742000.0
2070.0,25428087000.0,32685197000.0,34334400000.0,25084402000.0,31904969000.0
2071.0,24887063000.0,32330020000.0,33890685000.0,24732807000.0,31363080000.0
2072.0,24568797000.0,31838374000.0,33671313000.0,24354587000.0,31162790000.0
2073.0,23873591000.0,31594035000.0,33371021000.0,23811912000.0,30710436000.0
2074.0,23386397000.0,31213860000.0,33000073000.0,23571964000.0,30675075000.0
2075.0,22947330000.0,30789294000.0,33087656000.0,23186622000.0,30147720000.0
2076.0,22286160000.0,30693526000.0,32532498000.0,22698099000.0,29533719000.0
2077.0,21759857000.0,30291042000.0,32362043000.0,22201715000.0,29217772000.0
2078.0,21245802000.0,30146736000.0,32241790000.0,21890970000.0,28792248000.0
2079.0,20776415000.0,29960806000.0,31829314000.0,21612892000.0,28352436000.0
2080.0,20420567000.0,30310648000.0,31726080000.0,21139423000.0,27902626000.0
2081.0,20200716000.0,29332940000.0,31308980000.0,20742167000.0,28381565000.0
2082.0,19360375000.0,29060741000.0,31065539000.0,20407870000.0,27532782000.0
2083.0,18893863000.0,29495917000.0,31650013000.0,19915158000.0,26979795000.0
2084.0,18335970000.0,29072574000.0,30650294000.0,19553042000.0,26544060000.0
2085.0,17819423000.0,28497631000.0,30692401000.0,18942499000.0,25875920000.0
2086.0,17396810000.0,28202476000.0,30366490000.0,18611657000.0,25428204000.0
2087.0,16924965000.0,28298201000.0,30061578000.0,18248477000.0,25058908000.0
2088.0,16449601000.0,28297337000.0,29794378000.0,18023023000.0,24652433000.0
2089.0,16042600000.0,27746482000.0,29574630000.0,17686810000.0,24218454000.0
2090.0,15576441000.0,27598130000.0,29117706000.0,17382388000.0,23807232000.0
2091.0,15257247000.0,27228117000.0,28904956000.0,17128851000.0,23497150000.0
2092.0,14933752000.0,26951438000.0,28969781000.0,17025528000.0,22868318000.0
2093.0,14585267000.0,27904354000.0,28232778000.0,16647578000.0,22580347000.0
2094.0,14331523000.0,26589313000.0,28285078000.0,16387340000.0,21787056000.0
2095.0,13911416000.0,26278836000.0,28307601000.0,16087933000.0,21668944000.0
2096.0,13462603000.0,27307990000.0,27668180000.0,15655911000.0,22145223000.0
2097.0,13202839000.0,33059748000.0,27332035000.0,15400630000.0,20969611000.0
2098.0,12899269000.0,28260930000.0,27018992000.0,15764716000.0,20645196000.0
2099.0,12559319000.0,26468954000.0,27019140000.0,15021663000.0,20193192000.0
2100.0,12289291000.0,26613860000.0,26634465000.0,15004947000.0,19798467000.0
