time,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,NORESM1-M
2000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0
2001.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0
2002.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0
2003.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0
2004.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0
2005.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0
2006.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0
2007.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0
2008.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0
2009.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0
2010.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0
2011.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0
2012.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0
2013.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0
2014.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0
2015.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0
2016.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0
2017.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0
2018.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0
2019.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0
2020.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0
2021.0,53659337000.0,54369030000.0,54396957000.0,54432780000.0,56093400000.0,56262210000.0,55409746000.0,55578104000.0,54810530000.0,54895825000.0
2022.0,52982428000.0,55131804000.0,55153095000.0,52921090000.0,55196164000.0,58625466000.0,53690425000.0,54250310000.0,56032367000.0,52660920000.0
2023.0,52094427000.0,55297753000.0,54953525000.0,51210820000.0,54463087000.0,59193800000.0,52399526000.0,53610635000.0,56869798000.0,53189750000.0
2024.0,51159056000.0,57125913000.0,53914230000.0,50103566000.0,54930256000.0,57908560000.0,52485020000.0,52487920000.0,56775025000.0,53461200000.0
2025.0,49564733000.0,55688286000.0,52294414000.0,49170182000.0,53962620000.0,57229840000.0,50219040000.0,50886603000.0,55494504000.0,53159470000.0
2026.0,48280620000.0,54768378000.0,51622523000.0,48078246000.0,51717337000.0,56554360000.0,49379550000.0,50650976000.0,56080150000.0,52876333000.0
2027.0,47395963000.0,54684910000.0,49864598000.0,47516664000.0,49552780000.0,56773026000.0,48391303000.0,51179766000.0,56443150000.0,52035140000.0
2028.0,45765075000.0,54285718000.0,50718314000.0,47054960000.0,47358730000.0,56091263000.0,46850437000.0,51501640000.0,55621763000.0,51209822000.0
2029.0,44574070000.0,53089882000.0,50924786000.0,46287900000.0,46565757000.0,53757768000.0,45890413000.0,51136950000.0,54520950000.0,51560485000.0
2030.0,44674980000.0,52796370000.0,51435786000.0,45055820000.0,44951695000.0,53020733000.0,45508470000.0,50861740000.0,53989257000.0,50266020000.0
2031.0,44959777000.0,53069220000.0,49391727000.0,44241360000.0,43942093000.0,52133954000.0,44270547000.0,50015584000.0,53004493000.0,49189260000.0
2032.0,45042622000.0,52777080000.0,48655536000.0,41963310000.0,41306550000.0,50913780000.0,43759230000.0,49038370000.0,52300200000.0,47732300000.0
2033.0,45488760000.0,52514095000.0,47470530000.0,41936437000.0,41790830000.0,50095390000.0,43050516000.0,49911198000.0,52352877000.0,45640348000.0
2034.0,44687150000.0,52059976000.0,46119490000.0,40247243000.0,40377213000.0,50933510000.0,43080070000.0,49267573000.0,52967710000.0,43883282000.0
2035.0,43826737000.0,51217680000.0,44668133000.0,38621585000.0,38706610000.0,51739013000.0,41819250000.0,47810523000.0,52578574000.0,42561667000.0
2036.0,43239530000.0,51850940000.0,43054470000.0,37537850000.0,37667080000.0,50113600000.0,41436746000.0,48133060000.0,52500357000.0,41800720000.0
2037.0,43087245000.0,52134216000.0,41539400000.0,36527202000.0,37324850000.0,48783725000.0,40763160000.0,47014453000.0,53799350000.0,41042924000.0
