time,MPI-ESM1-2-HR,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,CMCC-CM2-SR5,GFDL-ESM4,CESM2,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,CAMS-CSM1-0,CESM2-WACCM
2000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0
2001.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0
2002.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0
2003.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0
2004.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0
2005.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0
2006.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0
2007.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0
2008.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0
2009.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0
2010.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0
2011.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0
2012.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0
2013.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0
2014.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0
2015.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0
2016.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0
2017.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0
2018.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0
2019.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0
2020.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0
2021.0,85338010000.0,85094710000.0,85109514000.0,85123070000.0,85483766000.0,85220295000.0,85017290000.0,85148746000.0,85134660000.0,85106170000.0,85146830000.0,85210825000.0,85309530000.0,85137420000.0
2022.0,84984680000.0,84782850000.0,84918680000.0,85006940000.0,85218550000.0,84990080000.0,84779260000.0,84832870000.0,84993780000.0,84768610000.0,85033230000.0,84972400000.0,85041775000.0,84670530000.0
2023.0,84759280000.0,84413630000.0,84602200000.0,84794610000.0,84808450000.0,84530000000.0,84516954000.0,84519930000.0,84770000000.0,84611410000.0,84630260000.0,84965960000.0,84721890000.0,84213480000.0
2024.0,84659100000.0,84247700000.0,84202750000.0,84637516000.0,84529684000.0,84223120000.0,85216390000.0,84061454000.0,84456670000.0,84232360000.0,84310420000.0,84593040000.0,84719346000.0,83771190000.0
2025.0,84468335000.0,83950120000.0,84061850000.0,84667286000.0,84218720000.0,83820690000.0,84243000000.0,83685110000.0,84204890000.0,83685335000.0,83999780000.0,84921930000.0,84282850000.0,83263540000.0
2026.0,84125065000.0,84091760000.0,83641010000.0,84255105000.0,84889380000.0,83526615000.0,83843950000.0,82976380000.0,84500170000.0,83040950000.0,83763980000.0,84257740000.0,83916570000.0,82462210000.0
2027.0,83974470000.0,83662990000.0,83097110000.0,83870460000.0,84335630000.0,82965004000.0,83325450000.0,82393710000.0,83542060000.0,82580020000.0,83326350000.0,83833200000.0,84309950000.0,81791900000.0
2028.0,84101590000.0,83125590000.0,82827220000.0,83622910000.0,83670780000.0,82512675000.0,82740920000.0,81803080000.0,82892800000.0,82073936000.0,83019220000.0,83401200000.0,83513980000.0,80949030000.0
2029.0,83529280000.0,82647120000.0,83003750000.0,83004555000.0,83251610000.0,81908410000.0,82473530000.0,80896230000.0,82480415000.0,81542545000.0,82575760000.0,82826710000.0,83301110000.0,80098920000.0
2030.0,83294870000.0,82112110000.0,82437700000.0,82602130000.0,83029290000.0,81536860000.0,81710530000.0,80237720000.0,81768186000.0,80867370000.0,82253350000.0,82697390000.0,82751540000.0,79550380000.0
2031.0,83395070000.0,81277360000.0,82177010000.0,82503580000.0,82905104000.0,81118560000.0,81119010000.0,79676056000.0,81677476000.0,79985160000.0,81777350000.0,82232435000.0,82394530000.0,79463326000.0
2032.0,82893480000.0,80680560000.0,81922810000.0,81911276000.0,82357080000.0,80726960000.0,80450480000.0,79000250000.0,81051460000.0,79572450000.0,81172250000.0,81678780000.0,81737015000.0,78737190000.0
2033.0,82784670000.0,80265250000.0,81359740000.0,81313060000.0,83048645000.0,80125250000.0,80350990000.0,78235990000.0,80472605000.0,78817410000.0,80622130000.0,81659120000.0,81247986000.0,77525970000.0
2034.0,82371490000.0,79658460000.0,80693870000.0,80822870000.0,81849640000.0,79595910000.0,79823600000.0,77266480000.0,80737750000.0,78254760000.0,80186150000.0,81061210000.0,80481985000.0,76578830000.0
2035.0,82015060000.0,79221900000.0,80305390000.0,80235980000.0,81630020000.0,79067400000.0,79104490000.0,76406450000.0,79728574000.0,77467550000.0,79625730000.0,81049440000.0,80095480000.0,75870450000.0
2036.0,81928080000.0,78974484000.0,80118210000.0,80054420000.0,81159780000.0,78608370000.0,78470324000.0,75441750000.0,79227490000.0,76998520000.0,79215290000.0,80896180000.0,79535290000.0,75089500000.0
2037.0,81724190000.0,78244070000.0,79655840000.0,79336140000.0,80595165000.0,78091710000.0,77711430000.0,74691715000.0,78846460000.0,76333785000.0,79149530000.0,80462100000.0,79247090000.0,74242080000.0
2038.0,81299760000.0,77424900000.0,79351865000.0,78854780000.0,80178370000.0,77698350000.0,76765480000.0,74562000000.0,78028870000.0,75807190000.0,78738040000.0,79654170000.0,78789030000.0,73688015000.0
2039.0,81389590000.0,76893710000.0,79087880000.0,78218270000.0,79615480000.0,77076820000.0,76016394000.0,73459150000.0,77461380000.0,75505525000.0,78335640000.0,79191880000.0,78125220000.0,72711970000.0
