time,CESM2-WACCM,CAMS-CSM1-0,CESM2,IPSL-CM6A-LR,MRI-ESM2-0,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,GFDL-ESM4,ACCESS-CM2,MPI-ESM1-2-HR,NORESM2-MM
2000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0
2001.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0
2002.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0
2003.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0
2004.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0
2005.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0
2006.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0
2007.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0
2008.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0
2009.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0
2010.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0
2011.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0
2012.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0
2013.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0
2014.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0
2015.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0
2016.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0
2017.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0
2018.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0
2019.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0
2020.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0
2021.0,85106170000.0,85166965000.0,85140816000.0,85840980000.0,85178860000.0,85150280000.0,85193950000.0,85079450000.0,85396046000.0,85272300000.0,85273444000.0,85064696000.0,85078580000.0,85150400000.0,86114450000.0,85165190000.0,85049240000.0
2022.0,84734290000.0,85217240000.0,84946900000.0,85195235000.0,84983010000.0,85253235000.0,84939686000.0,84718740000.0,84921385000.0,84999010000.0,84806310000.0,84924090000.0,84717130000.0,84696050000.0,85383315000.0,85323540000.0,84938550000.0
2023.0,84358000000.0,84877860000.0,84560536000.0,85039020000.0,84855880000.0,85046534000.0,84667290000.0,84550220000.0,84568465000.0,84948430000.0,84750580000.0,84756950000.0,84651655000.0,84259210000.0,84847000000.0,84826690000.0,84669970000.0
2024.0,83887776000.0,84504350000.0,84247710000.0,84785520000.0,84647910000.0,84506714000.0,84480950000.0,84404580000.0,84133740000.0,84813160000.0,84420040000.0,84428870000.0,84194450000.0,84052930000.0,84527560000.0,84585005000.0,84574630000.0
