time,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134597214000.0,134682345000.0,134391070000.0,134594140000.0,134772785000.0
2022.0,134481584000.0,134665940000.0,134475270000.0,134944440000.0,134770926000.0
2023.0,134424410000.0,134876020000.0,134245580000.0,134369490000.0,134436190000.0
2024.0,134671974000.0,134391030000.0,134088220000.0,134390060000.0,134159250000.0
2025.0,134470440000.0,134183560000.0,133955390000.0,134095520000.0,134262040000.0
2026.0,133792416000.0,134220640000.0,134046900000.0,133993060000.0,135124570000.0
2027.0,133576170000.0,133975230000.0,133745400000.0,133913710000.0,134335365000.0
2028.0,133499230000.0,134020520000.0,133760730000.0,133715280000.0,134114075000.0
2029.0,133519190000.0,133654740000.0,133352170000.0,133887885000.0,133964360000.0
2030.0,133733910000.0,133897960000.0,133308640000.0,133726350000.0,133611856000.0
2031.0,133613700000.0,133540760000.0,133118345000.0,133450940000.0,134197060000.0
2032.0,133197760000.0,133619200000.0,132943870000.0,133227030000.0,133958960000.0
2033.0,133051200000.0,133210644000.0,132755410000.0,133138194000.0,133560410000.0
2034.0,132943086000.0,132983940000.0,132848430000.0,133005320000.0,134553580000.0
2035.0,132838695000.0,132928815000.0,132535900000.0,133021780000.0,133347640000.0
2036.0,132783220000.0,133016895000.0,132445905000.0,132784160000.0,133118830000.0
2037.0,132723155000.0,133783350000.0,132660120000.0,132745550000.0,133176200000.0
2038.0,132352530000.0,132883030000.0,132097100000.0,132424420000.0,133003600000.0
2039.0,132157760000.0,132919665000.0,132104856000.0,132541500000.0,132802690000.0
2040.0,132000650000.0,132930090000.0,132160960000.0,132304090000.0,132670185000.0
2041.0,131704640000.0,133108140000.0,131968740000.0,132188700000.0,132436615000.0
2042.0,131776730000.0,132742190000.0,131647830000.0,132185830000.0,132746550000.0
2043.0,131529490000.0,132416880000.0,131770910000.0,131753830000.0,132755870000.0
2044.0,131281125000.0,132265310000.0,131585510000.0,131753525000.0,132571470000.0
2045.0,131121996000.0,132280760000.0,131764630000.0,131528340000.0,132411556000.0
2046.0,130999430000.0,132008450000.0,131447660000.0,131447120000.0,132673750000.0
2047.0,130780460000.0,132239640000.0,131157420000.0,131510890000.0,132259365000.0
2048.0,130343125000.0,132201650000.0,131361600000.0,131355670000.0,132255760000.0
2049.0,130320155000.0,131901735000.0,130948990000.0,130805604000.0,132759350000.0
2050.0,129872870000.0,131970850000.0,131171370000.0,130408190000.0,132419030000.0
2051.0,129663360000.0,131612570000.0,130809100000.0,130295600000.0,132698160000.0
2052.0,129745986000.0,131357330000.0,130486910000.0,130362520000.0,131984420000.0
2053.0,129427350000.0,131504120000.0,130199540000.0,130055365000.0,131403340000.0
2054.0,128893985000.0,131037490000.0,129907800000.0,129982150000.0,131234540000.0
2055.0,128548420000.0,131850960000.0,130481100000.0,129987870000.0,131327435000.0
2056.0,128107420000.0,131989040000.0,129865190000.0,129884090000.0,131555254000.0
2057.0,128156385000.0,131310970000.0,129543720000.0,129181400000.0,130958890000.0
2058.0,127447860000.0,131915964000.0,129250060000.0,128993250000.0,131020450000.0
2059.0,127181136000.0,130859610000.0,129293025000.0,129848930000.0,130812480000.0
2060.0,126853740000.0,130599950000.0,129558580000.0,128990050000.0,130911840000.0
2061.0,126469456000.0,130368940000.0,129872536000.0,128335040000.0,130614200000.0
2062.0,126084570000.0,130611120000.0,130183800000.0,128120775000.0,130562480000.0
2063.0,125567800000.0,130114960000.0,129012350000.0,127905770000.0,130295546000.0
2064.0,125291140000.0,129952820000.0,128476650000.0,127944630000.0,130286110000.0
2065.0,124850910000.0,130037260000.0,128176280000.0,127642570000.0,130417850000.0
2066.0,124511410000.0,129840860000.0,128141880000.0,126913670000.0,130048980000.0
2067.0,124516835000.0,129973715000.0,127817785000.0,126779260000.0,129958460000.0
2068.0,124295900000.0,129680280000.0,127979856000.0,126928340000.0,129846980000.0
2069.0,123621150000.0,129588340000.0,127269800000.0,126707565000.0,129535300000.0
2070.0,123301920000.0,129507254000.0,127273560000.0,126332040000.0,129418350000.0
2071.0,122951750000.0,129138024000.0,127376090000.0,125985186000.0,129096060000.0
2072.0,122540040000.0,129317410000.0,126827364000.0,125875640000.0,129190120000.0
2073.0,121901330000.0,128900140000.0,126517130000.0,125515740000.0,128896475000.0
2074.0,121449480000.0,128706800000.0,126245040000.0,125420130000.0,128998570000.0
