time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR
2079.0,67580840000.0,80045930000.0,76424210000.0,11114117000.0,97233480000.0
2080.0,65403040000.0,78966160000.0,73294270000.0,9895536000.0,93517730000.0
2081.0,63196100000.0,76682180000.0,70093610000.0,8730265000.0,89296870000.0
2082.0,59924886000.0,74328270000.0,66376114000.0,7668016000.0,87879650000.0
2083.0,57963872000.0,72322430000.0,61549410000.0,6666511400.0,86772310000.0
2084.0,56824218000.0,70005310000.0,57967870000.0,5736851000.0,83856200000.0
2085.0,54489743000.0,67774878000.0,54077026000.0,4938607000.0,80539650000.0
2086.0,52935447000.0,66416325000.0,50712560000.0,4114246100.0,78190430000.0
2087.0,51226560000.0,64687920000.0,47541367000.0,3547757000.0,75127890000.0
2088.0,50234765000.0,61698638000.0,44719514000.0,2992783600.0,71010020000.0
2089.0,48656200000.0,59422410000.0,41993605000.0,2474811600.0,68903020000.0
2090.0,47681184000.0,55960640000.0,38457016000.0,1968832800.0,65021670000.0
2091.0,46861275000.0,53662570000.0,35906724000.0,1626206300.0,63165034000.0
2092.0,45861790000.0,51304220000.0,33453998000.0,1301277000.0,60342026000.0
2093.0,45130730000.0,49479045000.0,31678282000.0,994767900.0,58470920000.0
2094.0,43566014000.0,47335023000.0,29850518000.0,686018900.0,57887527000.0
2095.0,41903227000.0,45659255000.0,27933917000.0,417357400.0,56628666000.0
2096.0,40691024000.0,44149580000.0,25513900000.0,265272830.0,53241328000.0
2097.0,40185487000.0,42627133000.0,23529589000.0,183231070.0,50622804000.0
2098.0,38427110000.0,41153900000.0,21670998000.0,102141270.0,48448200000.0
2099.0,37479924000.0,39565570000.0,19374213000.0,59165708.0,45678277000.0
2100.0,36367847000.0,38005370000.0,18258352000.0,45673156.0,44053615000.0
