time,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
2010.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0
2011.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0
2012.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0
2013.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0
2014.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0
2015.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0
2016.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0
2017.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0
2018.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0
2019.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0
2020.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0
2021.0,267712270000.0,271054780000.0,269649820000.0,272494330000.0,267770250000.0
2022.0,266539270000.0,271997630000.0,263952320000.0,267887900000.0,259123600000.0
2023.0,263775190000.0,274128400000.0,260024500000.0,266098540000.0,243731090000.0
2024.0,263782040000.0,274928040000.0,259587690000.0,262414800000.0,234863600000.0
2025.0,261611110000.0,269548800000.0,256433290000.0,257854240000.0,229242400000.0
2026.0,258916560000.0,266330030000.0,252576020000.0,252156480000.0,222982180000.0
2027.0,253922400000.0,262568080000.0,247482840000.0,250096290000.0,212900540000.0
2028.0,251820340000.0,262056640000.0,239418640000.0,243658930000.0,207638100000.0
2029.0,247872570000.0,259191370000.0,232851640000.0,241250750000.0,198040390000.0
2030.0,241436280000.0,258833120000.0,230903040000.0,237700250000.0,194604550000.0
2031.0,240779050000.0,253141290000.0,230241000000.0,235596120000.0,191209260000.0
2032.0,235106710000.0,247689070000.0,227101070000.0,231425540000.0,183908060000.0
2033.0,233343810000.0,245521290000.0,222308040000.0,227116290000.0,176875230000.0
2034.0,232668170000.0,240219460000.0,216445730000.0,227934260000.0,174180340000.0
2035.0,227855880000.0,235150790000.0,208425900000.0,226580890000.0,167791120000.0
2036.0,226906240000.0,228371530000.0,206898760000.0,222196000000.0,165141940000.0
2037.0,226389900000.0,224188530000.0,200805800000.0,219682050000.0,162027620000.0
2038.0,220766010000.0,223649820000.0,197595480000.0,215514270000.0,155855730000.0
2039.0,214877540000.0,222069080000.0,194676930000.0,215244200000.0,157369930000.0
2040.0,216992330000.0,216306160000.0,191419020000.0,211675920000.0,150034830000.0
2041.0,213281080000.0,208923740000.0,185550600000.0,210238260000.0,144168710000.0
2042.0,211488400000.0,204924500000.0,180787400000.0,210640860000.0,139453480000.0
2043.0,208846600000.0,203924550000.0,175987950000.0,212238520000.0,132989830000.0
2044.0,207885860000.0,204401920000.0,173242550000.0,209280990000.0,128762310000.0
2045.0,205493400000.0,202225530000.0,170989010000.0,206776910000.0,125495620000.0
2046.0,204080190000.0,199501280000.0,164170040000.0,203445170000.0,121793680000.0
2047.0,200246560000.0,197386220000.0,156911810000.0,200576930000.0,116388180000.0
2048.0,197044030000.0,190492330000.0,153811090000.0,198286920000.0,112010690000.0
2049.0,197495340000.0,191191370000.0,152091750000.0,198874460000.0,108425140000.0
2050.0,190414730000.0,186063010000.0,150144190000.0,200318620000.0,105731630000.0
2051.0,188393730000.0,184079610000.0,149255200000.0,195061380000.0,98403200000.0
2052.0,186208260000.0,179901280000.0,146986830000.0,191726730000.0,94920070000.0
2053.0,183189370000.0,174169640000.0,145594940000.0,191656000000.0,90726940000.0
2054.0,180439550000.0,172180800000.0,142342280000.0,191165510000.0,88362290000.0
2055.0,177398240000.0,169655500000.0,141697630000.0,190720100000.0,86175800000.0
2056.0,174984410000.0,166523110000.0,138408210000.0,187608600000.0,81251900000.0
2057.0,169907260000.0,160296900000.0,134661860000.0,186067240000.0,78093010000.0
2058.0,167243100000.0,156328330000.0,131656200000.0,186751480000.0,73962370000.0
2059.0,163827840000.0,151885140000.0,129078730000.0,184766530000.0,71771550000.0
2060.0,163948870000.0,149785540000.0,126847380000.0,178892960000.0,68674780000.0
2061.0,161619030000.0,148494390000.0,124034610000.0,176630200000.0,65637910000.0
2062.0,159894240000.0,145953850000.0,120515540000.0,173452350000.0,62225470000.0
2063.0,158984340000.0,142800110000.0,119331980000.0,172048270000.0,59688227000.0
2064.0,158334450000.0,138153530000.0,118812800000.0,169292350000.0,56606847000.0
2065.0,156021770000.0,138828070000.0,118175220000.0,167413990000.0,53012767000.0
2066.0,152678100000.0,134852880000.0,118364680000.0,165538990000.0,50929357000.0
2067.0,150054100000.0,133252430000.0,116631470000.0,164709320000.0,48606925000.0
2068.0,146859590000.0,132449985000.0,114240460000.0,160748750000.0,46427220000.0
2069.0,145126640000.0,130549960000.0,112197480000.0,158830950000.0,44557910000.0
2070.0,142991750000.0,126785020000.0,109259555000.0,156176330000.0,43146750000.0
2071.0,141262650000.0,122285930000.0,109796470000.0,154713750000.0,41439097000.0
2072.0,141955860000.0,118326980000.0,107477040000.0,152630970000.0,38862926000.0
2073.0,140013570000.0,114740420000.0,106896700000.0,152688930000.0,37843034000.0
2074.0,135807680000.0,112467680000.0,106126090000.0,151441200000.0,35879645000.0
2075.0,134799820000.0,111847400000.0,104194330000.0,151083190000.0,33919710000.0
2076.0,133630420000.0,109064010000.0,103553960000.0,148927610000.0,31610270000.0
2077.0,131316670000.0,106221400000.0,102191060000.0,146202720000.0,29818309000.0
2078.0,132984850000.0,105315370000.0,102289360000.0,144551360000.0,28110987000.0
