time,CSIRO-MK3-6-0,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2032.0,61309587000.0,75174584000.0,65322332000.0,52520390000.0,69742150000.0,59139290000.0,72681250000.0,68655636000.0
2033.0,60945110000.0,73943800000.0,65990803000.0,52066644000.0,69369210000.0,57265295000.0,72280330000.0,67191656000.0
2034.0,57257636000.0,72292100000.0,66522194000.0,49035220000.0,67892230000.0,55115813000.0,69911840000.0,64903500000.0
2035.0,54597177000.0,71406500000.0,64686342000.0,46283500000.0,65351807000.0,55664947000.0,69969570000.0,64263080000.0
2036.0,53055422000.0,70840566000.0,64155324000.0,44861272000.0,63076815000.0,54285697000.0,68518887000.0,64821710000.0
2037.0,52897366000.0,69118230000.0,63819276000.0,44542595000.0,61380825000.0,52980605000.0,67299226000.0,62057220000.0
2038.0,50063310000.0,68781515000.0,62914480000.0,42301633000.0,59220337000.0,51934183000.0,63778533000.0,60513333000.0
2039.0,46759440000.0,65441636000.0,60004884000.0,39208215000.0,58119820000.0,49576407000.0,62178755000.0,57708474000.0
2040.0,47068530000.0,64901350000.0,57669345000.0,37477556000.0,55815864000.0,49078817000.0,61785730000.0,54562415000.0
2041.0,46143705000.0,63651394000.0,55585400000.0,34932800000.0,53748420000.0,47530900000.0,57936364000.0,52846813000.0
2042.0,43850080000.0,63175164000.0,54745403000.0,32129892000.0,51613200000.0,48486138000.0,57768350000.0,52144968000.0
2043.0,41057575000.0,62850392000.0,51390470000.0,29728960000.0,51977716000.0,49368994000.0,57476727000.0,51401007000.0
2044.0,39942832000.0,60135936000.0,48584565000.0,27481145000.0,47952888000.0,48012497000.0,55035680000.0,50542776000.0
2045.0,38841160000.0,58206190000.0,47822750000.0,26776205000.0,47163306000.0,46474277000.0,53493666000.0,48888988000.0
2046.0,38101580000.0,60061438000.0,47162190000.0,25219795000.0,46405587000.0,45880120000.0,52817453000.0,49431216000.0
