time,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CNRM-CM5
2039.0,51791024000.0,54110930000.0,39876207000.0,43512386000.0,57051950000.0,43924020000.0,62021650000.0,50887307000.0,56587890000.0,57715180000.0
2040.0,50390577000.0,51263530000.0,37064860000.0,42596170000.0,54178050000.0,42460676000.0,62555060000.0,52138934000.0,54077720000.0,59456418000.0
2041.0,49399210000.0,48938450000.0,36557130000.0,43092922000.0,53015335000.0,38027160000.0,60714230000.0,48701075000.0,50463465000.0,56990835000.0
2042.0,47983276000.0,46699454000.0,34965480000.0,40557340000.0,51146908000.0,37409624000.0,58608300000.0,50548480000.0,49435283000.0,57007866000.0
2043.0,46454874000.0,46236054000.0,33121360000.0,40842700000.0,48459702000.0,37010665000.0,57489090000.0,49018210000.0,48080890000.0,54015025000.0
2044.0,45923450000.0,45942930000.0,31616045000.0,39251440000.0,46536843000.0,35978625000.0,57340120000.0,48359444000.0,45396165000.0,52605858000.0
2045.0,44950766000.0,44875616000.0,30197135000.0,37425460000.0,43343327000.0,33725231000.0,56425234000.0,47049073000.0,42296644000.0,52630080000.0
2046.0,44906013000.0,44142326000.0,29844722000.0,36822500000.0,41973590000.0,31924756000.0,55108910000.0,45249143000.0,41151020000.0,51152732000.0
2047.0,44583035000.0,42653385000.0,28241037000.0,35928800000.0,39660040000.0,30571076000.0,53778575000.0,43869690000.0,41649443000.0,48667013000.0
2048.0,43613490000.0,43147223000.0,27035212000.0,34972004000.0,37144183000.0,28958177000.0,53389630000.0,43853074000.0,39615205000.0,47836824000.0
2049.0,40713830000.0,43475060000.0,26102490000.0,35696760000.0,36053530000.0,28483640000.0,50552893000.0,43472785000.0,39138968000.0,47187337000.0
2050.0,40074924000.0,42739310000.0,24572373000.0,32788730000.0,35618300000.0,27633402000.0,48704872000.0,41679827000.0,37756260000.0,45547620000.0
2051.0,38752035000.0,42170003000.0,22979396000.0,31205330000.0,34783793000.0,26825951000.0,48011915000.0,40805147000.0,37224587000.0,44632695000.0
2052.0,38625130000.0,41786036000.0,21559240000.0,31445836000.0,34336563000.0,25961308000.0,48600120000.0,40722346000.0,38329496000.0,45494920000.0
2053.0,38156968000.0,40901566000.0,20211870000.0,31221443000.0,33547870000.0,25770840000.0,50121925000.0,38610740000.0,37995876000.0,43737510000.0
2054.0,37318816000.0,40632185000.0,19618114000.0,31238568000.0,33263184000.0,26165530000.0,48754300000.0,36679807000.0,36130128000.0,43526357000.0
2055.0,36390773000.0,39974867000.0,19571704000.0,31231502000.0,32172024000.0,25121896000.0,45953073000.0,35975918000.0,36552434000.0,41101914000.0
2056.0,35865543000.0,42263704000.0,19422677000.0,29714926000.0,31544190000.0,24182794000.0,45938745000.0,35222360000.0,34838983000.0,42151985000.0
2057.0,35416728000.0,42091060000.0,18931466000.0,28711414000.0,30294153000.0,23815369000.0,46134810000.0,34549776000.0,34558870000.0,41269117000.0
2058.0,34824233000.0,40844296000.0,18060675000.0,28281094000.0,29288671000.0,22744920000.0,46660903000.0,33964171000.0,33579630000.0,39804027000.0
2059.0,34043838000.0,41306907000.0,17683646000.0,27033590000.0,29223447000.0,23504032000.0,46147207000.0,32646730000.0,32473412000.0,40068350000.0
2060.0,33863023000.0,42072880000.0,17140037000.0,27050988000.0,29029306000.0,23196205000.0,46483005000.0,33547268000.0,32214522000.0,39460786000.0
2061.0,32569555000.0,44200518000.0,16835170000.0,25653220000.0,28462772000.0,22313134000.0,46896165000.0,31807594000.0,33035043000.0,37944844000.0
2062.0,32242084000.0,44493914000.0,16855612000.0,24796887000.0,28784822000.0,21683458000.0,45712613000.0,31367991000.0,32404250000.0,36700934000.0
2063.0,31952382000.0,44295700000.0,16783599000.0,23175080000.0,29281690000.0,21249028000.0,46046777000.0,31792314000.0,32089842000.0,36731450000.0
2064.0,31375559000.0,43512398000.0,15374341000.0,22957396000.0,28466676000.0,21493535000.0,45655350000.0,29522045000.0,31033002000.0,36673237000.0
2065.0,30296960000.0,42975030000.0,14938116000.0,22923119000.0,27842791000.0,21622043000.0,45576176000.0,28708465000.0,31005235000.0,36657100000.0
2066.0,28092754000.0,44045734000.0,13721950000.0,23446954000.0,27335563000.0,21749316000.0,46773354000.0,28463835000.0,31860611000.0,35551818000.0
2067.0,28150028000.0,42618184000.0,13879930000.0,22898799000.0,27454517000.0,21952283000.0,47493317000.0,27069090000.0,32250915000.0,34548990000.0
2068.0,27844932000.0,40751710000.0,13783601000.0,22559340000.0,28069980000.0,22236148000.0,48590150000.0,27779727000.0,31512668000.0,34567053000.0
2069.0,26794068000.0,40921768000.0,13212370000.0,22787510000.0,28415050000.0,21607040000.0,47884030000.0,25937790000.0,31026627000.0,34191065000.0
2070.0,25877334000.0,40913502000.0,12912063000.0,22910304000.0,28033104000.0,21371455000.0,49142060000.0,26025626000.0,31023262000.0,34222658000.0
2071.0,25811139000.0,41453010000.0,12661130000.0,22362960000.0,27698205000.0,22205733000.0,48008483000.0,26889510000.0,30204502000.0,34952760000.0
2072.0,26616805000.0,41930666000.0,12262706000.0,23100990000.0,27524844000.0,21961900000.0,47454140000.0,27896644000.0,29207894000.0,33713838000.0
2073.0,25909905000.0,41287545000.0,11543127000.0,22644425000.0,27817847000.0,22176100000.0,48406900000.0,27886954000.0,28682306000.0,33573364000.0
2074.0,25341060000.0,40945670000.0,11469578000.0,22833273000.0,27502131000.0,22755879000.0,48172850000.0,27367918000.0,28072382000.0,33677450000.0
2075.0,25955578000.0,41292177000.0,10397178000.0,22986742000.0,27279344000.0,23034653000.0,48326373000.0,27283130000.0,27253620000.0,32910550000.0
2076.0,25635643000.0,41806148000.0,9897150000.0,22323993000.0,27855905000.0,23774413000.0,49241480000.0,27078627000.0,26750863000.0,31474776000.0
2077.0,25140330000.0,41895346000.0,9868978000.0,22153021000.0,25764272000.0,23819980000.0,47672090000.0,26530032000.0,25949448000.0,31877060000.0
2078.0,25682442000.0,40612990000.0,10138052000.0,22235974000.0,25542212000.0,23279440000.0,48009564000.0,26717088000.0,26364540000.0,30174001000.0
2079.0,25371531000.0,40486216000.0,9333384000.0,22233880000.0,24980179000.0,22908537000.0,47719500000.0,26341554000.0,26428043000.0,29813029000.0
2080.0,25422838000.0,38808320000.0,9303876000.0,21966020000.0,23670130000.0,23129494000.0,46969405000.0,25671608000.0,26787506000.0,28581333000.0
2081.0,25340412000.0,39683050000.0,9574683000.0,22112907000.0,22896624000.0,22995050000.0,47189330000.0,26005870000.0,26490735000.0,28618244000.0
2082.0,25768909000.0,39871525000.0,9561655000.0,22254047000.0,23340818000.0,23062788000.0,47406473000.0,24661290000.0,26566986000.0,28638980000.0
2083.0,26078292000.0,39709356000.0,9491790000.0,22495842000.0,22867251000.0,23034796000.0,49518068000.0,25732258000.0,27652577000.0,29579463000.0
2084.0,25616374000.0,38808715000.0,9923664000.0,22876041000.0,22579933000.0,22909764000.0,48382194000.0,25797878000.0,28325917000.0,29269848000.0
2085.0,25613013000.0,38580118000.0,10354254000.0,23009819000.0,21630462000.0,22699460000.0,48288403000.0,24799306000.0,28595650000.0,29882235000.0
2086.0,27047895000.0,39096996000.0,10095312000.0,22703569000.0,21515653000.0,23593410000.0,47081013000.0,25276731000.0,28040108000.0,29884760000.0
2087.0,26516945000.0,39210550000.0,9946335000.0,22795260000.0,21259856000.0,22552150000.0,46790360000.0,24979413000.0,28108753000.0,30484920000.0
2088.0,27708486000.0,39621120000.0,9584723000.0,22782570000.0,20684511000.0,21398594000.0,46707950000.0,24840948000.0,28962605000.0,30475719000.0
2089.0,27436886000.0,40028946000.0,9476034000.0,23231744000.0,20595907000.0,21018680000.0,46297182000.0,25584077000.0,27932742000.0,31474885000.0
2090.0,27833280000.0,39279490000.0,9301579000.0,23860720000.0,19568920000.0,20371304000.0,46648967000.0,25602277000.0,28492829000.0,31685569000.0
2091.0,28345227000.0,38607667000.0,9419211000.0,24353282000.0,19202216000.0,19734168000.0,48759767000.0,25998203000.0,28272103000.0,30831868000.0
2092.0,27461399000.0,38206990000.0,8924506000.0,24940984000.0,18856946000.0,19544713000.0,49843212000.0,26077598000.0,27391807000.0,31313121000.0
2093.0,27557659000.0,38543600000.0,9102840000.0,24512874000.0,18933098000.0,20135606000.0,48702940000.0,27068670000.0,27511038000.0,31834510000.0
2094.0,26881946000.0,38351520000.0,9169973000.0,23906961000.0,18821340000.0,20265558000.0,48354173000.0,27819910000.0,29062560000.0,32412834000.0
2095.0,28647385000.0,38484976000.0,9411827000.0,24478972000.0,18561534000.0,20298020000.0,49034527000.0,27557750000.0,28391518000.0,31590523000.0
2096.0,28652077000.0,39397700000.0,9392849000.0,24828195000.0,18005891000.0,20520395000.0,49643570000.0,26802084000.0,30052098000.0,31389550000.0
2097.0,29542562000.0,39956832000.0,9754911000.0,24540715000.0,17957663000.0,20068289000.0,49940880000.0,27827694000.0,28775973000.0,31561280000.0
2098.0,29376524000.0,40237707000.0,9488736000.0,25058415000.0,18857620000.0,19833960000.0,50302560000.0,27758391000.0,29092596000.0,31226636000.0
2099.0,30153943000.0,39669080000.0,9407154000.0,25150680000.0,18817202000.0,19621872000.0,51990080000.0,27919942000.0,29325318000.0,30966815000.0
2100.0,29624349000.0,39722780000.0,9761020000.0,24898763000.0,18136152000.0,19807967000.0,52609466000.0,27749239000.0,29335038000.0,31062637000.0
