time,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,GISS-E2-R,CCSM4,CNRM-CM5,CANESM2,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G
2039.0,42713040000.0,48470100000.0,36433244000.0,47350630000.0,45628023000.0,47220730000.0,41757266000.0,47419515000.0,40398676000.0,53624990000.0
2040.0,43052937000.0,46608660000.0,34721410000.0,47514840000.0,41772753000.0,44303790000.0,40618996000.0,46700466000.0,38304514000.0,54043775000.0
2041.0,40647037000.0,43927294000.0,34746348000.0,45614797000.0,40966960000.0,41244303000.0,37030937000.0,45666520000.0,37058544000.0,50661958000.0
2042.0,36857012000.0,42139894000.0,31886868000.0,43782586000.0,38898303000.0,41089860000.0,34211135000.0,44496785000.0,34959320000.0,50545553000.0
2043.0,36245262000.0,40710087000.0,29243656000.0,42865455000.0,36786954000.0,39869026000.0,32108278000.0,42191294000.0,33483368000.0,50309255000.0
2044.0,34822394000.0,37786616000.0,26767528000.0,40802038000.0,36258423000.0,37958193000.0,28685070000.0,40669164000.0,31152110000.0,48609055000.0
2045.0,32286513000.0,37005836000.0,24100022000.0,39136510000.0,34869480000.0,37000840000.0,25299540000.0,36992870000.0,30447913000.0,44110733000.0
2046.0,30129404000.0,34288433000.0,21936390000.0,36503020000.0,33796890000.0,37029790000.0,24206211000.0,36276826000.0,28299903000.0,42181210000.0
2047.0,29152276000.0,31928857000.0,20548876000.0,34712916000.0,32668168000.0,35494270000.0,22476155000.0,34230640000.0,27850172000.0,40351064000.0
2048.0,27213150000.0,29594837000.0,19507927000.0,33106794000.0,31081722000.0,35056370000.0,21429780000.0,33471775000.0,26903276000.0,38564280000.0
2049.0,25727801000.0,28392137000.0,18223810000.0,34289690000.0,30079326000.0,33897230000.0,19171744000.0,32229982000.0,24698935000.0,36051943000.0
2050.0,24642777000.0,26949260000.0,17308066000.0,33727277000.0,29504690000.0,33137142000.0,17702398000.0,30300953000.0,22915550000.0,34042233000.0
2051.0,22742952000.0,25065770000.0,15915483000.0,31904290000.0,28413710000.0,31079207000.0,16123060000.0,29385940000.0,21958949000.0,33910004000.0
2052.0,22051052000.0,23754610000.0,14068607000.0,31100328000.0,27302334000.0,29293259000.0,14680057000.0,27648186000.0,21707980000.0,32225940000.0
2053.0,20609565000.0,22657855000.0,12578273000.0,30180246000.0,25964847000.0,27579705000.0,13569684000.0,27621585000.0,20823208000.0,31222422000.0
2054.0,18997975000.0,19974451000.0,10783634000.0,28321376000.0,24392448000.0,26357910000.0,11870214000.0,25426698000.0,20269900000.0,31146383000.0
2055.0,18407588000.0,17921620000.0,9278731000.0,28293282000.0,23257831000.0,25308609000.0,10900468000.0,22896531000.0,19364172000.0,30070442000.0
2056.0,17548368000.0,16415950000.0,7376828000.0,28460059000.0,21841705000.0,24725840000.0,10684422000.0,21519757000.0,18318832000.0,28601584000.0
2057.0,16127718000.0,14426438000.0,6983173000.0,26294262000.0,20316279000.0,24084380000.0,10686998000.0,20322270000.0,17205375000.0,28017580000.0
2058.0,15263156000.0,12938642000.0,6214413000.0,25775809000.0,20315020000.0,24521957000.0,9762330000.0,18422760000.0,15911013000.0,27320541000.0
2059.0,14796514000.0,10878804000.0,5740692500.0,23794893000.0,18730699000.0,23989006000.0,8418657300.0,17941144000.0,14818654000.0,26579593000.0
2060.0,14769509000.0,9435098000.0,5498294300.0,22508397000.0,17433567000.0,23160416000.0,8065958400.0,16056875000.0,13763110000.0,25941748000.0
2061.0,14097530000.0,8421011000.0,5199716000.0,21844724000.0,16103047000.0,22152714000.0,7851437600.0,14580264000.0,13599535000.0,24661778000.0
2062.0,13201584000.0,7298142000.0,4656755000.0,20513903000.0,15310983000.0,22156560000.0,7616066000.0,14558751000.0,12973466000.0,23860270000.0
2063.0,12603876000.0,5999508500.0,4195517400.0,19542630000.0,14652887000.0,21434622000.0,6959124000.0,14816514000.0,12282958000.0,22247377000.0
2064.0,11972960000.0,5011570700.0,3744208600.0,19571190000.0,14424823000.0,20615520000.0,6291286000.0,13851592000.0,11487368000.0,21872392000.0
2065.0,10856888000.0,4138270500.0,3463198500.0,17706025000.0,14133127000.0,19446278000.0,5320868000.0,13029844000.0,10837870000.0,20108384000.0
2066.0,10148784000.0,3801041700.0,2843153000.0,16758896000.0,12426725000.0,17521015000.0,4908929500.0,11846708000.0,9723799000.0,18948762000.0
2067.0,9420235000.0,3295778000.0,2588321500.0,16554283000.0,11672316000.0,17151667000.0,4461936000.0,10993888000.0,9116509000.0,18439320000.0
2068.0,8917524000.0,2674884600.0,2276434000.0,15920943000.0,10612393000.0,16591694000.0,4152292600.0,10602942000.0,8637935000.0,18002442000.0
2069.0,8303347700.0,2294617000.0,2036254500.0,15391117000.0,10282813000.0,15497582000.0,3993342500.0,10273966000.0,8568719400.0,16956270000.0
2070.0,7480763000.0,2027244300.0,1794075400.0,14785193000.0,9782088000.0,14275380000.0,3727324400.0,9750850000.0,8631030000.0,16519165000.0
2071.0,6958813700.0,1918237200.0,1606325000.0,14503182000.0,9281516000.0,13654088000.0,3300620000.0,9070015000.0,8227544000.0,15410772000.0
