time,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0
2000.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0
2001.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0
2002.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0
2003.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0
2004.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0
2005.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0
2006.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0
2007.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0
2008.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0
2009.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0
2010.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0
2011.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0
2012.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0
2013.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0
2014.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0
2015.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0
2016.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0
2017.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0
2018.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0
2019.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0
2020.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0
2021.0,1119067400.0,1110049800.0,1098594000.0,1098890100.0,1085676800.0
2022.0,1099458800.0,1155333400.0,1085634000.0,1111392000.0,1110998500.0
2023.0,1085958400.0,1102584600.0,1077534700.0,1122723000.0,1068505100.0
