time,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0
2001.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0
2002.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0
2003.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0
2004.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0
2005.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0
2006.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0
2007.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0
2008.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0
2009.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0
2010.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0
2011.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0
2012.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0
2013.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0
2014.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0
2015.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0
2016.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0
2017.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0
2018.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0
2019.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0
2020.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0
2021.0,1102626800.0,1097661700.0,1102286000.0,1098047000.0
2022.0,1085050400.0,1075942300.0,1083732100.0,1087762300.0
2023.0,1143145300.0,1047515900.0,1075619600.0,1078682600.0
2024.0,1095469300.0,1027838300.0,1069148350.0,1069626700.0
2025.0,1075531100.0,1008703360.0,1051487900.0,1045605500.0
2026.0,1059417150.0,1097335300.0,1038030340.0,1013931200.0
2027.0,1046730300.0,976872450.0,1032357500.0,992505860.0
2028.0,1041707650.0,965312260.0,1015187200.0,975352200.0
2029.0,1034324200.0,921171460.0,990182200.0,963330600.0
2030.0,1029139840.0,893146100.0,968410000.0,943585860.0
2031.0,1026078800.0,860699300.0,942482900.0,922357000.0
2032.0,1023348740.0,828008260.0,920241900.0,927915460.0
2033.0,1014650200.0,798351550.0,898327100.0,885928960.0
2034.0,1017131260.0,764790140.0,873331460.0,866330300.0
2035.0,1005666000.0,742634050.0,858375040.0,908134850.0
2036.0,1116258600.0,727519800.0,828520600.0,934469200.0
2037.0,1001184960.0,710125500.0,805036350.0,838744640.0
2038.0,986857800.0,685961600.0,830404500.0,815182400.0
2039.0,972261800.0,666043600.0,786367740.0,806520600.0
2040.0,968167230.0,657049400.0,783503040.0,791465900.0
2041.0,959538750.0,640732500.0,784262600.0,782256100.0
2042.0,954715260.0,627087740.0,819729500.0,938767940.0
2043.0,970145340.0,612984300.0,764061250.0,797162400.0
2044.0,942656900.0,596904450.0,753922700.0,771958200.0
2045.0,939951200.0,596891460.0,814640260.0,815669700.0
2046.0,972891500.0,624334800.0,754607500.0,782757400.0
2047.0,952758200.0,623404600.0,745775900.0,912388300.0
2048.0,947460300.0,585624770.0,727343500.0,778860000.0
2049.0,920877250.0,583565400.0,715421300.0,781189800.0
2050.0,912929300.0,570847000.0,713168400.0,767456640.0
2051.0,914176700.0,564620800.0,705155600.0,763503300.0
2052.0,1204441700.0,558670300.0,693887550.0,924368500.0
2053.0,1063666800.0,549247550.0,730044800.0,775140160.0
2054.0,961574600.0,541560770.0,738064000.0,783553100.0
2055.0,931025700.0,620488400.0,726723460.0,779268000.0
2056.0,903335900.0,594576000.0,698194500.0,786815000.0
2057.0,905091600.0,683941500.0,728948350.0,826616450.0
2058.0,933135550.0,616269800.0,787761900.0,806940860.0
2059.0,1054286140.0,564858000.0,729784800.0,825454340.0
2060.0,1028212000.0,551225700.0,713781700.0,830236300.0
2061.0,993479550.0,674750300.0,716005200.0,851104900.0
2062.0,980394050.0,765426000.0,718160600.0,949492500.0
2063.0,976633300.0,615139500.0,704116540.0,1039059000.0
2064.0,948245800.0,572201150.0,700043140.0,962567000.0
2065.0,933890700.0,575204160.0,699869200.0,894931300.0
2066.0,984039360.0,568163460.0,693355300.0,888334700.0
2067.0,954297500.0,564004900.0,707241540.0,858082750.0
2068.0,934773300.0,564456960.0,691809000.0,854154240.0
2069.0,952025000.0,594016200.0,687333950.0,848263600.0
2070.0,952828160.0,607696400.0,683260600.0,885534000.0
2071.0,1001394000.0,569750340.0,678598600.0,848731100.0
2072.0,969458400.0,640231600.0,672100200.0,829806000.0
2073.0,944938100.0,565373100.0,668959170.0,819765500.0
2074.0,947297500.0,563292300.0,679354240.0,813674200.0
2075.0,1013278600.0,562813630.0,720862140.0,807239900.0
2076.0,951111600.0,563789760.0,668151740.0,796152960.0
2077.0,952121860.0,556450300.0,663450750.0,848427140.0
2078.0,947575100.0,561066500.0,705426100.0,785207400.0
2079.0,944020600.0,565783940.0,660935300.0,779711740.0
2080.0,970180350.0,613436400.0,653723260.0,823168000.0
2081.0,962584400.0,664455800.0,755537800.0,809534300.0
2082.0,958706100.0,564258940.0,674050600.0,757222800.0
2083.0,969105340.0,556976200.0,682069600.0,749603400.0
2084.0,1058829100.0,581427500.0,776843900.0,734254460.0
2085.0,961809700.0,571996000.0,715853400.0,724255500.0
2086.0,1109197300.0,556433000.0,685096900.0,715481150.0
2087.0,1084849000.0,558085900.0,685795460.0,715968600.0
2088.0,1051414800.0,559916200.0,723029200.0,721814140.0
2089.0,996913200.0,562436000.0,712272260.0,709351700.0
2090.0,1042069760.0,557447000.0,707636540.0,707771900.0
2091.0,1020889900.0,790908160.0,683342000.0,703419140.0
2092.0,1020745600.0,666629950.0,678240200.0,709331000.0
2093.0,1016851400.0,782285900.0,672826560.0,699599000.0
2094.0,1004406000.0,619931260.0,751488600.0,694066050.0
2095.0,1050495000.0,638711230.0,732965100.0,699955500.0
2096.0,1026863000.0,846788800.0,694357000.0,719352640.0
2097.0,1016538200.0,636007230.0,679636350.0,682655940.0
2098.0,1003643460.0,635118000.0,674028600.0,669131700.0
2099.0,1040479100.0,646322000.0,674286140.0,658021060.0
2100.0,1004381600.0,664273100.0,693664060.0,664778300.0
