time,CESM2-WACCM,IITM-ESM,TAIESM1,KACE-1-0-G,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4
2000.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0
2001.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0
2002.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0
2003.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0
2004.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0
2005.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0
2006.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0
2007.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0
2008.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0
2009.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0
2010.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0
2011.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0
2012.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0
2013.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0
2014.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0
2015.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0
2016.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0
2017.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0
2018.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0
2019.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0
2020.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0
2021.0,1094129400.0,1169218800.0,1097314400.0,1104332300.0,1103653500.0,1113181000.0,1098383000.0,1108424200.0,1091584600.0
2022.0,1101347200.0,1111032800.0,1079450500.0,1097140600.0,1179988400.0,1169290800.0,1091560400.0,1093002000.0,1070452160.0
2023.0,1096363400.0,1186992600.0,1060719900.0,1078077000.0,1084305000.0,1092338800.0,1107955600.0,1080714500.0,1064396300.0
2024.0,1065583360.0,1092375700.0,1053216900.0,1054277250.0,1064417150.0,1078512600.0,1091277400.0,1074894500.0,1098791300.0
2025.0,1055211970.0,1072406340.0,1032903940.0,1037756800.0,1048829800.0,1131902200.0,1070454200.0,1051359550.0,1042384900.0
2026.0,1040811900.0,1054171600.0,1017375700.0,1012343800.0,1029078700.0,1082809900.0,1046467840.0,1029299500.0,1046819840.0
2027.0,1022408260.0,1164978800.0,1001114430.0,992849860.0,1013924300.0,1055853630.0,1060768260.0,997374700.0,1090937700.0
2028.0,1008731260.0,1071045570.0,974192700.0,1021954560.0,1004266400.0,1028079700.0,1037513700.0,975867700.0,1052933440.0
2029.0,1059979260.0,1048148400.0,936302660.0,985883650.0,986305100.0,1014919000.0,1012720100.0,939333000.0,1017630850.0
2030.0,1138112800.0,1090141800.0,912471040.0,942744300.0,972679040.0,1006609900.0,1000649150.0,917444540.0,1006493800.0
2031.0,1014850370.0,1038502460.0,894247940.0,935958660.0,964768960.0,998090900.0,989428500.0,1012507970.0,998909500.0
2032.0,988366600.0,1042258240.0,856867260.0,924080200.0,951278200.0,979925400.0,970256260.0,1050490050.0,989327170.0
2033.0,970126400.0,1034290560.0,820340740.0,912477100.0,926776300.0,962410900.0,954009860.0,964612350.0,982656450.0
2034.0,947784640.0,1017431550.0,784843400.0,877328830.0,904269800.0,938854850.0,933607100.0,889763840.0,976659650.0
2035.0,945415230.0,1004472600.0,760480900.0,861811600.0,878242750.0,977648900.0,928492350.0,849938500.0,964818940.0
2036.0,937882940.0,1022046340.0,740644740.0,869533800.0,846854100.0,941322400.0,902385300.0,822292740.0,970146940.0
2037.0,917046400.0,1037411500.0,710135500.0,839774340.0,827004900.0,936974400.0,880744000.0,805348540.0,1093244700.0
2038.0,907071900.0,1049940700.0,695731100.0,812560400.0,821316200.0,914007200.0,1050599200.0,808018240.0,1005198000.0
2039.0,897685500.0,1026329700.0,680425200.0,789531840.0,796636000.0,907824700.0,929109200.0,784135360.0,1013639600.0
2040.0,875752770.0,1100060000.0,646576700.0,766896400.0,787116540.0,888470700.0,889128400.0,761726340.0,985631000.0
2041.0,873754100.0,1046529000.0,621429600.0,752520100.0,777320300.0,864252700.0,856085100.0,746414100.0,986543400.0
2042.0,861510500.0,1060066300.0,615799800.0,760647900.0,765555460.0,853710850.0,840476300.0,725143900.0,961480200.0
2043.0,856471900.0,1007529700.0,601797700.0,719510000.0,742629700.0,831078300.0,829962900.0,701367100.0,954887500.0
2044.0,836646460.0,1132630000.0,579754430.0,701979900.0,751311740.0,796216100.0,817439400.0,680334500.0,950776200.0
2045.0,834802800.0,1007680500.0,565555200.0,682333100.0,722517400.0,761639940.0,802760770.0,670318340.0,937087360.0
2046.0,817378300.0,1013670100.0,550923500.0,665574800.0,710928260.0,743694700.0,821288500.0,690900200.0,917962240.0
2047.0,809152300.0,1003817400.0,535059000.0,646451700.0,691233100.0,730836540.0,812343940.0,644160400.0,911314300.0
