time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,CANESM5
2000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0
2001.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0
2002.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0
2003.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0
2004.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0
2005.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0
2006.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0
2007.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0
2008.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0
2009.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0
2010.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0
2011.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0
2012.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0
2013.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0
2014.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0
2015.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0
2016.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0
2017.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0
2018.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0
2019.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0
2020.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0
2021.0,86737910000.0,87395700000.0,89269010000.0,86457430000.0,86333596000.0
2022.0,82879110000.0,83277490000.0,83907120000.0,86083265000.0,81159790000.0
2023.0,80228260000.0,81419770000.0,83170290000.0,83768310000.0,79691990000.0
2024.0,78413720000.0,78327630000.0,78547980000.0,81439785000.0,81236810000.0
2025.0,77955010000.0,75140555000.0,77266090000.0,76783550000.0,78388100000.0
2026.0,74417030000.0,71473980000.0,75419780000.0,73969435000.0,74924180000.0
2027.0,73165400000.0,68637670000.0,72715035000.0,68186456000.0,72977056000.0
2028.0,72557260000.0,64984986000.0,71175230000.0,67314934000.0,70025250000.0
2029.0,73854780000.0,62368770000.0,70030380000.0,63610302000.0,68570456000.0
2030.0,71197510000.0,60362440000.0,67114630000.0,59151140000.0,66271117000.0
2031.0,71201270000.0,54615953000.0,63004217000.0,54844596000.0,65469985000.0
2032.0,68798260000.0,51869250000.0,63923870000.0,51993813000.0,65410855000.0
2033.0,68418327000.0,47944143000.0,60786483000.0,48378220000.0,61804327000.0
2034.0,69173700000.0,46319346000.0,56352883000.0,46198290000.0,58148536000.0
2035.0,64440734000.0,44010082000.0,54102130000.0,43541324000.0,53819950000.0
2036.0,63326826000.0,41158857000.0,50556932000.0,38937465000.0,52063076000.0
2037.0,60371296000.0,37006590000.0,47207340000.0,36637417000.0,50210157000.0
2038.0,59258820000.0,34361860000.0,45512130000.0,34017386000.0,46691787000.0
2039.0,57483637000.0,31461648000.0,42307740000.0,32379347000.0,44832200000.0
2040.0,55333550000.0,29332621000.0,40307490000.0,29098437000.0,43113810000.0
2041.0,53259050000.0,28066015000.0,37927723000.0,26073147000.0,39087366000.0
2042.0,52151837000.0,24965319000.0,37660103000.0,24979069000.0,37206467000.0
2043.0,49980895000.0,23918932000.0,36789690000.0,21998453000.0,35343233000.0
2044.0,49166440000.0,22923266000.0,35338736000.0,20400601000.0,33747570000.0
2045.0,47457186000.0,21849756000.0,32992750000.0,17508616000.0,30557145000.0
2046.0,45887676000.0,20962830000.0,31774736000.0,15364778000.0,28186982000.0
2047.0,44137832000.0,20235876000.0,28337592000.0,13428683000.0,26274935000.0
2048.0,43032486000.0,19434478000.0,27895413000.0,12254050000.0,23234720000.0
2049.0,41589220000.0,18259990000.0,25511393000.0,9883792000.0,21342736000.0
2050.0,38841500000.0,16967464000.0,23206435000.0,8758819000.0,18942570000.0
2051.0,36350435000.0,15801727000.0,21274930000.0,7972476000.0,17637659000.0
2052.0,35035900000.0,14902863000.0,19491660000.0,6985109500.0,16881122000.0
2053.0,33469358000.0,14485978000.0,19221289000.0,6468817000.0,15439518000.0
2054.0,32436441000.0,13350915000.0,17197697000.0,5845164000.0,14118653000.0
2055.0,30864847000.0,12566685000.0,15954777000.0,5952985000.0,13350681000.0
2056.0,29280815000.0,11848155000.0,15086627000.0,5372787700.0,12351428000.0
2057.0,26778010000.0,11007014000.0,13905611000.0,4602171000.0,11939821000.0
2058.0,25907247000.0,10660940000.0,13075639000.0,4225890600.0,11077239000.0
2059.0,24142033000.0,10436078000.0,12527827000.0,3635026700.0,10708686000.0
2060.0,22128871000.0,10216775000.0,11253458000.0,3111446800.0,10117380000.0
2061.0,20829977000.0,10132945000.0,10367178000.0,2909187300.0,9293490000.0
2062.0,19294003000.0,10016770000.0,9615478000.0,2617623000.0,8528473000.0
2063.0,18608488000.0,10076973000.0,8642921000.0,2483235600.0,8373952000.0
2064.0,18232490000.0,10061692000.0,8154623000.0,2189735200.0,7686925000.0
