time,GFDL-ESM4,CNRM-CM6-1,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,TAIESM1,MIROC6,MRI-ESM2-0,KACE-1-0-G
2000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0
2001.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0
2002.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0
2003.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0
2004.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0
2005.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0
2006.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0
2007.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0
2008.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0
2009.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0
2010.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0
2011.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0
2012.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0
2013.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0
2014.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0
2015.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0
2016.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0
2017.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0
2018.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0
2019.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0
2020.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0
2021.0,86012060000.0,89168404000.0,84523650000.0,83311436000.0,85688160000.0,89453750000.0,89115750000.0,84845370000.0,88767680000.0,84707620000.0,87616586000.0,88654900000.0,87518220000.0
2022.0,83053120000.0,87416860000.0,83457030000.0,80974190000.0,81665740000.0,86465120000.0,85479330000.0,81986050000.0,88954530000.0,83443590000.0,86168600000.0,86858010000.0,83511570000.0
2023.0,81411810000.0,86449005000.0,83452260000.0,78715080000.0,79376720000.0,83603030000.0,83924920000.0,79809905000.0,86073970000.0,83169580000.0,84452170000.0,83307000000.0,78870630000.0
2024.0,78524965000.0,83780470000.0,81061450000.0,77987540000.0,75746345000.0,80655370000.0,79438720000.0,80084500000.0,81610400000.0,82493390000.0,81012700000.0,78445160000.0,74399600000.0
2025.0,77064640000.0,82409950000.0,76363280000.0,75201560000.0,72606510000.0,74803250000.0,75420300000.0,75677310000.0,79240310000.0,80842890000.0,81171005000.0,75867990000.0,70280850000.0
2026.0,76474450000.0,79877140000.0,76349600000.0,71778520000.0,70321316000.0,70276550000.0,73433694000.0,73498010000.0,77451076000.0,77184710000.0,78721830000.0,71088660000.0,62350463000.0
2027.0,75262345000.0,79602630000.0,73585295000.0,68107600000.0,68170555000.0,66640368000.0,68381966000.0,70613820000.0,76109980000.0,76145910000.0,77556015000.0,67980860000.0,59371938000.0
2028.0,73140040000.0,79422250000.0,71280255000.0,65643050000.0,64015593000.0,64702263000.0,64980680000.0,66345600000.0,72970950000.0,74612620000.0,75987020000.0,66687152000.0,54946845000.0
2029.0,71431260000.0,77937460000.0,72274305000.0,63906116000.0,60837600000.0,61666415000.0,63430156000.0,65148050000.0,70024450000.0,69156800000.0,75278690000.0,65595163000.0,48627016000.0
2030.0,69817860000.0,77672990000.0,71623620000.0,62099317000.0,57483182000.0,56526860000.0,60512690000.0,61302452000.0,66618204000.0,64292643000.0,72733745000.0,62694007000.0,45721030000.0
2031.0,69036660000.0,74475370000.0,66941784000.0,57891058000.0,53791166000.0,56293910000.0,58470750000.0,59995787000.0,64867414000.0,60338237000.0,69991140000.0,60350490000.0,42573615000.0
2032.0,66259040000.0,70648720000.0,64756790000.0,55624410000.0,49984660000.0,54339850000.0,56715563000.0,56111202000.0,61841097000.0,56976966000.0,68273934000.0,57537065000.0,39839633000.0
2033.0,65254105000.0,70024040000.0,61688058000.0,55669342000.0,45046520000.0,53119787000.0,51927634000.0,51292635000.0,59700896000.0,55264063000.0,65600150000.0,55358583000.0,37351240000.0
2034.0,64091510000.0,68287357000.0,58994660000.0,52591407000.0,41034793000.0,50711814000.0,49372217000.0,47970824000.0,58169900000.0,54613647000.0,63220224000.0,52851646000.0,33818251000.0
2035.0,62536294000.0,67071530000.0,56427508000.0,50979170000.0,38077514000.0,48826397000.0,46450520000.0,44833690000.0,54837113000.0,52070130000.0,61652337000.0,51600310000.0,30391912000.0
2036.0,60742930000.0,66259520000.0,55864870000.0,47207960000.0,35451790000.0,45785813000.0,45216010000.0,41712615000.0,54141395000.0,49808980000.0,59814638000.0,48995880000.0,27680295000.0
2037.0,60109406000.0,66997363000.0,54280397000.0,44699350000.0,33107145000.0,44793900000.0,44136690000.0,37075333000.0,53202450000.0,46048997000.0,57711866000.0,46682360000.0,24818303000.0
2038.0,58692560000.0,64270676000.0,53536120000.0,41607180000.0,30289144000.0,42353185000.0,41017550000.0,35029180000.0,49543370000.0,45775974000.0,55925940000.0,44997540000.0,21753915000.0
2039.0,56253604000.0,63347073000.0,52474786000.0,42099980000.0,28534278000.0,41013477000.0,39471510000.0,33391716000.0,48980005000.0,44160156000.0,54072030000.0,42196720000.0,19849675000.0
2040.0,54439817000.0,63908258000.0,53265840000.0,40129510000.0,26813491000.0,37998060000.0,37085614000.0,31599626000.0,48393110000.0,42797285000.0,52312870000.0,40651090000.0,17901769000.0
2041.0,51293786000.0,61748420000.0,51805598000.0,39176870000.0,24659257000.0,36150907000.0,34155979000.0,27916454000.0,48362795000.0,41729140000.0,51120570000.0,37791412000.0,16101997000.0
2042.0,50460643000.0,60296850000.0,49584000000.0,38124130000.0,24016890000.0,34237166000.0,33192340000.0,25136945000.0,45600387000.0,38913190000.0,50348410000.0,35880727000.0,14829456000.0
2043.0,49473970000.0,58881585000.0,48440873000.0,37165548000.0,23138520000.0,33038184000.0,32087558000.0,24291883000.0,44726837000.0,34614040000.0,49235997000.0,33961304000.0,13576516000.0
2044.0,46142595000.0,57444430000.0,47242994000.0,35735355000.0,21366751000.0,31648156000.0,30025267000.0,22536229000.0,42488770000.0,33512524000.0,47816210000.0,32307384000.0,12641723000.0
2045.0,45504770000.0,56226886000.0,46128420000.0,34633974000.0,19348976000.0,30351256000.0,28112323000.0,20736354000.0,41321157000.0,31907564000.0,46030053000.0,31587970000.0,11641036000.0
