time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,1141216300.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0,1093194400.0
2021.0,1080478600.0,1082413200.0,1098672400.0
2022.0,1065250800.0,1071096700.0,1095643100.0
2023.0,1071214100.0,1057894340.0,1082330500.0
2024.0,1040220400.0,1084959000.0,1061368000.0
2025.0,1018188400.0,1054254900.0,1045636600.0
2026.0,1005324600.0,1029994750.0,1035813200.0
2027.0,988386200.0,1011463230.0,1016693760.0
2028.0,968363800.0,1064588740.0,1007371100.0
2029.0,955294100.0,996285700.0,1003133950.0
2030.0,928907460.0,981973250.0,985543600.0
2031.0,899175360.0,967908300.0,993801300.0
2032.0,875067460.0,932245300.0,958438200.0
2033.0,882678000.0,918720400.0,937393200.0
2034.0,847459400.0,886224100.0,939847600.0
2035.0,837075500.0,866134200.0,942534140.0
2036.0,800164500.0,833113100.0,953675000.0
2037.0,780587700.0,813610430.0,883202560.0
2038.0,751231100.0,803238340.0,863705800.0
2039.0,730015400.0,767460100.0,848408060.0
2040.0,696749700.0,747993100.0,823696900.0
2041.0,675406340.0,713931140.0,798547260.0
2042.0,646785100.0,679328000.0,780086100.0
2043.0,618143360.0,634273100.0,767640100.0
2044.0,588669060.0,615645000.0,756113860.0
2045.0,574784260.0,593833300.0,733838900.0
2046.0,556168640.0,585525800.0,712363000.0
2047.0,523284450.0,558492500.0,699185540.0
2048.0,501004220.0,530768830.0,672954430.0
2049.0,485170660.0,512999520.0,636156160.0
2050.0,469657900.0,501164160.0,612965700.0
2051.0,445338270.0,475967900.0,593637700.0
2052.0,434186400.0,468724860.0,580781000.0
2053.0,417000500.0,467079550.0,551820300.0
2054.0,400798530.0,441843170.0,521129060.0
2055.0,388353000.0,427522180.0,506456220.0
2056.0,367971100.0,419233570.0,493343500.0
2057.0,382190200.0,405344770.0,476637300.0
2058.0,348586300.0,387657630.0,460033100.0
2059.0,334643040.0,377470880.0,442285860.0
2060.0,327316770.0,367516130.0,422726600.0
2061.0,313861570.0,365380220.0,407241340.0
2062.0,299330050.0,352079260.0,390817060.0
2063.0,290141400.0,346989300.0,372266600.0
2064.0,276961700.0,338304500.0,394878600.0
2065.0,265000820.0,330385200.0,346186240.0
2066.0,257205520.0,324877220.0,336091330.0
2067.0,246333140.0,314515040.0,316357120.0
2068.0,237323060.0,304446180.0,306036350.0
2069.0,231346000.0,288575100.0,297895580.0
2070.0,218119900.0,273668500.0,281197220.0
2071.0,212199950.0,268329440.0,260244800.0
2072.0,208662540.0,257707310.0,239705340.0
2073.0,193126860.0,248124770.0,226086340.0
2074.0,188068930.0,235575070.0,260001920.0
2075.0,186023540.0,225500720.0,207469250.0
2076.0,180470060.0,218340300.0,186855170.0
2077.0,174603780.0,208413620.0,176086430.0
2078.0,166993090.0,194670200.0,230370240.0
2079.0,163587330.0,184542860.0,171812690.0
2080.0,155375150.0,171548860.0,163682020.0
2081.0,149614450.0,179232400.0,153990140.0
2082.0,153285260.0,156200640.0,145752500.0
2083.0,197853440.0,149876020.0,138476000.0
2084.0,144333340.0,141095650.0,132388216.0
2085.0,148578510.0,134679460.0,133683300.0
2086.0,138824100.0,127252810.0,126781550.0
2087.0,134669870.0,122967060.0,118720110.0
2088.0,137403900.0,113343704.0,117612200.0
2089.0,131253980.0,106426860.0,112240080.0
2090.0,126854440.0,96928456.0,107406680.0
2091.0,117970600.0,89492296.0,100844040.0
2092.0,116267830.0,83854600.0,92622584.0
2093.0,113262424.0,79525420.0,87654420.0
2094.0,107673544.0,74595870.0,82517060.0
2095.0,104615304.0,69855360.0,79704500.0
2096.0,99254350.0,64103790.0,73321544.0
2097.0,96606980.0,58687372.0,65239420.0
2098.0,92482760.0,58172160.0,63106884.0
2099.0,88406950.0,57596920.0,62056716.0
2100.0,83600560.0,56418984.0,59023988.0
2101.0,74016140.0,52574200.0,54513028.0
2102.0,70613550.0,51889172.0,50763070.0
2103.0,65687910.0,48727436.0,49143984.0
2104.0,62730320.0,46353760.0,47043860.0
2105.0,58487540.0,44367610.0,45749916.0
2106.0,56590784.0,43269456.0,43171108.0
2107.0,51974456.0,40825100.0,38277540.0
2108.0,50085624.0,39796950.0,37492600.0
2109.0,47861068.0,38011360.0,35391680.0
2110.0,45782500.0,37153124.0,34419564.0
2111.0,43951370.0,34399004.0,32828460.0
2112.0,44073280.0,31988292.0,32685942.0
2113.0,39156748.0,28978520.0,32789636.0
2114.0,38224676.0,26707636.0,32342744.0
2115.0,37384756.0,24256252.0,32142548.0
2116.0,35676660.0,22049596.0,31218738.0
2117.0,33825212.0,20372546.0,28263766.0
2118.0,32427046.0,19198290.0,27131878.0
2119.0,32305178.0,18056792.0,26570656.0
2120.0,32369670.0,17899482.0,24951430.0
2121.0,32448454.0,16879448.0,23598508.0
2122.0,31535958.0,15435825.0,21853956.0
2123.0,29783952.0,13804483.0,21503412.0
2124.0,28992786.0,13434536.0,20745932.0
2125.0,28190794.0,12841992.0,19289730.0
2126.0,28245508.0,12590731.0,16911080.0
2127.0,27240682.0,11492253.0,16578087.0
2128.0,27074430.0,11304869.0,14897287.0
2129.0,26291592.0,10417592.0,13475157.0
2130.0,25939534.0,9888337.0,12744870.0
2131.0,25925554.0,8973054.0,10671750.0
2132.0,25336398.0,8723209.0,9561482.0
2133.0,24170648.0,8218233.0,12172599.0
2134.0,22772432.0,8007803.0,9563606.0
2135.0,22465090.0,7938794.0,8150758.0
2136.0,24384926.0,7349523.0,6495945.5
2137.0,22974572.0,6970591.0,6291344.5
2138.0,21412080.0,6038486.5,5875504.0
2139.0,20874088.0,5400389.0,5328037.0
2140.0,20375978.0,5291960.0,5007713.0
2141.0,19671396.0,5183213.0,4937698.0
2142.0,18845040.0,4773973.5,5096202.5
2143.0,17237846.0,4482041.0,5075503.0
2144.0,16240822.0,4026325.0,4846595.0
2145.0,16144847.0,3674255.0,4276331.0
2146.0,15665874.0,2785630.5,4218979.0
2147.0,15099200.0,2794984.2,4145703.0
