time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR
2059.0,18989144000.0,26288476000.0,26144629000.0,32013042000.0,31595375000.0
2060.0,18373296000.0,25417770000.0,25482695000.0,31261555000.0,30990475000.0
2061.0,17752350000.0,24659603000.0,24808876000.0,30515266000.0,30561604000.0
2062.0,17057176000.0,23873987000.0,24088758000.0,30607841000.0,29856190000.0
2063.0,16473628000.0,22999458000.0,23434643000.0,29770537000.0,29078720000.0
2064.0,15874847000.0,22227579000.0,22627620000.0,29281810000.0,28250296000.0
2065.0,15206132000.0,21441942000.0,22167998000.0,28942696000.0,27461702000.0
2066.0,14767733000.0,20787990000.0,21645400000.0,28256494000.0,27312282000.0
2067.0,14085728000.0,20152525000.0,21174348000.0,27758094000.0,26490583000.0
2068.0,13465176000.0,19443065000.0,20493826000.0,27208804000.0,25726282000.0
2069.0,12851367000.0,18814216000.0,20105824000.0,26671139000.0,25157048000.0
2070.0,12321635000.0,18074050000.0,19604187000.0,26268862000.0,24702386000.0
2071.0,11815349000.0,17429887000.0,19073993000.0,25903507000.0,24157956000.0
2072.0,11446728000.0,16771744000.0,18541140000.0,25215461000.0,23483015000.0
2073.0,11129321000.0,16101959000.0,18153320000.0,24723925000.0,22963310000.0
2074.0,10731127000.0,15481938000.0,17720938000.0,24335639000.0,22495818000.0
2075.0,10197487000.0,14870267000.0,17239388000.0,24207850000.0,21854069000.0
2076.0,9808230000.0,14227161000.0,16654930000.0,23514421000.0,21218190000.0
2077.0,9429639000.0,13639879000.0,16273076000.0,23085214000.0,20687278000.0
2078.0,9117307000.0,13156276000.0,15762276000.0,22651980000.0,20091752000.0
2079.0,8721140000.0,12603125000.0,15235514000.0,22124323000.0,19546515000.0
2080.0,8435542000.0,12044631000.0,14869018000.0,21640188000.0,18965010000.0
2081.0,8006710300.0,11596628000.0,14514725000.0,21209380000.0,18448232000.0
2082.0,7623683600.0,11061297000.0,14130224000.0,20772076000.0,17937078000.0
2083.0,7183888400.0,10481520000.0,13881161000.0,20276780000.0,17489920000.0
2084.0,6854665700.0,9997667000.0,13390649000.0,19788567000.0,16900347000.0
2085.0,6495518700.0,9597693000.0,13044752000.0,19326327000.0,16439851000.0
2086.0,5914314000.0,9134922000.0,12669984000.0,19044985000.0,15905191000.0
2087.0,5472623000.0,8671167000.0,12279907000.0,18655764000.0,15533623000.0
2088.0,5026732000.0,8036025300.0,11981503000.0,18195945000.0,14947555000.0
2089.0,4677999600.0,7615367700.0,11626556000.0,17877550000.0,14503918000.0
2090.0,4223998500.0,7156151300.0,11344190000.0,17491591000.0,14029869000.0
2091.0,3923212000.0,6635134000.0,11078332000.0,17007489000.0,13622808000.0
2092.0,3507392500.0,6225863700.0,10841820000.0,16680665000.0,13266690000.0
2093.0,3175707000.0,5858140700.0,10460265000.0,16255527000.0,12858668000.0
2094.0,2870583800.0,5535429600.0,10025973000.0,15864516000.0,12442163000.0
2095.0,2703387400.0,5176945000.0,9492569000.0,15667244000.0,12103441000.0
2096.0,2488075300.0,4884265500.0,9122650000.0,15311870000.0,11807243000.0
2097.0,2274348300.0,4574495000.0,8737658000.0,14947229000.0,11475490000.0
2098.0,2100220500.0,4269857800.0,8256614000.0,14500462000.0,11131214000.0
2099.0,1930809000.0,3987411000.0,7888374000.0,14099526000.0,10883940000.0
2100.0,1772796800.0,3796562200.0,7651511300.0,13699382000.0,10546596000.0
