time,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR
2059.0,21387442000.0,33605640000.0,30088090000.0,34128738000.0,28790184000.0
2060.0,20616534000.0,32844485000.0,29497928000.0,33528121000.0,28062507000.0
2061.0,19898964000.0,32271966000.0,28739312000.0,32716962000.0,27432432000.0
2062.0,19185725000.0,31642149000.0,28352150000.0,32162860000.0,26944106000.0
2063.0,18715900000.0,31890151000.0,27811322000.0,31602326000.0,26299877000.0
2064.0,18077802000.0,31216650000.0,27195718000.0,30918904000.0,25560564000.0
2065.0,17610908000.0,30131704000.0,26960760000.0,30405138000.0,24799445000.0
2066.0,17075758000.0,29479008000.0,26081022000.0,29854302000.0,24015682000.0
2067.0,16515036000.0,29000580000.0,25627402000.0,29230367000.0,23367647000.0
2068.0,16053197000.0,28705479000.0,25210786000.0,28503255000.0,22819205000.0
2069.0,15404733000.0,28169785000.0,24670583000.0,27952140000.0,22309265000.0
2070.0,14980205000.0,27367455000.0,24035205000.0,27709374000.0,21670250000.0
2071.0,14476675000.0,26748730000.0,23302658000.0,26970874000.0,21171603000.0
2072.0,13939467000.0,26193990000.0,22907613000.0,26402005000.0,20599722000.0
2073.0,13471392000.0,25800229000.0,22390820000.0,25869867000.0,19939074000.0
2074.0,12994484000.0,25257673000.0,21925648000.0,25370330000.0,19338949000.0
2075.0,12580538000.0,25065034000.0,21621993000.0,25023132000.0,18820456000.0
2076.0,12146693000.0,24360399000.0,21036863000.0,24474080000.0,18352579000.0
2077.0,11738361000.0,23753738000.0,20560937000.0,23708658000.0,17727494000.0
2078.0,11292796000.0,23114365000.0,20088175000.0,23266562000.0,17185366000.0
2079.0,10921080000.0,22543469000.0,19693257000.0,22882456000.0,16715136000.0
2080.0,10602046000.0,22097250000.0,19337070000.0,22402554000.0,16268016000.0
2081.0,10316405000.0,21584941000.0,18878770000.0,22095002000.0,15717492000.0
2082.0,9995795000.0,21040613000.0,18546303000.0,21980355000.0,15213811000.0
2083.0,9622026000.0,20668178000.0,18153050000.0,21389275000.0,14809598000.0
2084.0,9256351000.0,20316131000.0,17765374000.0,20810514000.0,14334907000.0
2085.0,8945427000.0,19836322000.0,17246200000.0,20449892000.0,13907487000.0
2086.0,8566247000.0,19414290000.0,16974359000.0,20102818000.0,13567762000.0
2087.0,8070158300.0,19079866000.0,16592185000.0,19886471000.0,13142962000.0
2088.0,7621138400.0,18384970000.0,16262198000.0,19479101000.0,12745277000.0
2089.0,7247228400.0,18120634000.0,15882168000.0,19223540000.0,12318043000.0
2090.0,6890374700.0,17780718000.0,15639338000.0,18808912000.0,11922727000.0
2091.0,6605223000.0,17229318000.0,15282730000.0,18548849000.0,11539431000.0
2092.0,6075656000.0,16791516000.0,15017047000.0,18298405000.0,11056456000.0
2093.0,5691969500.0,16454109000.0,14745499000.0,17783212000.0,10678289000.0
2094.0,5363768000.0,16051664000.0,14449394000.0,17477755000.0,10232778000.0
2095.0,5008954000.0,15684534000.0,14130198000.0,17169026000.0,9769112000.0
2096.0,4700326400.0,15249047000.0,13879593000.0,16889118000.0,9315815000.0
2097.0,4409706500.0,14827533000.0,13609648000.0,16633654000.0,8782874000.0
2098.0,4150087400.0,14410004000.0,13407562000.0,16353243000.0,8337280000.0
2099.0,3952831700.0,14142616000.0,13142202000.0,16055179000.0,8006075400.0
2100.0,3734125300.0,13753520000.0,12854545000.0,15781575000.0,7709418000.0
