time,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
2021.0,4280211000000.0,4273076200000.0,4246814300000.0,4278221000000.0,4266476200000.0,4257521000000.0
2022.0,4245368600000.0,4239976000000.0,4233959000000.0,4250027400000.0,4243549300000.0,4230890000000.0
2023.0,4238035600000.0,4182203200000.0,4205913300000.0,4212556000000.0,4217085600000.0,4214311400000.0
2024.0,4213169000000.0,4142745800000.0,4185478400000.0,4189713600000.0,4197141700000.0,4188082300000.0
2025.0,4174140700000.0,4129041000000.0,4139106200000.0,4173264300000.0,4154539400000.0,4154912100000.0
2026.0,4109385900000.0,4093476600000.0,4089702300000.0,4154577400000.0,4122448800000.0,4148706700000.0
2027.0,4082147300000.0,4084026300000.0,4041992800000.0,4133333800000.0,4096002400000.0,4113699000000.0
2028.0,4042281000000.0,4054285800000.0,4000414700000.0,4091025800000.0,4077887400000.0,4086754700000.0
2029.0,4023571400000.0,4019549000000.0,3969961400000.0,4067803000000.0,4048158000000.0,4063914000000.0
2030.0,3993589300000.0,3991087600000.0,3942461000000.0,4038230300000.0,4029062800000.0,4034533500000.0
2031.0,3960074100000.0,3964319000000.0,3896041000000.0,4001112800000.0,3995895300000.0,4012527800000.0
2032.0,3929164000000.0,3941526700000.0,3875169000000.0,3957650000000.0,3969643400000.0,4010832300000.0
2033.0,3876865000000.0,3898749000000.0,3860677300000.0,3892336700000.0,3931436700000.0,4002401200000.0
2034.0,3822086300000.0,3889823500000.0,3806005600000.0,3851501200000.0,3900106300000.0,3982927600000.0
2035.0,3788418300000.0,3840789700000.0,3764773200000.0,3799590400000.0,3842787200000.0,3943865300000.0
2036.0,3752173000000.0,3790993000000.0,3719896500000.0,3776362300000.0,3820021000000.0,3929148500000.0
2037.0,3707367000000.0,3743721000000.0,3696083000000.0,3741090600000.0,3805649600000.0,3913051300000.0
2038.0,3658824500000.0,3696853800000.0,3635938600000.0,3712650800000.0,3779819000000.0,3856887000000.0
2039.0,3616326000000.0,3668021600000.0,3600039300000.0,3680575200000.0,3770387000000.0,3814944700000.0
2040.0,3581793800000.0,3631194600000.0,3574242200000.0,3632399000000.0,3748356400000.0,3791056000000.0
2041.0,3556908500000.0,3601870600000.0,3535771800000.0,3604168600000.0,3720440000000.0,3778672000000.0
2042.0,3527417800000.0,3553358000000.0,3507809000000.0,3577560200000.0,3704327800000.0,3752440600000.0
2043.0,3487554900000.0,3512881400000.0,3475948200000.0,3568240200000.0,3681142700000.0,3726107700000.0
2044.0,3468982700000.0,3479722800000.0,3421545400000.0,3533502400000.0,3662713200000.0,3682441000000.0
2045.0,3452146300000.0,3458227800000.0,3396840200000.0,3471976000000.0,3644004500000.0,3651566800000.0
2046.0,3429816900000.0,3432409700000.0,3352463100000.0,3441834900000.0,3609421400000.0,3659865300000.0
2047.0,3405226000000.0,3417799000000.0,3332243200000.0,3391334000000.0,3585982000000.0,3628088200000.0
2048.0,3392348000000.0,3399957300000.0,3304320100000.0,3370446200000.0,3548244300000.0,3610906700000.0
2049.0,3363060000000.0,3384435300000.0,3270331300000.0,3348611200000.0,3541122700000.0,3578769700000.0
2050.0,3323738500000.0,3350050400000.0,3218165700000.0,3336348000000.0,3513124400000.0,3553527600000.0
2051.0,3309971200000.0,3319350200000.0,3196318400000.0,3298816000000.0,3498314300000.0,3516473300000.0
2052.0,3287337700000.0,3297964000000.0,3168181400000.0,3274815000000.0,3467230300000.0,3482084000000.0
2053.0,3270784600000.0,3258983000000.0,3140282000000.0,3232291000000.0,3444751200000.0,3465446200000.0
2054.0,3259166600000.0,3224990600000.0,3109828400000.0,3218417400000.0,3418569000000.0,3466914200000.0
2055.0,3255713000000.0,3184220700000.0,3076628400000.0,3191209200000.0,3404064600000.0,3460754600000.0
2056.0,3244790000000.0,3138243300000.0,3052900700000.0,3159769700000.0,3380598800000.0,3450603000000.0
2057.0,3228537500000.0,3110640500000.0,3019251000000.0,3120366400000.0,3358660000000.0,3427818300000.0
2058.0,3209967400000.0,3080172600000.0,2991925000000.0,3092655400000.0,3337220800000.0,3399799500000.0
2059.0,3185938800000.0,3031108000000.0,2948801800000.0,3059003200000.0,3322439500000.0,3369472000000.0
2060.0,3172006400000.0,3019630700000.0,2907159000000.0,3034648200000.0,3322056800000.0,3350295200000.0
2061.0,3149979000000.0,2982382100000.0,2885021900000.0,3012427500000.0,3310482000000.0,3348373700000.0
2062.0,3125133000000.0,2940050900000.0,2851441700000.0,2984262800000.0,3309331500000.0,3319770000000.0
2063.0,3107752500000.0,2916638500000.0,2821783600000.0,2959207800000.0,3310851700000.0,3275591300000.0
2064.0,3081239500000.0,2876991600000.0,2794867700000.0,2943690200000.0,3288314700000.0,3253140700000.0
2065.0,3059704100000.0,2846187800000.0,2761372700000.0,2929123700000.0,3265316300000.0,3243969300000.0
2066.0,3031692500000.0,2820968800000.0,2724802600000.0,2901840200000.0,3242762200000.0,3213792600000.0
2067.0,3033244400000.0,2790586800000.0,2686479000000.0,2867979600000.0,3219506300000.0,3207729300000.0
2068.0,3025389700000.0,2759358000000.0,2656404200000.0,2847437200000.0,3192239200000.0,3185235700000.0
2069.0,3009828000000.0,2732511000000.0,2628201000000.0,2803016100000.0,3178785700000.0,3163120700000.0
2070.0,3008797900000.0,2701188400000.0,2586805300000.0,2772906000000.0,3158895000000.0,3138688400000.0
2071.0,2984477200000.0,2683549300000.0,2558350900000.0,2746124900000.0,3157824000000.0,3103902700000.0
2072.0,2967381000000.0,2658188400000.0,2545868900000.0,2710465000000.0,3147101400000.0,3078748000000.0
2073.0,2934887400000.0,2609356500000.0,2512792800000.0,2690617200000.0,3115874800000.0,3054138800000.0
