time,CANESM5,ACCESS-ESM1-5,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-CM2
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
2021.0,4284061000000.0,4261210200000.0,4278042000000.0,4250450300000.0,4259823700000.0,4240962500000.0
2022.0,4242020200000.0,4233700000000.0,4252409000000.0,4200990200000.0,4225540600000.0,4193635300000.0
2023.0,4215095700000.0,4218017500000.0,4233303200000.0,4157222000000.0,4202113500000.0,4172829400000.0
2024.0,4172769000000.0,4188844600000.0,4227353800000.0,4116597400000.0,4194169500000.0,4145045000000.0
2025.0,4144012000000.0,4154506300000.0,4201698600000.0,4069542000000.0,4162982800000.0,4115857100000.0
2026.0,4125201800000.0,4110005800000.0,4182748400000.0,4016337800000.0,4113622000000.0,4084183600000.0
2027.0,4079849000000.0,4069839900000.0,4166301300000.0,3997973000000.0,4084622200000.0,4061728300000.0
2028.0,4028034400000.0,4058185000000.0,4119009400000.0,3975019500000.0,4061498700000.0,4007939300000.0
2029.0,4002438200000.0,4038447300000.0,4098927000000.0,3937363300000.0,4024787500000.0,3956597300000.0
2030.0,3992150300000.0,3995297000000.0,4069443500000.0,3912820900000.0,3965881000000.0,3926041800000.0
2031.0,3962556000000.0,3957965500000.0,4038086600000.0,3892588800000.0,3931176200000.0,3892963400000.0
2032.0,3915456400000.0,3912466700000.0,4019235300000.0,3855296000000.0,3886664400000.0,3837011700000.0
2033.0,3886210000000.0,3876564200000.0,4010799800000.0,3825853300000.0,3846170500000.0,3786007600000.0
2034.0,3863552500000.0,3859316500000.0,3989696200000.0,3784418800000.0,3824859000000.0,3728765000000.0
2035.0,3831262600000.0,3830598300000.0,3971576500000.0,3759540000000.0,3790900300000.0,3694030000000.0
2036.0,3801195700000.0,3806090200000.0,3954558400000.0,3714919200000.0,3757074500000.0,3655935200000.0
2037.0,3771937800000.0,3793869600000.0,3930785800000.0,3675492000000.0,3735390500000.0,3633818000000.0
2038.0,3731013000000.0,3766468200000.0,3899716300000.0,3621578600000.0,3697656500000.0,3598951000000.0
2039.0,3689722000000.0,3759541000000.0,3863693200000.0,3594313000000.0,3669834300000.0,3561364000000.0
2040.0,3658514700000.0,3716129000000.0,3831567700000.0,3559167400000.0,3648440000000.0,3512453600000.0
2041.0,3619002000000.0,3683015500000.0,3798877300000.0,3530880200000.0,3626583000000.0,3488741300000.0
2042.0,3591822000000.0,3652698000000.0,3732105900000.0,3485714000000.0,3585248300000.0,3452882400000.0
2043.0,3549035800000.0,3614376500000.0,3684744800000.0,3438066800000.0,3541129800000.0,3415643000000.0
2044.0,3505577000000.0,3575845000000.0,3639420000000.0,3406445200000.0,3503029200000.0,3386324000000.0
2045.0,3436863600000.0,3548399300000.0,3609300300000.0,3368315800000.0,3440486400000.0,3331992600000.0
2046.0,3377737000000.0,3516632700000.0,3567346300000.0,3329442200000.0,3400908400000.0,3292361000000.0
2047.0,3331437400000.0,3475854600000.0,3540247600000.0,3300799800000.0,3370557000000.0,3255861500000.0
2048.0,3282921800000.0,3458483000000.0,3503584000000.0,3266577000000.0,3338167000000.0,3243271300000.0
2049.0,3244529800000.0,3446919100000.0,3462233800000.0,3222388900000.0,3303842000000.0,3221959200000.0
2050.0,3204127700000.0,3431088000000.0,3415427000000.0,3165008200000.0,3282096000000.0,3205773000000.0
2051.0,3165394600000.0,3413614800000.0,3374103700000.0,3150629300000.0,3261221600000.0,3163322300000.0
2052.0,3135007400000.0,3401715000000.0,3360526700000.0,3131455000000.0,3224949200000.0,3138186400000.0
2053.0,3088614400000.0,3376643000000.0,3342752500000.0,3095400500000.0,3179459400000.0,3093866000000.0
2054.0,3060337500000.0,3333170400000.0,3300507800000.0,3069091800000.0,3140029500000.0,3045112200000.0
2055.0,3012675000000.0,3294838000000.0,3279925800000.0,3014340400000.0,3109745000000.0,3001927600000.0
2056.0,2949118400000.0,3246036400000.0,3253438300000.0,2983084700000.0,3078126300000.0,2956384000000.0
2057.0,2894584300000.0,3230588200000.0,3221533500000.0,2935586600000.0,3047051200000.0,2915917400000.0
2058.0,2841882000000.0,3207776700000.0,3195518000000.0,2889371400000.0,2996133200000.0,2887608400000.0
2059.0,2816391500000.0,3163257300000.0,3168861700000.0,2868799900000.0,2969457700000.0,2835189300000.0
2060.0,2774131300000.0,3117011700000.0,3138576000000.0,2839983700000.0,2938651500000.0,2792467700000.0
2061.0,2732746300000.0,3094888600000.0,3107352700000.0,2788236000000.0,2886381000000.0,2753208500000.0
2062.0,2692656400000.0,3045054000000.0,3092360000000.0,2737739100000.0,2863354300000.0,2696654600000.0
2063.0,2642882900000.0,3013242300000.0,3066259800000.0,2689938200000.0,2821583800000.0,2648099800000.0
2064.0,2607585700000.0,2975071000000.0,3039466000000.0,2630913600000.0,2788963400000.0,2605959300000.0
2065.0,2566615700000.0,2935029200000.0,3008456600000.0,2591778700000.0,2748938000000.0,2545164700000.0
2066.0,2534186000000.0,2894666400000.0,2948732600000.0,2518635000000.0,2717266000000.0,2498992300000.0
2067.0,2482063800000.0,2854191000000.0,2907529500000.0,2471327200000.0,2672632800000.0,2449362400000.0
2068.0,2425895000000.0,2831718300000.0,2870890500000.0,2434780400000.0,2628376300000.0,2398045300000.0
2069.0,2374210700000.0,2777878000000.0,2824856700000.0,2379599600000.0,2595459000000.0,2363026000000.0
2070.0,2339422900000.0,2726620000000.0,2799445000000.0,2330405600000.0,2560209700000.0,2321151000000.0
2071.0,2291387600000.0,2700015300000.0,2771281000000.0,2268651600000.0,2521580200000.0,2263977000000.0
2072.0,2246484200000.0,2670401700000.0,2745179000000.0,2218369500000.0,2478149500000.0,2216085400000.0
2073.0,2196323400000.0,2638494800000.0,2712394000000.0,2143508600000.0,2441681800000.0,2168742300000.0
