time,GISS-E2-R,GFDL-CM3,CCSM4,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,CESM1-CAM5,CANESM2
2075.0,50107843000.0,47099113000.0,49640360000.0,48625990000.0,49147142000.0,48949560000.0,49665507000.0,50466796000.0,48928166000.0,47673676000.0,48880800000.0
2076.0,50113892000.0,46944560000.0,49577153000.0,48468263000.0,49080013000.0,48871130000.0,49596686000.0,50508880000.0,48855323000.0,47566840000.0,48822964000.0
2077.0,50081366000.0,46775490000.0,49555090000.0,48347255000.0,48936165000.0,48822944000.0,49523440000.0,50398515000.0,48723050000.0,47476180000.0,48753630000.0
2078.0,50035196000.0,46618976000.0,49504965000.0,48260305000.0,48871883000.0,48761647000.0,49448840000.0,50341016000.0,48619524000.0,47351780000.0,48619065000.0
2079.0,49994355000.0,46437760000.0,49623480000.0,48168070000.0,48753330000.0,48706820000.0,49399460000.0,50315522000.0,48521175000.0,47244886000.0,48582824000.0
2080.0,49920745000.0,46272696000.0,49401897000.0,48054350000.0,48709810000.0,48637050000.0,49333320000.0,50278494000.0,48448280000.0,47106765000.0,48428840000.0
2081.0,49940170000.0,46144580000.0,49354105000.0,48010707000.0,48624130000.0,48562696000.0,49253413000.0,50220790000.0,48374040000.0,47015550000.0,48332268000.0
2082.0,49874366000.0,45979083000.0,49314250000.0,47912276000.0,48545460000.0,48503080000.0,49188532000.0,50188720000.0,48286487000.0,46921130000.0,48255200000.0
2083.0,49837515000.0,45856810000.0,49244373000.0,47852098000.0,48448696000.0,48446788000.0,49123950000.0,50157793000.0,48218935000.0,46816870000.0,48173580000.0
2084.0,49776390000.0,45655380000.0,49808855000.0,47758316000.0,48394265000.0,48380805000.0,49042750000.0,50130290000.0,48124596000.0,46691254000.0,48142200000.0
2085.0,49765843000.0,45525190000.0,49186386000.0,47662660000.0,48353305000.0,48316160000.0,48964653000.0,50114470000.0,48075440000.0,46560457000.0,48047297000.0
2086.0,49730960000.0,45362713000.0,49095897000.0,47553490000.0,48280860000.0,48276230000.0,48907313000.0,50068620000.0,47995208000.0,46478684000.0,47965460000.0
2087.0,49698080000.0,45221736000.0,49429512000.0,47442194000.0,48188637000.0,48181195000.0,48872636000.0,50038280000.0,47902347000.0,46371350000.0,47869837000.0
2088.0,49675580000.0,45048726000.0,49031774000.0,47495713000.0,48134623000.0,48097740000.0,48814756000.0,50003480000.0,47826256000.0,46257844000.0,47776720000.0
2089.0,49595300000.0,44911790000.0,48886170000.0,47298646000.0,48116920000.0,48094056000.0,48767320000.0,49967227000.0,47758418000.0,46182160000.0,47676540000.0
2090.0,49528360000.0,44768590000.0,48825803000.0,47213437000.0,48056463000.0,47953640000.0,48764680000.0,50031260000.0,47706374000.0,46221353000.0,47569244000.0
2091.0,49507185000.0,44619120000.0,48781950000.0,47086550000.0,47956890000.0,47889596000.0,48700230000.0,49974640000.0,47652585000.0,45979380000.0,47444480000.0
2092.0,49465328000.0,44381350000.0,48683110000.0,46941890000.0,47890653000.0,47876444000.0,48584060000.0,49900150000.0,47568052000.0,45851857000.0,47420715000.0
2093.0,49418540000.0,44128936000.0,48608715000.0,46831325000.0,47776223000.0,47817593000.0,48472550000.0,49897630000.0,47554834000.0,45726097000.0,47284965000.0
2094.0,49417904000.0,43894714000.0,48522633000.0,46716408000.0,47722800000.0,47718466000.0,48402997000.0,49953310000.0,47448146000.0,45626440000.0,47184777000.0
2095.0,49328845000.0,43628663000.0,48527114000.0,46611423000.0,47619480000.0,47671020000.0,48334310000.0,49871960000.0,47378338000.0,45419155000.0,47119100000.0
2096.0,49275170000.0,43401060000.0,48426470000.0,46513254000.0,47555478000.0,47573377000.0,48282665000.0,49820103000.0,47257747000.0,45319807000.0,47033516000.0
2097.0,49229660000.0,43181520000.0,48362700000.0,46389670000.0,47443770000.0,47509176000.0,48243570000.0,49956758000.0,47194886000.0,45177668000.0,46942500000.0
2098.0,49184900000.0,42935742000.0,48655303000.0,46247723000.0,47351910000.0,47455515000.0,48154943000.0,49854330000.0,47112544000.0,45042280000.0,46825984000.0
2099.0,49151123000.0,42749960000.0,48421050000.0,46125527000.0,47268720000.0,47414960000.0,48079480000.0,49810477000.0,47176294000.0,44909167000.0,46727266000.0
2100.0,49125840000.0,42485613000.0,48315036000.0,45989593000.0,47163265000.0,47335190000.0,48027070000.0,49750733000.0,46994930000.0,44784013000.0,46620574000.0
