time,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
2013.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0
2014.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0
2015.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0
2016.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0
2017.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0
2018.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0
2019.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0
2020.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0
2021.0,51570390000.0,51551220000.0,51563176000.0,51621814000.0,51568390000.0,51563327000.0,51567063000.0,51566940000.0,51561193000.0,51562690000.0
2022.0,51553290000.0,51531014000.0,51545334000.0,51548287000.0,51544048000.0,51558568000.0,51552158000.0,51557073000.0,51546653000.0,51548570000.0
2023.0,51536822000.0,51515646000.0,51503546000.0,51505074000.0,51516970000.0,51525714000.0,51511673000.0,51508937000.0,51557437000.0,51507050000.0
2024.0,51542090000.0,51494150000.0,51481610000.0,51480887000.0,51492020000.0,51504407000.0,51491930000.0,51493410000.0,51498320000.0,51496510000.0
2025.0,51514094000.0,51472410000.0,51461500000.0,51478220000.0,51479230000.0,51488436000.0,51484550000.0,51499057000.0,51477140000.0,51492102000.0
2026.0,51503215000.0,51444986000.0,51439120000.0,51445520000.0,51457240000.0,51465273000.0,51448496000.0,51470650000.0,51561968000.0,51454726000.0
2027.0,51482180000.0,51441980000.0,51419520000.0,51413385000.0,51442393000.0,51465190000.0,51431977000.0,51459580000.0,51465044000.0,51441400000.0
2028.0,51453247000.0,51420070000.0,51392414000.0,51382755000.0,51412242000.0,51440775000.0,51422630000.0,51423085000.0,51445613000.0,51427828000.0
2029.0,51440935000.0,51412250000.0,51357090000.0,51365163000.0,51401970000.0,51417387000.0,51422380000.0,51410500000.0,51432935000.0,51401270000.0
2030.0,51469010000.0,51428577000.0,51331790000.0,51351364000.0,51388560000.0,51413692000.0,51395810000.0,51393380000.0,51428780000.0,51371336000.0
2031.0,51424313000.0,51384287000.0,51280100000.0,51328553000.0,51377200000.0,51394793000.0,51371483000.0,51377775000.0,51400310000.0,51335410000.0
2032.0,51407670000.0,51368817000.0,51246776000.0,51314440000.0,51348234000.0,51382604000.0,51346790000.0,51359770000.0,51374944000.0,51305150000.0
2033.0,51401626000.0,51354493000.0,51207410000.0,51280340000.0,51321170000.0,51369587000.0,51315184000.0,51336462000.0,51385004000.0,51262673000.0
2034.0,51394134000.0,51360244000.0,51163242000.0,51242750000.0,51270877000.0,51353965000.0,51299070000.0,51306130000.0,51340247000.0,51243463000.0
2035.0,51367950000.0,51334124000.0,51133714000.0,51212415000.0,51237482000.0,51343970000.0,51257192000.0,51292220000.0,51326255000.0,51177320000.0
2036.0,51349602000.0,51309634000.0,51085400000.0,51124970000.0,51199173000.0,51316980000.0,51222940000.0,51272806000.0,51304706000.0,51113150000.0
2037.0,51324970000.0,51286348000.0,51014460000.0,51070153000.0,51161645000.0,51276722000.0,51190804000.0,51233930000.0,51276940000.0,51044295000.0
2038.0,51311776000.0,51272106000.0,50968556000.0,50964468000.0,51094897000.0,51262620000.0,51134010000.0,51202280000.0,51248570000.0,50890625000.0
2039.0,51302044000.0,51233075000.0,50886910000.0,50896410000.0,51068346000.0,51240410000.0,51077935000.0,51172330000.0,51205997000.0,50811863000.0
2040.0,51266800000.0,51455320000.0,50807940000.0,50854930000.0,51015700000.0,51218362000.0,51021310000.0,51140248000.0,51174568000.0,50742915000.0
2041.0,51250913000.0,51259970000.0,50690780000.0,50815267000.0,50968300000.0,51182862000.0,50961510000.0,51080210000.0,51138617000.0,50650845000.0
2042.0,51224515000.0,51184132000.0,50588350000.0,50727264000.0,50877090000.0,51141820000.0,50914505000.0,51047866000.0,51093713000.0,50566033000.0
2043.0,51210910000.0,51162382000.0,50504446000.0,50657137000.0,50829423000.0,51121630000.0,50888036000.0,51008900000.0,51069750000.0,50463502000.0
2044.0,51198075000.0,51139640000.0,50400120000.0,50577023000.0,50766530000.0,51070358000.0,50868486000.0,50947224000.0,51036830000.0,50328370000.0
2045.0,51161862000.0,51075120000.0,50285167000.0,50515600000.0,50697196000.0,51024732000.0,50806583000.0,50900795000.0,51001380000.0,50233635000.0
2046.0,51149476000.0,51054410000.0,50161430000.0,50426294000.0,50614210000.0,50993800000.0,50756264000.0,50867786000.0,50936627000.0,50097263000.0
2047.0,51103695000.0,51036553000.0,50029780000.0,50271270000.0,50498974000.0,50948227000.0,50709135000.0,50807435000.0,50888040000.0,49978737000.0
2048.0,51073420000.0,51001770000.0,49904600000.0,50110270000.0,50380310000.0,50910640000.0,50645500000.0,50754912000.0,50779386000.0,49847340000.0
2049.0,51043740000.0,50963830000.0,49756307000.0,49962037000.0,50302734000.0,50874730000.0,50591380000.0,50679894000.0,50691097000.0,49699420000.0
2050.0,51012166000.0,50940432000.0,49606690000.0,49848644000.0,50156820000.0,50832888000.0,50501083000.0,50596532000.0,50611114000.0,49495036000.0
