time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2-WACCM,MRI-ESM2-0
2000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0
2001.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0
2002.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0
2003.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0
2004.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0
2005.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0
2006.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0
2007.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0
2008.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0
2009.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0
2010.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0
2011.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0
2012.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0
2013.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0
2014.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0
2015.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0
2016.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0
2017.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0
2018.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0
2019.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0
2020.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0
2021.0,89058270000.0,86248440000.0,88745030000.0,87049570000.0,89478136000.0,87667240000.0
2022.0,83909220000.0,82754660000.0,84183700000.0,82611730000.0,88115520000.0,83817330000.0
2023.0,83093580000.0,83192170000.0,81939020000.0,81025430000.0,87962300000.0,82347540000.0
2024.0,78776880000.0,78969470000.0,79221280000.0,81578030000.0,85267685000.0,79542680000.0
2025.0,78014054000.0,75990470000.0,76514180000.0,79268800000.0,86837440000.0,76435870000.0
2026.0,75733640000.0,74766820000.0,76407366000.0,76697300000.0,84707790000.0,72815750000.0
2027.0,72893330000.0,73927614000.0,72646880000.0,75365700000.0,81409490000.0,70415440000.0
2028.0,71770430000.0,71674670000.0,69430200000.0,72043815000.0,74728055000.0,66515653000.0
2029.0,70612260000.0,69195830000.0,66636796000.0,71087060000.0,72424220000.0,63664067000.0
2030.0,68423602000.0,68663296000.0,63909732000.0,68538380000.0,71338040000.0,61420900000.0
2031.0,64788360000.0,65391297000.0,62586417000.0,68032630000.0,68631888000.0,55683090000.0
2032.0,65543197000.0,62698360000.0,60290314000.0,67747607000.0,63744086000.0,52818400000.0
2033.0,63095120000.0,61172957000.0,57936617000.0,63994827000.0,62437966000.0,48621527000.0
2034.0,59091464000.0,58540980000.0,57391497000.0,60139168000.0,61322265000.0,47141356000.0
2035.0,56816296000.0,57175855000.0,53583413000.0,55677690000.0,61794742000.0,45340803000.0
2036.0,53761954000.0,53565686000.0,52080185000.0,53699870000.0,59716817000.0,42702110000.0
2037.0,50173837000.0,50507860000.0,49443650000.0,52292180000.0,57663955000.0,38655970000.0
2038.0,47809490000.0,47369120000.0,45980647000.0,48936915000.0,54614217000.0,36078432000.0
2039.0,44760870000.0,43824574000.0,44817654000.0,46897990000.0,50960330000.0,32885750000.0
2040.0,42969465000.0,41021284000.0,42964420000.0,45147230000.0,48741440000.0,30439733000.0
2041.0,40623755000.0,38908563000.0,41532720000.0,41650300000.0,45855924000.0,29102133000.0
2042.0,38179130000.0,35735750000.0,37886562000.0,41087627000.0,44843420000.0,27158948000.0
2043.0,37382967000.0,32830667000.0,36078120000.0,37490930000.0,43201278000.0,25557490000.0
2044.0,33647614000.0,29258007000.0,35396686000.0,37232837000.0,42607088000.0,24877440000.0
2045.0,31015731000.0,25911122000.0,33841721000.0,35967630000.0,40905384000.0,23030241000.0
2046.0,27809698000.0,24019114000.0,32778600000.0,34092143000.0,39435820000.0,22183844000.0
2047.0,25747570000.0,21471957000.0,31995337000.0,31460176000.0,37299306000.0,20331536000.0
2048.0,24085543000.0,19195976000.0,29317165000.0,29916555000.0,35573540000.0,19854543000.0
2049.0,22541416000.0,17193978000.0,27430107000.0,28436337000.0,33648520000.0,19153689000.0
2050.0,21298465000.0,15530013000.0,26476853000.0,27507245000.0,30644984000.0,18182791000.0
2051.0,20078336000.0,13606673000.0,24632984000.0,25207845000.0,28582877000.0,17192045000.0
2052.0,19174742000.0,12351306000.0,23903529000.0,24352092000.0,27105944000.0,16249644000.0
2053.0,17483856000.0,12283320000.0,22477089000.0,22626030000.0,26106714000.0,15814828000.0
2054.0,16123819000.0,11551922000.0,20424935000.0,21143032000.0,23808653000.0,15136415000.0
2055.0,15246442000.0,11486445000.0,18618405000.0,19709598000.0,23046265000.0,14023557000.0
2056.0,14278238000.0,10326780000.0,16621282000.0,19108856000.0,20989286000.0,13510906000.0
2057.0,12599157000.0,10282009000.0,15537199000.0,17730589000.0,19936846000.0,13217689000.0
2058.0,11243206000.0,9486057000.0,13568268000.0,16902760000.0,18762490000.0,13359896000.0
2059.0,10012708000.0,8402649600.0,12019063000.0,14905837000.0,17690462000.0,12426050000.0
2060.0,9166100000.0,7074214000.0,11286076000.0,13653073000.0,17402984000.0,12423027000.0
2061.0,8283689500.0,6395114500.0,10155559000.0,12864042000.0,15815242000.0,11965975000.0
2062.0,7438290400.0,6082162700.0,9341539000.0,11739037000.0,14180224000.0,11432797000.0
2063.0,6763547600.0,5768106500.0,8389507600.0,10631979000.0,13357828000.0,11081369000.0
2064.0,6075528700.0,5611531000.0,7439834600.0,9846094000.0,12543145000.0,10672373000.0
2065.0,5608221000.0,5050364400.0,6639978500.0,8979886000.0,11157692000.0,10055123000.0
2066.0,4892420000.0,4464278000.0,6430789000.0,8475621400.0,10534516000.0,9403513000.0
2067.0,4396740000.0,4406536700.0,6325293600.0,7768411000.0,9909004000.0,9034679000.0
