time,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
2011.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0
2012.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0
2013.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0
2014.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0
2015.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0
2016.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0
2017.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0
2018.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0
2019.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0
2020.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0
2021.0,14671436000000.0,14688428000000.0,14546414000000.0,14703659000000.0,14712456000000.0
2022.0,14654503000000.0,14641208000000.0,14419429000000.0,14645044000000.0,14614887000000.0
2023.0,14643923000000.0,14558043000000.0,14314184000000.0,14562449000000.0,14525751000000.0
2024.0,14612237000000.0,14502134000000.0,14283561000000.0,14518313000000.0,14355914000000.0
2025.0,14544548000000.0,14466271000000.0,14285794000000.0,14441767000000.0,14214506000000.0
2026.0,14524039000000.0,14396099000000.0,14203697000000.0,14387948000000.0,14109292000000.0
2027.0,14492589000000.0,14399035000000.0,14107636000000.0,14297412000000.0,14002493000000.0
2028.0,14405719000000.0,14306535000000.0,13997003000000.0,14216348000000.0,13905007000000.0
2029.0,14370232000000.0,14181266000000.0,13883378000000.0,14206954000000.0,13748210000000.0
2030.0,14316636000000.0,14161055000000.0,13790183000000.0,14158896000000.0,13665308000000.0
2031.0,14251632000000.0,14089060000000.0,13688403000000.0,14064584000000.0,13507560000000.0
2032.0,14191423000000.0,14043370000000.0,13624690000000.0,13974237000000.0,13351661000000.0
2033.0,14121537000000.0,13964792000000.0,13553556000000.0,13911115000000.0,13197913000000.0
2034.0,14059656000000.0,13950831000000.0,13497766000000.0,13822548000000.0,13053110000000.0
2035.0,14020154000000.0,13865003000000.0,13407120000000.0,13736548000000.0,12883043000000.0
2036.0,13947002000000.0,13794766000000.0,13293456000000.0,13675906000000.0,12696965000000.0
2037.0,13897063000000.0,13720207000000.0,13112972000000.0,13612943000000.0,12536481000000.0
2038.0,13825703000000.0,13637342000000.0,13076313000000.0,13514895000000.0,12389223000000.0
2039.0,13792221000000.0,13546392000000.0,13029536000000.0,13414925000000.0,12171474000000.0
2040.0,13724294000000.0,13482353000000.0,12918517000000.0,13348215000000.0,12008799000000.0
2041.0,13590526000000.0,13436686000000.0,12893681000000.0,13260824000000.0,11858582000000.0
2042.0,13504605000000.0,13381744000000.0,12864973000000.0,13190981000000.0,11659727000000.0
2043.0,13424685000000.0,13318024000000.0,12756418000000.0,13156351000000.0,11457767000000.0
2044.0,13333526000000.0,13254613000000.0,12600928000000.0,13094990000000.0,11301770000000.0
2045.0,13218646000000.0,13195225000000.0,12550841000000.0,13043809000000.0,11142036000000.0
2046.0,13100022000000.0,13136775000000.0,12471490000000.0,12936920000000.0,10967937000000.0
2047.0,12985406000000.0,13083072000000.0,12384003000000.0,12859442000000.0,10718021000000.0
2048.0,12871715000000.0,13003896000000.0,12221709000000.0,12753708000000.0,10496311000000.0
2049.0,12775535000000.0,12922369000000.0,12084197000000.0,12705884000000.0,10335256000000.0
2050.0,12671198000000.0,12840752000000.0,12047665000000.0,12622484000000.0,10176122000000.0
2051.0,12567477000000.0,12772758000000.0,11979501000000.0,12573720000000.0,9982366000000.0
2052.0,12454633000000.0,12687834000000.0,11910505000000.0,12505025000000.0,9774263000000.0
2053.0,12395102000000.0,12595708000000.0,11813483000000.0,12437506000000.0,9574551000000.0
2054.0,12252203000000.0,12510419000000.0,11686604000000.0,12341106000000.0,9365931000000.0
2055.0,12162463000000.0,12452933000000.0,11476051000000.0,12257737000000.0,9144962000000.0
2056.0,12068709000000.0,12367785000000.0,11306796000000.0,12214042000000.0,8961429000000.0
2057.0,12009053000000.0,12278953000000.0,11164803000000.0,12163582000000.0,8815053000000.0
2058.0,11915986000000.0,12166322000000.0,11108721000000.0,12050712000000.0,8633010600000.0
2059.0,11805932000000.0,12098276000000.0,10988138000000.0,11942696000000.0,8418495600000.0
2060.0,11655798000000.0,11996209000000.0,10952801000000.0,11814027000000.0,8234323000000.0
2061.0,11539244000000.0,11922413000000.0,10855422000000.0,11727624000000.0,8048442600000.0
2062.0,11416128000000.0,11861087000000.0,10764463000000.0,11667213000000.0,7823934600000.0
2063.0,11270810000000.0,11779441000000.0,10623777000000.0,11538755000000.0,7643177000000.0
2064.0,11102620000000.0,11700901000000.0,10496989000000.0,11450636000000.0,7495600000000.0
2065.0,10946183000000.0,11599507000000.0,10421937000000.0,11298206000000.0,7308107600000.0
2066.0,10877658000000.0,11532498000000.0,10315379000000.0,11208000000000.0,7152419700000.0
2067.0,10746215000000.0,11468783000000.0,10251081000000.0,11061729000000.0,7014659000000.0
2068.0,10655180000000.0,11390269000000.0,10060653000000.0,10952964000000.0,6879584000000.0
2069.0,10499221000000.0,11300820000000.0,9947412000000.0,10845294000000.0,6718546000000.0
2070.0,10375696000000.0,11221624000000.0,9846383000000.0,10745019000000.0,6556641000000.0
2071.0,10214019000000.0,11126369000000.0,9718203000000.0,10674710000000.0,6367112000000.0
2072.0,10084843000000.0,11061871000000.0,9547357000000.0,10581775000000.0,6184993600000.0
2073.0,10002860000000.0,10979870000000.0,9463543000000.0,10553534000000.0,5994678000000.0
2074.0,9870162000000.0,10917920000000.0,9350067000000.0,10450537000000.0,5845100000000.0
2075.0,9744221000000.0,10826119000000.0,9258407000000.0,10365146000000.0,5676751000000.0
2076.0,9595674000000.0,10750341000000.0,9088233000000.0,10329597000000.0,5490994600000.0
2077.0,9470171000000.0,10676310000000.0,8944851000000.0,10221226000000.0,5356012000000.0
2078.0,9349974000000.0,10577670000000.0,8786153600000.0,10165606000000.0,5181939000000.0
2079.0,9243111000000.0,10479547000000.0,8656142700000.0,10087747000000.0,5021368000000.0
2080.0,9104797000000.0,10390836000000.0,8565777500000.0,9992853000000.0,4887222000000.0
2081.0,8921824000000.0,10299226000000.0,8451552000000.0,9864897000000.0,4758712000000.0
2082.0,8755432400000.0,10267212000000.0,8291470500000.0,9764716000000.0,4611796600000.0
2083.0,8591139400000.0,10205407000000.0,8135639600000.0,9681447000000.0,4465267600000.0
2084.0,8464723600000.0,10129918000000.0,8012008000000.0,9611361000000.0,4327964400000.0
2085.0,8350980000000.0,10100513000000.0,7835368300000.0,9477634000000.0,4183950000000.0
2086.0,8214112000000.0,10034283000000.0,7702992400000.0,9416133000000.0,4057575200000.0
2087.0,8094071000000.0,9960433000000.0,7541150000000.0,9312027000000.0,3917985600000.0
2088.0,7975648000000.0,9902580000000.0,7389400000000.0,9205191000000.0,3751433200000.0
2089.0,7789141000000.0,9798882000000.0,7256778000000.0,9141911000000.0,3621085500000.0
2090.0,7650905000000.0,9726346000000.0,7131148300000.0,9032785000000.0,3460897400000.0
2091.0,7524837000000.0,9663547000000.0,6998457000000.0,8933203000000.0,3335579800000.0
2092.0,7377729000000.0,9567527000000.0,6901865000000.0,8862658000000.0,3192453300000.0
2093.0,7248263000000.0,9499827000000.0,6731268000000.0,8744540000000.0,3051437400000.0
2094.0,7128395000000.0,9438506000000.0,6618418000000.0,8671456700000.0,2909907500000.0
2095.0,6975682000000.0,9390227000000.0,6514072400000.0,8551598700000.0,2773924200000.0
2096.0,6819876000000.0,9307413000000.0,6395460000000.0,8484134300000.0,2628760600000.0
2097.0,6659055300000.0,9252715000000.0,6291170300000.0,8386449500000.0,2478245400000.0
2098.0,6481303300000.0,9168863000000.0,6149442600000.0,8286707000000.0,2334701400000.0
2099.0,6330125000000.0,9092521000000.0,6011540700000.0,8181374000000.0,2180046700000.0
2100.0,6181532000000.0,9039742000000.0,5930667000000.0,8082146500000.0,2043045100000.0
