time,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104675205000.0,104924960000.0,104749000000.0,104723186000.0,104676750000.0,104678440000.0,104693810000.0,104674090000.0,104669450000.0,104794580000.0
2022.0,104732460000.0,104751180000.0,104632934000.0,104617845000.0,104817510000.0,104639670000.0,104594055000.0,104654290000.0,104937820000.0,104671930000.0
