time,GFDL-CM3,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-ESM2G,NORESM1-M,CESM1-CAM5
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104700190000.0,105278150000.0,104794600000.0,104737270000.0,104717320000.0,104925585000.0,104711180000.0,104664640000.0
2022.0,104659270000.0,104889580000.0,104722490000.0,104688860000.0,104939910000.0,104829540000.0,104765140000.0,104586035000.0
2023.0,104601035000.0,104719780000.0,104852380000.0,104640510000.0,104629805000.0,104670070000.0,104603250000.0,104525800000.0
2024.0,104570150000.0,104658440000.0,104628970000.0,104765240000.0,104589550000.0,104611470000.0,104603480000.0,104434024000.0
2025.0,104528840000.0,104609480000.0,104593920000.0,104595130000.0,104527454000.0,104534650000.0,104553580000.0,104333976000.0
2026.0,104476150000.0,104932740000.0,104500350000.0,104554080000.0,104688800000.0,104530580000.0,104496100000.0,104240960000.0
2027.0,104408360000.0,104660230000.0,104485970000.0,104503630000.0,104687256000.0,104463570000.0,104469864000.0,104186950000.0
2028.0,104343765000.0,104683700000.0,104442544000.0,104452570000.0,104772690000.0,104440950000.0,104393960000.0,104092885000.0
2029.0,104293020000.0,104547640000.0,104382644000.0,104548380000.0,104655040000.0,104418120000.0,104349426000.0,103992476000.0
2030.0,104238514000.0,105327960000.0,104331215000.0,104491330000.0,104528300000.0,104488510000.0,104279230000.0,103884276000.0
2031.0,104204740000.0,104588350000.0,104388400000.0,104407120000.0,104747160000.0,104415200000.0,104312185000.0,103764100000.0
2032.0,104126870000.0,104488180000.0,104280780000.0,104528870000.0,104474660000.0,104296230000.0,104255160000.0,103683490000.0
2033.0,104077890000.0,104413190000.0,104212000000.0,104335620000.0,104351860000.0,104312545000.0,104197780000.0,103580260000.0
2034.0,103986864000.0,104369410000.0,104310120000.0,104267260000.0,104327500000.0,104277970000.0,104195916000.0,103458600000.0
2035.0,103921370000.0,104355470000.0,104151280000.0,104206990000.0,104210104000.0,104221840000.0,104110990000.0,103311820000.0
2036.0,103823120000.0,104325850000.0,104106550000.0,104213290000.0,104169325000.0,104162170000.0,104049730000.0,103214790000.0
2037.0,103705560000.0,104262830000.0,104032640000.0,104201085000.0,104097430000.0,104106400000.0,103963340000.0,102979920000.0
2038.0,103653270000.0,104226955000.0,104119575000.0,104126280000.0,104437310000.0,104043650000.0,103844660000.0,102818290000.0
2039.0,103502570000.0,104174280000.0,103881040000.0,104025014000.0,104049476000.0,103972480000.0,103937080000.0,102601180000.0
2040.0,103422970000.0,104098990000.0,103813054000.0,103928430000.0,103964295000.0,104208150000.0,103800365000.0,102369190000.0
2041.0,103311370000.0,104058510000.0,103752930000.0,103895500000.0,103959530000.0,103917770000.0,103658970000.0,102161310000.0
2042.0,103243870000.0,104071150000.0,103649830000.0,103828650000.0,103923835000.0,103824010000.0,103577280000.0,101942485000.0
2043.0,103128515000.0,104639550000.0,103592920000.0,103938350000.0,103858120000.0,103825570000.0,103490270000.0,101670870000.0
2044.0,103028744000.0,104338890000.0,103498280000.0,103696980000.0,103848970000.0,103755850000.0,103382540000.0,101587180000.0
2045.0,102967350000.0,104145210000.0,103349940000.0,103630290000.0,103763530000.0,103634070000.0,103391960000.0,101351100000.0
2046.0,102827270000.0,104010480000.0,103239310000.0,103523930000.0,103658990000.0,103840550000.0,103211114000.0,101004180000.0
2047.0,102751175000.0,103956540000.0,103249320000.0,103461590000.0,103539280000.0,103713510000.0,103125200000.0,100649220000.0
2048.0,102616710000.0,103864580000.0,103169294000.0,103399530000.0,103451480000.0,103528130000.0,102945810000.0,100248160000.0
2049.0,102449110000.0,103732085000.0,103015320000.0,103386210000.0,103382565000.0,103453730000.0,103309990000.0,100072866000.0
2050.0,102380770000.0,103690355000.0,102903220000.0,103259726000.0,103295450000.0,103403370000.0,102887120000.0,99702980000.0
2051.0,102232810000.0,103648550000.0,102792700000.0,103408394000.0,103294920000.0,103287280000.0,102892360000.0,99264774000.0
2052.0,102085124000.0,103619130000.0,102675910000.0,103122850000.0,103322260000.0,103221230000.0,102711870000.0,98835250000.0
2053.0,101913330000.0,103954640000.0,102509360000.0,102997600000.0,103104774000.0,103136900000.0,102588735000.0,98321646000.0
2054.0,101744886000.0,103596245000.0,102342700000.0,102920900000.0,102959790000.0,103063675000.0,102523530000.0,98020090000.0
2055.0,101541960000.0,103573450000.0,102221234000.0,102761120000.0,102886680000.0,102949780000.0,102412340000.0,97625600000.0
2056.0,101346490000.0,103567840000.0,102058130000.0,102729120000.0,102795280000.0,102861710000.0,102285440000.0,97112750000.0
2057.0,101149190000.0,103504495000.0,102067540000.0,102807680000.0,103022810000.0,102819490000.0,102047630000.0,96607035000.0
2058.0,100937640000.0,103424890000.0,101861010000.0,102577760000.0,102834620000.0,102651050000.0,101940675000.0,96595255000.0
2059.0,100656390000.0,103342880000.0,101686820000.0,102444580000.0,102513530000.0,102535460000.0,101779880000.0,95952720000.0
2060.0,100407550000.0,103261070000.0,101543260000.0,102508675000.0,102352680000.0,102488160000.0,101608096000.0,95493990000.0
2061.0,100216140000.0,103228080000.0,101365916000.0,102314520000.0,102480380000.0,102340420000.0,101483090000.0,94900610000.0
2062.0,99931750000.0,103064320000.0,101122466000.0,102232080000.0,102864250000.0,102180800000.0,101385750000.0,94312550000.0
2063.0,99632190000.0,102916030000.0,100994440000.0,102152980000.0,102115570000.0,102014920000.0,101124070000.0,93820900000.0
2064.0,99308090000.0,102914090000.0,100769400000.0,102060425000.0,101799150000.0,102200420000.0,100891420000.0,93085650000.0
2065.0,98916570000.0,102929130000.0,100536150000.0,102004790000.0,101622420000.0,101824420000.0,100698690000.0,92437020000.0
2066.0,98783986000.0,102926440000.0,100309560000.0,101798355000.0,101451800000.0,101668430000.0,100494066000.0,91692835000.0
2067.0,98461870000.0,102886070000.0,100136880000.0,101625480000.0,101203970000.0,101651230000.0,100243960000.0,90934640000.0
2068.0,98089116000.0,102722420000.0,99914826000.0,101597060000.0,101096400000.0,101558880000.0,100009700000.0,90144660000.0
2069.0,97845170000.0,102519230000.0,99711910000.0,101543470000.0,100830100000.0,101306750000.0,99865000000.0,89361060000.0
2070.0,97659350000.0,102359150000.0,99488320000.0,101346296000.0,100778560000.0,101178655000.0,100021970000.0,88451870000.0
2071.0,97247650000.0,102246730000.0,99304130000.0,101262795000.0,101023750000.0,100999040000.0,99390510000.0,87818220000.0
2072.0,96961140000.0,103491355000.0,99150960000.0,101135210000.0,100383240000.0,100881090000.0,99212080000.0,87079895000.0
2073.0,96562660000.0,102323130000.0,98957660000.0,101004390000.0,100113260000.0,100699320000.0,99537970000.0,87100830000.0
2074.0,96107870000.0,102267260000.0,98807540000.0,101090460000.0,99971720000.0,100493770000.0,98880730000.0,86027530000.0
2075.0,95672030000.0,101972980000.0,98540370000.0,100751860000.0,99725570000.0,100319920000.0,98694210000.0,85106520000.0
2076.0,95404335000.0,101877555000.0,98391340000.0,100612190000.0,99564160000.0,100140270000.0,98415570000.0,84440730000.0
2077.0,94912905000.0,101685480000.0,98007680000.0,100759060000.0,99469754000.0,100143415000.0,98179570000.0,83896220000.0
2078.0,94539055000.0,101512590000.0,97667660000.0,100374680000.0,99267000000.0,100103094000.0,97868630000.0,83331850000.0
2079.0,94152155000.0,101387460000.0,97437950000.0,100158370000.0,98914025000.0,99930610000.0,98522890000.0,82360270000.0
2080.0,94023790000.0,101325816000.0,97184350000.0,100174660000.0,98677380000.0,99971860000.0,97412640000.0,81133970000.0
2081.0,93462030000.0,101314420000.0,97017750000.0,99833300000.0,99222780000.0,99750680000.0,97049130000.0,80459990000.0
2082.0,93077210000.0,101068270000.0,96661094000.0,99634766000.0,98265920000.0,99558870000.0,96624700000.0,80147660000.0
2083.0,92570870000.0,101444395000.0,96383620000.0,99523680000.0,98027370000.0,99446370000.0,96203070000.0,79353500000.0
2084.0,92108530000.0,100943110000.0,96111500000.0,99542850000.0,97824160000.0,99380085000.0,95811930000.0,78547720000.0
2085.0,90955555000.0,100979720000.0,95714070000.0,99260640000.0,97577750000.0,99085470000.0,95542550000.0,77747310000.0
2086.0,90250985000.0,100720740000.0,95538010000.0,99075916000.0,97320210000.0,99572190000.0,95176920000.0,76901420000.0
2087.0,89822010000.0,100637200000.0,95308470000.0,98890440000.0,97006570000.0,98921750000.0,95532040000.0,76236340000.0
2088.0,89342990000.0,100471955000.0,95207250000.0,98772345000.0,96734190000.0,98707366000.0,94949030000.0,75508170000.0
2089.0,88825405000.0,101014290000.0,94828320000.0,98524350000.0,96997070000.0,98483330000.0,94470930000.0,74624295000.0
2090.0,88388485000.0,100528800000.0,94544670000.0,98316255000.0,96591940000.0,98413930000.0,94201880000.0,74106680000.0
2091.0,87899740000.0,100122400000.0,94259450000.0,98105860000.0,96471380000.0,98130035000.0,93838410000.0,73110010000.0
2092.0,87401900000.0,99889414000.0,93989020000.0,97902620000.0,96472520000.0,97927580000.0,93508240000.0,72353380000.0
2093.0,86873190000.0,99760366000.0,93682885000.0,97669554000.0,96174070000.0,97771130000.0,93308020000.0,71826860000.0
2094.0,86375230000.0,99569910000.0,93292175000.0,97398530000.0,95385540000.0,97617764000.0,92942450000.0,71085646000.0
2095.0,86046330000.0,99424830000.0,92957980000.0,97443080000.0,95920185000.0,97476830000.0,92699840000.0,70460260000.0
2096.0,85428700000.0,99303916000.0,92646410000.0,97086580000.0,95091870000.0,97460140000.0,92223080000.0,69912070000.0
2097.0,84908750000.0,99875955000.0,92302750000.0,96794570000.0,96134200000.0,97164980000.0,91646860000.0,69178630000.0
2098.0,84329415000.0,99122610000.0,92110270000.0,96470070000.0,94680320000.0,96928200000.0,91219430000.0,68542673000.0
2099.0,83888340000.0,98995130000.0,91780570000.0,96291380000.0,94352960000.0,96678790000.0,90952580000.0,67871820000.0
2100.0,83480625000.0,98849230000.0,91521980000.0,96055920000.0,94138016000.0,96507100000.0,90514104000.0,67084020000.0
