time,CCSM4,CESM1-CAM5,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CSIRO-MK3-6-0
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
