time,CESM1-CAM5,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
