time,CANESM2,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CSIRO-MK3-6-0
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40451110000.0,40437604000.0,40450860000.0,40405700000.0,40782823000.0,40609407000.0,40407960000.0,40396055000.0,40407937000.0,40433955000.0
2022.0,40371050000.0,40406350000.0,40491946000.0,40346124000.0,40417354000.0,40634400000.0,40338620000.0,40344154000.0,40378974000.0,40378065000.0
2023.0,40323334000.0,40353670000.0,40420282000.0,40297610000.0,40392220000.0,40436250000.0,40288236000.0,40282700000.0,40323215000.0,40360760000.0
2024.0,40284930000.0,40312852000.0,40437200000.0,40295002000.0,40338650000.0,40481436000.0,40219050000.0,40221086000.0,40265860000.0,40301617000.0
2025.0,40236820000.0,40327380000.0,40376185000.0,40222970000.0,40316146000.0,40422785000.0,40164610000.0,40162400000.0,40209465000.0,40270086000.0
2026.0,40187360000.0,40319550000.0,40472146000.0,40304935000.0,40277803000.0,40347380000.0,40132960000.0,40085370000.0,40160895000.0,40214150000.0
2027.0,40175383000.0,40419774000.0,40504685000.0,40233560000.0,40720790000.0,40333360000.0,40089657000.0,40016556000.0,40125796000.0,40161540000.0
2028.0,40128700000.0,40264470000.0,40415550000.0,40154644000.0,40419795000.0,40273592000.0,39985906000.0,39926480000.0,40062940000.0,40157393000.0
