time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
2013.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0
2014.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0
2015.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0
2016.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0
2017.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0
2018.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0
2019.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0
2020.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0
2021.0,51560854000.0,51561427000.0,51563577000.0,51540380000.0
2022.0,51557425000.0,51519672000.0,51536570000.0,51513086000.0
2023.0,51533420000.0,51508388000.0,51535480000.0,51481367000.0
2024.0,51671120000.0,51474113000.0,51498717000.0,51468430000.0
2025.0,51546610000.0,51456766000.0,51478634000.0,51422620000.0
2026.0,51492123000.0,51444990000.0,51454750000.0,51406270000.0
2027.0,51519900000.0,51412280000.0,51437110000.0,51374000000.0
2028.0,51468333000.0,51398242000.0,51432358000.0,51351015000.0
2029.0,51430680000.0,51380335000.0,51426267000.0,51344310000.0
2030.0,51421800000.0,51367854000.0,51413045000.0,51309850000.0
2031.0,51417743000.0,51356738000.0,51420475000.0,51262865000.0
2032.0,51406070000.0,51339567000.0,51403410000.0,51230510000.0
2033.0,51389194000.0,51308110000.0,51375550000.0,51182354000.0
2034.0,51371650000.0,51278963000.0,51365708000.0,51097297000.0
2035.0,51351030000.0,51254956000.0,51353424000.0,51047790000.0
2036.0,51334930000.0,51236980000.0,51340070000.0,50968863000.0
2037.0,51297540000.0,51199738000.0,51315830000.0,50889540000.0
2038.0,51276935000.0,51155698000.0,51300676000.0,50820450000.0
2039.0,51248740000.0,51113103000.0,51276490000.0,50747503000.0
2040.0,51213860000.0,51092374000.0,51255996000.0,50671313000.0
