time,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,KACE-1-0-G,TAIESM1,GFDL-ESM4,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM
2000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0
2001.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0
2002.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0
2003.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0
2004.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0
2005.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0
2006.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0
2007.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0
2008.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0
2009.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0
2010.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0
2011.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0
2012.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0
2013.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0
2014.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0
2015.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0
2016.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0
2017.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0
2018.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0
2019.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0
