time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,CANESM5
2000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0
2001.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0
2002.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0
2003.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0
2004.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0
2005.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0
2006.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0
2007.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0
2008.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0
2009.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0
2010.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0
2011.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0
2012.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0
2013.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0
2014.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0
2015.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0
2016.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0
2017.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0
2018.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0
2019.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0
2020.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0
2021.0,1899819800.0,1904263700.0,1952727400.0,1899839000.0,1897154600.0
2022.0,1859593500.0,1863848300.0,1872172900.0,1907275900.0,1846441600.0
2023.0,1827679700.0,1840296800.0,1867614100.0,1865006500.0,1842202400.0
2024.0,1797163900.0,1798554600.0,1804297500.0,1830314000.0,1993494800.0
2025.0,1801095300.0,1755921300.0,1784039000.0,1776038000.0,1798313500.0
2026.0,1730149200.0,1704778600.0,1756293600.0,1734178600.0,1742607900.0
2027.0,1719370400.0,1659143300.0,1719505700.0,1654149200.0,1705698000.0
2028.0,1684435700.0,1603379700.0,1686763100.0,1633088800.0,1651023500.0
2029.0,1821611600.0,1552950300.0,1665653100.0,1569376100.0,1623203700.0
2030.0,1635384200.0,1521124200.0,1607039000.0,1492626400.0,1575064400.0
2031.0,1633871700.0,1410532900.0,1542811800.0,1419526000.0,1560654500.0
2032.0,1566067100.0,1356092300.0,1657768600.0,1361733800.0,1557402400.0
2033.0,1560240300.0,1282838700.0,1483792400.0,1294335400.0,1467433200.0
2034.0,1675485300.0,1245600500.0,1410688000.0,1245897100.0,1407253600.0
2035.0,1465765200.0,1195662100.0,1369320400.0,1191790800.0,1333422700.0
2036.0,1462333300.0,1135978900.0,1302867500.0,1104489200.0,1296693100.0
2037.0,1399031200.0,1048833400.0,1246118000.0,1050787600.0,1259504300.0
2038.0,1372867500.0,991422140.0,1216563600.0,990026750.0,1196517400.0
2039.0,1341605500.0,925400260.0,1150634100.0,946066700.0,1164169100.0
2040.0,1305162900.0,879695100.0,1112086100.0,880354000.0,1135829900.0
2041.0,1274460500.0,846602900.0,1065136830.0,813812860.0,1062928450.0
2042.0,1255234200.0,777378200.0,1096928100.0,778373440.0,1025149440.0
2043.0,1219535000.0,750328640.0,1033410400.0,708189000.0,987190600.0
2044.0,1199847400.0,715114240.0,993231800.0,666868030.0,950697800.0
2045.0,1168650800.0,683693300.0,945736800.0,602373060.0,892769500.0
2046.0,1143638400.0,653336260.0,915845250.0,548952600.0,844450370.0
2047.0,1116629800.0,630814000.0,847127230.0,499124930.0,796820500.0
2048.0,1093987800.0,601892800.0,842718800.0,465307200.0,738986430.0
2049.0,1067690200.0,570679200.0,775979300.0,408583550.0,691944770.0
