time,NORESM1-M,CSIRO-MK3-6-0,MPI-ESM-LR,CESM1-CAM5
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87430865000.0,87477550000.0,87468080000.0,87489380000.0
2022.0,87403310000.0,87420250000.0,87240210000.0,87519160000.0
2023.0,87228280000.0,87217330000.0,87116505000.0,87518175000.0
2024.0,87037570000.0,87611630000.0,87090150000.0,87264270000.0
2025.0,86889760000.0,87094740000.0,86842470000.0,87000780000.0
2026.0,86810330000.0,86920856000.0,86920720000.0,86826210000.0
2027.0,86565200000.0,86761450000.0,86631470000.0,86554390000.0
2028.0,86637650000.0,86848160000.0,86418416000.0,86598164000.0
2029.0,86953020000.0,86905940000.0,86263865000.0,86351980000.0
2030.0,86330570000.0,87437550000.0,86035420000.0,85846320000.0
2031.0,86044656000.0,86590740000.0,86095050000.0,85794324000.0
2032.0,85965775000.0,86565405000.0,85841490000.0,85486000000.0
2033.0,85732565000.0,86283070000.0,85554680000.0,85090620000.0
2034.0,85666170000.0,86056610000.0,85343340000.0,84836960000.0
2035.0,85344530000.0,85909660000.0,85431820000.0,84438570000.0
2036.0,85158360000.0,86048285000.0,85320680000.0,84084466000.0
2037.0,84997800000.0,85958880000.0,84856420000.0,83739600000.0
2038.0,84509330000.0,85782990000.0,84557570000.0,83278180000.0
2039.0,84817445000.0,85716810000.0,84508620000.0,82819090000.0
2040.0,84361500000.0,85593480000.0,84088400000.0,82922240000.0
2041.0,84149756000.0,85434540000.0,83804500000.0,81995350000.0
2042.0,83722500000.0,85062960000.0,83498140000.0,81466070000.0
2043.0,83283160000.0,85195104000.0,83202564000.0,80822985000.0
2044.0,82825100000.0,85010410000.0,83104780000.0,80283705000.0
2045.0,82502525000.0,84658110000.0,82736060000.0,79628790000.0
2046.0,82059550000.0,84592220000.0,82330984000.0,78998470000.0
2047.0,81551080000.0,84161356000.0,82152890000.0,78465680000.0
2048.0,81201100000.0,83835710000.0,81742130000.0,77812750000.0
2049.0,80760480000.0,83761250000.0,81401390000.0,77254450000.0
2050.0,80312620000.0,84760910000.0,81096180000.0,76838800000.0
2051.0,79824355000.0,83532554000.0,80687840000.0,76175884000.0
2052.0,80121350000.0,83474645000.0,80259780000.0,75542060000.0
2053.0,79364990000.0,83103540000.0,79843780000.0,74800160000.0
2054.0,78670880000.0,82837200000.0,79673475000.0,74043015000.0
2055.0,78427700000.0,82686900000.0,79164150000.0,73326440000.0
2056.0,78014240000.0,82373850000.0,78643550000.0,72584050000.0
2057.0,77456290000.0,81948520000.0,78578745000.0,71645240000.0
2058.0,76931440000.0,81872920000.0,78004840000.0,71093180000.0
2059.0,76405370000.0,82027954000.0,77713210000.0,70715130000.0
2060.0,76137120000.0,82011540000.0,77270660000.0,69518350000.0
2061.0,75596400000.0,81387970000.0,76668854000.0,68973430000.0
2062.0,75137740000.0,81060930000.0,76213860000.0,68248924000.0
2063.0,74899554000.0,80729070000.0,75860490000.0,67616797000.0
2064.0,74246150000.0,80482380000.0,75368100000.0,66486436000.0
2065.0,73876955000.0,80283600000.0,75082000000.0,65681834000.0
2066.0,73359340000.0,79814330000.0,74878440000.0,64827617000.0
2067.0,72842790000.0,80113250000.0,74316220000.0,64000643000.0
2068.0,72465930000.0,79611650000.0,73678480000.0,63337665000.0
2069.0,72091650000.0,79200700000.0,73188794000.0,62368117000.0
2070.0,71444270000.0,78968500000.0,72842674000.0,61692610000.0
2071.0,71010630000.0,78767250000.0,72378860000.0,60983538000.0
2072.0,71210690000.0,78556910000.0,72091830000.0,60296823000.0
2073.0,70183780000.0,79291770000.0,71508070000.0,59761398000.0
