time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2106.0,38199520000.0,50812318000.0,49890275000.0
2107.0,37770093000.0,49737437000.0,48962160000.0
2108.0,36881370000.0,48957637000.0,48052740000.0
2109.0,36370584000.0,48230773000.0,47205216000.0
2110.0,35672383000.0,47216410000.0,46509150000.0
2111.0,35054830000.0,46318158000.0,45690590000.0
2112.0,34375717000.0,45132165000.0,44844134000.0
2113.0,33587716000.0,44224246000.0,44422906000.0
2114.0,32951420000.0,43058676000.0,43664077000.0
2115.0,32425611000.0,42275960000.0,42918662000.0
2116.0,31723108000.0,41225585000.0,42281170000.0
2117.0,31097560000.0,40397865000.0,41483145000.0
2118.0,30444861000.0,39801393000.0,40800070000.0
2119.0,29793044000.0,38825120000.0,40299790000.0
2120.0,29153446000.0,38087373000.0,39668560000.0
2121.0,28492274000.0,37351006000.0,39157375000.0
2122.0,27982522000.0,36464873000.0,38553514000.0
2123.0,27285424000.0,35884544000.0,38010675000.0
2124.0,26877192000.0,35224486000.0,37659267000.0
2125.0,26157093000.0,34380325000.0,37251375000.0
2126.0,25667232000.0,33778516000.0,36598346000.0
2127.0,25215674000.0,32889692000.0,36046470000.0
2128.0,24582984000.0,32503470000.0,35258454000.0
2129.0,24179436000.0,31665240000.0,34732278000.0
2130.0,23816882000.0,30932806000.0,34215895000.0
2131.0,23433075000.0,30158280000.0,33591716000.0
2132.0,23061756000.0,29776218000.0,33311630000.0
2133.0,22580228000.0,28951898000.0,32528243000.0
2134.0,22041370000.0,28369936000.0,32265157000.0
2135.0,21508502000.0,28267290000.0,31525210000.0
2136.0,21156050000.0,27530170000.0,30769019000.0
2137.0,20728105000.0,26856456000.0,30071515000.0
2138.0,20273207000.0,26352415000.0,29544788000.0
2139.0,19855733000.0,25898465000.0,28999965000.0
2140.0,19471538000.0,25383883000.0,28445590000.0
2141.0,18978040000.0,24628370000.0,27808170000.0
2142.0,18662013000.0,24153436000.0,27272670000.0
2143.0,18235138000.0,23617851000.0,26778150000.0
2144.0,17977582000.0,23410840000.0,26471539000.0
2145.0,17617857000.0,22545758000.0,25804966000.0
2146.0,17336187000.0,22075812000.0,25271181000.0
2147.0,16966479000.0,21676227000.0,24668740000.0
2148.0,16553088000.0,21076898000.0,24297853000.0
2149.0,16221800000.0,21302028000.0,23961842000.0
2150.0,15955347000.0,20217618000.0,23645327000.0
2151.0,15629399000.0,19631342000.0,23213322000.0
2152.0,15368098000.0,19125006000.0,22850610000.0
2153.0,15027720000.0,18612769000.0,22397080000.0
2154.0,14779765000.0,18096650000.0,21870164000.0
2155.0,14452509000.0,17577904000.0,21579954000.0
2156.0,14274208000.0,17184821000.0,21114817000.0
2157.0,13948358000.0,16766181000.0,20549350000.0
2158.0,13666642000.0,16343354000.0,20126366000.0
2159.0,13352135000.0,15932006000.0,19791151000.0
2160.0,13095785000.0,15413844000.0,19495045000.0
2161.0,12939214000.0,14843817000.0,19297520000.0
2162.0,12310678000.0,14061352000.0,18935624000.0
2163.0,11944563000.0,13381316000.0,22470560000.0
2164.0,11620546000.0,12691423000.0,19499393000.0
2165.0,11248351000.0,12041512000.0,18114134000.0
2166.0,10981895000.0,11382366000.0,17781977000.0
2167.0,10761900000.0,10586316000.0,17655083000.0
2168.0,10218869000.0,10138146000.0,17124798000.0
2169.0,9847588000.0,9714179000.0,16710796000.0
2170.0,9635039000.0,9310387000.0,16190360000.0
2171.0,9491150000.0,8051018000.0,15442692000.0
2172.0,9355685000.0,7352556000.0,15061572000.0
2173.0,9166155000.0,6897184000.0,14778636000.0
2174.0,8848074000.0,6576084500.0,14065878000.0
2175.0,8485767000.0,5562070000.0,13843627000.0
2176.0,8298994000.0,4882995000.0,13529168000.0
2177.0,7776834000.0,4460853000.0,13286917000.0
2178.0,7551383600.0,4118623700.0,13091049000.0
2179.0,7199924700.0,3621010200.0,12905700000.0
2180.0,6838451700.0,3058513200.0,12667720000.0
2181.0,6737721300.0,2580410400.0,12146527000.0
2182.0,6620152000.0,2111038300.0,12010923000.0
2183.0,6372361700.0,1812769800.0,11664587000.0
2184.0,6263401000.0,1578815000.0,11249608000.0
2185.0,6134717400.0,1311326800.0,10720171000.0
2186.0,5982230500.0,1194905100.0,10335918000.0
2187.0,5819252700.0,1050433340.0,10129244000.0
2188.0,5745776600.0,983941000.0,9790331000.0
2189.0,5601585000.0,860618100.0,9639172000.0
2190.0,5484654600.0,795765700.0,9350075000.0
2191.0,5401265000.0,745729150.0,9230776000.0
2192.0,5180370400.0,705972400.0,8896487000.0
2193.0,5116518000.0,634993340.0,8671668000.0
