time,CMCC-CM2-SR5,ACCESS-CM2,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,MPI-ESM1-2-HR,EC-EARTH3,INM-CM4-8,INM-CM5-0,CANESM5,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,EC-EARTH3-VEG
2000.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0
2001.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0
2002.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0
2003.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0
2004.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0
2005.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0
2006.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0
2007.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0
2008.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0
2009.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0
