time,NORESM1-M,GFDL-CM3,CCSM4,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,CANESM2
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
2010.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0
2011.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0
2012.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0
2013.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0
2014.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0
2015.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0
2016.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0
2017.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0
2018.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0
2019.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0
2020.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0
2021.0,269654520000.0,268279860000.0,268645970000.0,264796400000.0,268339740000.0,265976560000.0,271055910000.0,268829800000.0,268770360000.0,271261810000.0,269047600000.0
2022.0,268365140000.0,262213450000.0,264772390000.0,264186820000.0,267215630000.0,262458100000.0,268287950000.0,268205900000.0,265350170000.0,269818560000.0,268134760000.0
2023.0,268734550000.0,256562230000.0,260020800000.0,262579030000.0,264058320000.0,258218980000.0,267355340000.0,265365750000.0,263557800000.0,263221840000.0,267905710000.0
2024.0,266463170000.0,252597260000.0,256730040000.0,260980670000.0,262450020000.0,256899800000.0,267950560000.0,264046380000.0,262095810000.0,259216410000.0,266059320000.0
2025.0,265322250000.0,246581360000.0,255141560000.0,254829990000.0,260641030000.0,255343210000.0,268152750000.0,261649020000.0,262428340000.0,259412850000.0,261765370000.0
2026.0,262256100000.0,242121300000.0,251647020000.0,250018320000.0,255375600000.0,248669210000.0,268505990000.0,259923170000.0,259974150000.0,258399800000.0,259950500000.0
2027.0,256679000000.0,236712030000.0,245910800000.0,246829530000.0,251964110000.0,245565260000.0,269896340000.0,260881560000.0,259608310000.0,258867870000.0,255367560000.0
2028.0,255185910000.0,231013880000.0,244034100000.0,243670610000.0,250916620000.0,242395840000.0,267654270000.0,259312760000.0,261747640000.0,252820900000.0,250171000000.0
2029.0,249049710000.0,226528660000.0,241109600000.0,241685460000.0,249640350000.0,235818830000.0,266256830000.0,257978840000.0,260363550000.0,248964220000.0,245084260000.0
2030.0,246050960000.0,222835900000.0,238024330000.0,238388380000.0,248216100000.0,231462400000.0,263865780000.0,254611820000.0,256586810000.0,246013770000.0,241366760000.0
2031.0,243995020000.0,218930770000.0,232649640000.0,234936780000.0,247399140000.0,229989190000.0,260033410000.0,250163700000.0,256592040000.0,243981600000.0,238507440000.0
2032.0,242732020000.0,212804170000.0,226819160000.0,231881970000.0,248881740000.0,227556750000.0,256684540000.0,250232650000.0,257808970000.0,241603300000.0,236705190000.0
2033.0,239870900000.0,206471460000.0,224764050000.0,226141040000.0,246168450000.0,224841660000.0,251440370000.0,249053890000.0,258025980000.0,239531740000.0,236568000000.0
2034.0,239160070000.0,202081200000.0,222208920000.0,217336510000.0,243399030000.0,220363160000.0,248656870000.0,245547750000.0,258235240000.0,238704200000.0,232964900000.0
2035.0,237579320000.0,196563710000.0,221514170000.0,215269330000.0,242854200000.0,215994760000.0,246428300000.0,244126380000.0,257520340000.0,234066920000.0,230867350000.0
2036.0,234391190000.0,191210340000.0,220710450000.0,211879280000.0,241970000000.0,212093700000.0,243075450000.0,242484510000.0,255626070000.0,231281200000.0,229014780000.0
2037.0,230538800000.0,184326650000.0,218220130000.0,206245460000.0,240689070000.0,209217520000.0,240180350000.0,239707280000.0,251621200000.0,230459790000.0,224770590000.0
2038.0,226918380000.0,180753300000.0,217656400000.0,201399030000.0,239428860000.0,204441170000.0,239118550000.0,235202310000.0,251036200000.0,223149930000.0,222271160000.0
2039.0,225195150000.0,175949700000.0,214031760000.0,198255360000.0,238064250000.0,199697190000.0,236765990000.0,231274790000.0,249081070000.0,218098700000.0,220661330000.0
