time,CCSM4,CSIRO-MK3-6-0,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CNRM-CM5,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
2010.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0
2011.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0
2012.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0
2013.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0
2014.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0
2015.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0
2016.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0
2017.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0
2018.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0
2019.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0
2020.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0
2021.0,266402430000.0,271825490000.0,266682990000.0,270610550000.0,268019920000.0,268279780000.0,267942310000.0,269820430000.0,267206740000.0,267661670000.0
2022.0,264469580000.0,270742060000.0,260691170000.0,269303090000.0,265779330000.0,264174800000.0,266131200000.0,264267120000.0,263763080000.0,265762340000.0
2023.0,265243600000.0,269672700000.0,256652000000.0,264227130000.0,261701910000.0,263664120000.0,263206240000.0,262017380000.0,262986040000.0,264651750000.0
2024.0,264680260000.0,267939610000.0,250876940000.0,262491600000.0,260564040000.0,263057110000.0,260672520000.0,260734120000.0,261023830000.0,262713070000.0
2025.0,265314980000.0,267307190000.0,247327690000.0,260974000000.0,255182230000.0,260039690000.0,256248070000.0,258306520000.0,259319700000.0,261031280000.0
2026.0,262207140000.0,262580010000.0,242746620000.0,259418620000.0,252736630000.0,255636030000.0,252584150000.0,258616460000.0,257838550000.0,258936670000.0
2027.0,259229610000.0,260266980000.0,235891000000.0,258727900000.0,247919670000.0,249739080000.0,254084860000.0,254416500000.0,253443950000.0,256091420000.0
2028.0,256289770000.0,257007670000.0,227370650000.0,255128930000.0,243302420000.0,248942600000.0,251439550000.0,252722400000.0,249460670000.0,256110900000.0
2029.0,254316900000.0,253836720000.0,222613300000.0,252863740000.0,238723020000.0,243205800000.0,245925270000.0,248413780000.0,245389900000.0,253218230000.0
2030.0,246866480000.0,250462040000.0,218511280000.0,248907870000.0,236974930000.0,238207070000.0,243709560000.0,246523460000.0,243008130000.0,250302920000.0
2031.0,244531530000.0,247873360000.0,210737740000.0,246172680000.0,237234750000.0,230552450000.0,241499590000.0,245268680000.0,237636680000.0,246882420000.0
2032.0,240674290000.0,245976840000.0,205628360000.0,243427130000.0,233030200000.0,224164150000.0,234703700000.0,242739950000.0,233351020000.0,244814040000.0
2033.0,239508080000.0,241504670000.0,200122630000.0,239362500000.0,228844300000.0,219460700000.0,232468300000.0,239393110000.0,229209770000.0,240033600000.0
2034.0,238239100000.0,239158500000.0,197555400000.0,238210760000.0,225524100000.0,216600180000.0,232081820000.0,236919140000.0,225363100000.0,236313330000.0
2035.0,234018390000.0,235648680000.0,192633140000.0,233409530000.0,221768520000.0,212710000000.0,229485990000.0,233537200000.0,221125900000.0,233559100000.0
2036.0,230514110000.0,231936490000.0,188293270000.0,230069190000.0,219383280000.0,207604660000.0,224449040000.0,229044580000.0,217794130000.0,229270100000.0
2037.0,229204100000.0,227961500000.0,183852660000.0,226914680000.0,217082560000.0,203828950000.0,223825400000.0,224894440000.0,213607740000.0,228699290000.0
2038.0,224005870000.0,224735430000.0,179028640000.0,222741180000.0,211753400000.0,196727420000.0,220309050000.0,222402360000.0,208562600000.0,225911010000.0
2039.0,219723120000.0,219451850000.0,174724800000.0,216869680000.0,207206470000.0,192714210000.0,216764140000.0,219066860000.0,204784810000.0,221178120000.0
2040.0,218890420000.0,216510610000.0,170163850000.0,211076640000.0,203150030000.0,186203950000.0,213546780000.0,214273520000.0,200195600000.0,216364190000.0
2041.0,217423050000.0,214173610000.0,166995180000.0,209037980000.0,196336630000.0,179421050000.0,210220710000.0,209665880000.0,191653300000.0,213549840000.0
2042.0,216388680000.0,210571410000.0,160117130000.0,207210050000.0,192733250000.0,177368830000.0,208214250000.0,204259160000.0,186935530000.0,211077500000.0
2043.0,210103120000.0,204948200000.0,155615760000.0,202984440000.0,189781620000.0,172810880000.0,205071290000.0,199433680000.0,182412150000.0,205475580000.0
2044.0,207315630000.0,200219360000.0,150526080000.0,198415090000.0,185704640000.0,169637500000.0,202018590000.0,197099010000.0,178112920000.0,199670170000.0
2045.0,204160300000.0,195910840000.0,146674290000.0,196357110000.0,181941260000.0,165614290000.0,201105260000.0,192939840000.0,175175250000.0,195287300000.0
2046.0,202539430000.0,193039910000.0,141544980000.0,192845560000.0,176646280000.0,160513520000.0,197334270000.0,187009160000.0,171543100000.0,190484990000.0
2047.0,197651640000.0,189168060000.0,139055990000.0,192150630000.0,171732680000.0,156084960000.0,190159620000.0,182746170000.0,165736090000.0,186995410000.0
2048.0,193657060000.0,188697700000.0,137085360000.0,189954540000.0,166238930000.0,152201770000.0,184372640000.0,179117570000.0,162071670000.0,181922870000.0
2049.0,189830900000.0,183483560000.0,133080980000.0,186681110000.0,160859420000.0,147600590000.0,179772600000.0,175692710000.0,158984390000.0,177610210000.0
2050.0,188631470000.0,181619950000.0,131710616000.0,182629700000.0,155874600000.0,141824460000.0,176223320000.0,171979310000.0,154263470000.0,174828180000.0
2051.0,184715330000.0,179460110000.0,130282340000.0,178895210000.0,152077170000.0,137642030000.0,174193790000.0,170261070000.0,152267330000.0,169991550000.0
2052.0,178874320000.0,176638840000.0,128317964000.0,178370330000.0,146386440000.0,133375960000.0,171874780000.0,166352950000.0,149240700000.0,166348960000.0
2053.0,175780430000.0,175259750000.0,127296780000.0,174955230000.0,140422990000.0,130192050000.0,169566680000.0,162432960000.0,147089560000.0,162983300000.0
2054.0,171717840000.0,174595520000.0,124514130000.0,172083760000.0,136457780000.0,127010620000.0,165478330000.0,160401470000.0,144604770000.0,156353510000.0
2055.0,166003570000.0,174418360000.0,120493220000.0,168690990000.0,132954100000.0,124673920000.0,161518010000.0,157042880000.0,140909500000.0,152968870000.0
2056.0,162743140000.0,174235160000.0,116310250000.0,166695700000.0,128949160000.0,119819160000.0,158044360000.0,154872150000.0,138794710000.0,151671110000.0
2057.0,161651540000.0,171879140000.0,112760190000.0,164507270000.0,125587720000.0,117067760000.0,153332730000.0,152075830000.0,134589915000.0,148672900000.0
2058.0,156993980000.0,169908540000.0,108979780000.0,161238750000.0,120479540000.0,113150720000.0,151246600000.0,150403510000.0,132348215000.0,146273620000.0
2059.0,152516180000.0,168226520000.0,106347940000.0,158098260000.0,118188980000.0,110654870000.0,147077660000.0,147095930000.0,128981850000.0,142271790000.0
