time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13720748000.0,13680417000.0,13678754000.0,13638014000.0,13669878000.0
2022.0,13697062000.0,13532822000.0,13486877000.0,13541173000.0,13525887000.0
2023.0,13508477000.0,13365922000.0,13333283000.0,13394304000.0,13270765000.0
2024.0,13299405000.0,13163452000.0,13184559000.0,13273006000.0,13028202000.0
2025.0,13012285000.0,12951113000.0,13015700000.0,13039333000.0,12915009000.0
2026.0,12750340000.0,12709840000.0,12729084000.0,12899030000.0,12576967000.0
2027.0,12654885000.0,12480447000.0,12530767000.0,12724582000.0,12302556000.0
2028.0,12390534000.0,12161514000.0,12105752000.0,12542275000.0,11874082000.0
2029.0,12060374000.0,11757145000.0,11753441000.0,12376310000.0,11479479000.0
2030.0,11798155000.0,11289885000.0,11268753000.0,12054439000.0,11100399000.0
2031.0,11398867000.0,10834011000.0,10574667000.0,12348084000.0,10818615000.0
2032.0,10949930000.0,10219262000.0,10167857000.0,11978869000.0,10419626000.0
2033.0,10588340000.0,9675451000.0,9872742000.0,11663928000.0,9917895000.0
2034.0,10555482000.0,9251789000.0,10284433000.0,11356480000.0,9247067000.0
2035.0,10509401000.0,8901502000.0,9692760000.0,11671517000.0,8664540000.0
2036.0,10038899000.0,8458375000.0,9246504000.0,11143099000.0,8308510000.0
2037.0,9774918000.0,8156861000.0,8794955000.0,10830720000.0,7776615000.0
2038.0,9270186000.0,7635429000.0,8641537000.0,11507177000.0,7443249700.0
2039.0,8945309000.0,7306265600.0,8147385300.0,10722842000.0,6938193400.0
2040.0,8484957000.0,6751225300.0,7798987300.0,10357037000.0,6525204000.0
2041.0,8058633000.0,6357533700.0,7864039400.0,9943983000.0,5919427600.0
2042.0,7604750300.0,5955580000.0,6950324700.0,10167773000.0,5462313500.0
2043.0,7369915400.0,5508116000.0,6539928000.0,9638808000.0,5174324000.0
2044.0,7113905700.0,5224854000.0,6104700400.0,10197168000.0,4723010600.0
2045.0,6744467000.0,4945645000.0,5738113000.0,9093918000.0,4682796500.0
2046.0,6463750700.0,4596033000.0,5524917000.0,9124157000.0,4304275000.0
2047.0,6172528600.0,4350315500.0,5222499000.0,8836942000.0,4016813600.0
2048.0,5823988700.0,4151178200.0,5097774000.0,8551261700.0,3654323500.0
2049.0,5523188700.0,3933297400.0,5061143000.0,8274448000.0,3484193800.0
2050.0,5298433000.0,3741139700.0,4638769000.0,8001202700.0,3023550000.0
2051.0,4964960000.0,3538922800.0,4401310000.0,7717399000.0,2813790700.0
2052.0,4804998700.0,3309785300.0,4263525600.0,7622406700.0,2513010000.0
2053.0,4568400400.0,3183568600.0,4167171800.0,7563544600.0,2308372500.0
2054.0,4368841700.0,3031586300.0,3777162200.0,7139589000.0,2097718400.0
2055.0,4140917200.0,2904606500.0,3574895000.0,7013785000.0,1894585300.0
2056.0,3944077000.0,2723499500.0,3478753000.0,6818729500.0,1781908200.0
2057.0,4075424800.0,2560799700.0,3199498200.0,6974311000.0,1663717000.0
2058.0,3705942800.0,2418595800.0,3024614000.0,7501417500.0,1517085800.0
2059.0,3580556000.0,2305122600.0,2902169600.0,6607000000.0,1364743300.0
2060.0,3434677500.0,2151580700.0,2904251400.0,6233682000.0,1235120600.0
2061.0,3332661500.0,2051007700.0,2640816000.0,6148193000.0,1064937300.0
2062.0,3297327900.0,1935240000.0,2526358800.0,5955912000.0,939806900.0
2063.0,3140553200.0,1811051300.0,2400086500.0,5842151400.0,828751940.0
2064.0,3014388200.0,1684323300.0,2268863000.0,5687577000.0,743685500.0
2065.0,3304607500.0,1582741100.0,2169232000.0,6117974500.0,614202800.0
2066.0,2898314000.0,1459835600.0,2096180400.0,5360162000.0,529222940.0
2067.0,2780021800.0,1405008600.0,1954527100.0,6221276000.0,479640670.0
2068.0,2965445000.0,1338999000.0,1861997300.0,5084296000.0,452996030.0
