time,MPI-ESM1-2-HR,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,UKESM1-0-LL,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13820957000.0,14137981000.0,13703158000.0,13736672000.0,13698440000.0,13748804000.0,13764698000.0,13796915000.0,13776165000.0
2022.0,13722683000.0,13919017000.0,13438799000.0,13576664000.0,13865688000.0,13604090000.0,13695183000.0,13564219000.0,13559992000.0
2023.0,13495618000.0,13840348000.0,12962588000.0,13403767000.0,13491923000.0,13426996000.0,13583793000.0,13456019000.0,13345093000.0
2024.0,13557405000.0,13826290000.0,12504084000.0,13222815000.0,13288289000.0,13361568000.0,13714059000.0,13213012000.0,13118702000.0
2025.0,13249098000.0,13999107000.0,12165002000.0,13015205000.0,13072195000.0,13199426000.0,13468960000.0,12966862000.0,12924000000.0
2026.0,13256753000.0,13427382000.0,11560383000.0,12778027000.0,12852467000.0,13078565000.0,13289933000.0,12702073000.0,12924010000.0
2027.0,12989019000.0,13339689000.0,11156626000.0,12515234000.0,12387888000.0,12784969000.0,12958369000.0,12392746000.0,12489816000.0
2028.0,12957377000.0,13254195000.0,10472456000.0,12379036000.0,11932399000.0,12642487000.0,12740747000.0,12091472000.0,12473083000.0
2029.0,12835829000.0,12955015000.0,9884485000.0,11839182000.0,11549362000.0,12327740000.0,12577266000.0,11698117000.0,12117591000.0
2030.0,12584735000.0,13175746000.0,9403773000.0,11364676000.0,10903378000.0,12154055000.0,12356424000.0,11266937000.0,12008986000.0
2031.0,12331176000.0,12834663000.0,8996394000.0,11227251000.0,10348071000.0,12191009000.0,12218494000.0,10819821000.0,11769461000.0
2032.0,12409223000.0,12610743000.0,8430686000.0,10853574000.0,9376349000.0,11768395000.0,12065879000.0,10450003000.0,11544668000.0
2033.0,12031602000.0,12412538000.0,7901613000.0,10550138000.0,8634703000.0,11376814000.0,11764576000.0,10040559000.0,11233704000.0
2034.0,11772827000.0,12830604000.0,7397343700.0,10266835000.0,8142043600.0,11005176000.0,11477536000.0,9467128000.0,11020238000.0
2035.0,11751667000.0,12415038000.0,6922017000.0,10000442000.0,7567237600.0,10759818000.0,11200243000.0,9038079000.0,10749167000.0
2036.0,11491383000.0,13472440000.0,6412113400.0,9714044000.0,7267278000.0,10449285000.0,11039247000.0,8685280000.0,10459877000.0
2037.0,11394761000.0,13570877000.0,5942601700.0,9356487000.0,6750916600.0,10368881000.0,10687600000.0,8365696000.0,10211160000.0
2038.0,11236969000.0,12331065000.0,5590499300.0,8996789000.0,6444163600.0,10023057000.0,10318145000.0,7918209000.0,9951916000.0
2039.0,10962134000.0,12054393000.0,5149180400.0,8833225000.0,6143697000.0,9659003000.0,10460555000.0,7624138000.0,9773813000.0
2040.0,10687640000.0,12147502000.0,4804701000.0,8538487000.0,5865610000.0,9370161000.0,9724234000.0,7900079600.0,9594199000.0
2041.0,10675332000.0,11735126000.0,4524649000.0,8313170400.0,5561155000.0,8936675000.0,9199584000.0,7223192000.0,9181737000.0
2042.0,10396304000.0,11684473000.0,4209076200.0,8092420000.0,5158311000.0,8966479000.0,8873624000.0,6778889700.0,8874210000.0
2043.0,10184878000.0,11496858000.0,3805929500.0,7757205500.0,4810450000.0,8462103600.0,8439877600.0,6495141000.0,9055835000.0
2044.0,10394445000.0,11314221000.0,3590306000.0,7616331300.0,4525804000.0,8028244500.0,8108743000.0,6226109400.0,8701823000.0
2045.0,9838304000.0,11328946000.0,3320461000.0,7315740700.0,4318822000.0,7630028300.0,7728647000.0,5904284700.0,8440416000.0
2046.0,9592769000.0,10928447000.0,3055276300.0,7003930600.0,4085205200.0,7186513000.0,7383664600.0,5548961000.0,8304880600.0
2047.0,10028003000.0,10865511000.0,2844208000.0,6683273000.0,3785629400.0,6732127000.0,6958605000.0,5266336000.0,8204685000.0
2048.0,9560719000.0,10970141000.0,2745070000.0,6572406300.0,3485615600.0,6350379500.0,6563591000.0,4845815000.0,7968441300.0
2049.0,9365693000.0,11576910000.0,2554258700.0,6102249500.0,3239557600.0,6001976000.0,6305122000.0,4563854000.0,7756001300.0
2050.0,9480926000.0,11451133000.0,2430242000.0,5984433700.0,3078280400.0,5781185000.0,5877878300.0,4373993500.0,7577813500.0
2051.0,9037109000.0,10507235000.0,2306405000.0,5658877400.0,3040534000.0,5361882600.0,5609691600.0,4160811300.0,7434146300.0
2052.0,8642046000.0,11364694000.0,2195293400.0,5490348500.0,2821568800.0,5068799500.0,5353890300.0,3961611800.0,7427591700.0
2053.0,8475731000.0,11311598000.0,2085150600.0,5261373400.0,2765244000.0,4778043000.0,5127234600.0,3612329000.0,7268507000.0
