time,CESM1-CAM5,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-CM3,CANESM2,NORESM1-M
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51475374000.0,51505340000.0,51502203000.0,51507995000.0,51498400000.0,51704870000.0,51503460000.0,51497996000.0,51506864000.0,51473880000.0,51498017000.0
2022.0,51441914000.0,51491580000.0,51484606000.0,51494625000.0,51472482000.0,51502940000.0,51482337000.0,51508290000.0,51452895000.0,51464040000.0,51457053000.0
2023.0,51412582000.0,51459326000.0,51456840000.0,51466342000.0,51459863000.0,51476710000.0,51464667000.0,51462713000.0,51412312000.0,51443007000.0,51445682000.0
2024.0,51386896000.0,51447194000.0,51435300000.0,51448672000.0,51446200000.0,51450016000.0,51451675000.0,51608670000.0,51334500000.0,51474960000.0,51394363000.0
2025.0,51335754000.0,51415530000.0,51390783000.0,51420467000.0,51506490000.0,51416404000.0,51391890000.0,51467923000.0,51261022000.0,51395576000.0,51371717000.0
2026.0,51302190000.0,51399733000.0,51362530000.0,51392160000.0,51406787000.0,51413422000.0,51380860000.0,51417990000.0,51219935000.0,51371650000.0,51366020000.0
2027.0,51267592000.0,51369406000.0,51344200000.0,51359670000.0,51378475000.0,51386820000.0,51389702000.0,51440767000.0,51149730000.0,51343843000.0,51304354000.0
2028.0,51240580000.0,51393323000.0,51336937000.0,51349737000.0,51360588000.0,51357210000.0,51349946000.0,51380634000.0,51064283000.0,51310160000.0,51287597000.0
2029.0,51232076000.0,51340493000.0,51317944000.0,51332390000.0,51338994000.0,51323638000.0,51345957000.0,51352654000.0,50957283000.0,51292135000.0,51265560000.0
2030.0,51180080000.0,51323142000.0,51297130000.0,51328766000.0,51320603000.0,51298525000.0,51302340000.0,51319490000.0,50841616000.0,51271440000.0,51243102000.0
2031.0,51141930000.0,51283124000.0,51301958000.0,51281814000.0,51322827000.0,51275170000.0,51284770000.0,51301437000.0,50724712000.0,51239772000.0,51223667000.0
2032.0,51107330000.0,51271643000.0,51277000000.0,51266544000.0,51309986000.0,51263530000.0,51266425000.0,51290866000.0,50629722000.0,51216843000.0,51214127000.0
2033.0,51056780000.0,51262886000.0,51256775000.0,51249332000.0,51274826000.0,51235504000.0,51270960000.0,51264987000.0,50549092000.0,51161050000.0,51184427000.0
2034.0,50931466000.0,51291226000.0,51245760000.0,51236550000.0,51270560000.0,51207213000.0,51250510000.0,51255108000.0,50481537000.0,51130274000.0,51152065000.0
2035.0,50882937000.0,51250020000.0,51221540000.0,51212546000.0,51347220000.0,51192560000.0,51218895000.0,51238003000.0,50465180000.0,51086328000.0,51129344000.0
2036.0,50788807000.0,51242172000.0,51214037000.0,51167410000.0,51244687000.0,51154370000.0,51167015000.0,51216770000.0,50346504000.0,51040230000.0,51105673000.0
2037.0,50706640000.0,51215680000.0,51179780000.0,51159940000.0,51224113000.0,51110883000.0,51144536000.0,51183743000.0,50292388000.0,50987890000.0,51043510000.0
2038.0,50634555000.0,51191144000.0,51171172000.0,51119120000.0,51215344000.0,51091788000.0,51099140000.0,51147010000.0,50161013000.0,50954080000.0,51005837000.0
