time,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3-VEG,CAMS-CSM1-0
2000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0
2021.0,71804890000.0,73120055000.0,72442060000.0,71603210000.0
2022.0,69619606000.0,71415410000.0,70262776000.0,70020400000.0
2023.0,69534695000.0,67729064000.0,67957800000.0,67728794000.0
2024.0,68606964000.0,67661894000.0,67128560000.0,66129584000.0
2025.0,67262980000.0,68199880000.0,67257057000.0,65133556000.0
2026.0,66956680000.0,66949560000.0,65608335000.0,66515354000.0
2027.0,65832116000.0,64824717000.0,61171552000.0,65405220000.0
2028.0,64471090000.0,64500880000.0,58201776000.0,62499037000.0
2029.0,61617353000.0,63403450000.0,56297755000.0,60553855000.0
2030.0,61551534000.0,62945700000.0,54266278000.0,58515700000.0
2031.0,60047462000.0,62340874000.0,50102956000.0,56500703000.0
2032.0,56055996000.0,58871460000.0,48952623000.0,56222294000.0
2033.0,55939932000.0,58181157000.0,47600984000.0,55293026000.0
2034.0,55396856000.0,58441646000.0,44612817000.0,57158010000.0
2035.0,51898870000.0,58867982000.0,44706140000.0,56070480000.0
2036.0,48256570000.0,55969276000.0,44304620000.0,53487673000.0
2037.0,48039080000.0,52750290000.0,42862686000.0,53192385000.0
2038.0,47557108000.0,53748793000.0,40440110000.0,51015107000.0
2039.0,44771780000.0,53169590000.0,37472514000.0,47353872000.0
2040.0,44299150000.0,50883228000.0,38186640000.0,46755525000.0
2041.0,43096380000.0,49821143000.0,37456310000.0,49148957000.0
2042.0,40714285000.0,50069930000.0,34491744000.0,48674150000.0
2043.0,40540900000.0,49523024000.0,33289976000.0,47781970000.0
2044.0,40690815000.0,49229100000.0,34869658000.0,49223246000.0
2045.0,40008260000.0,48961307000.0,34068083000.0,49182675000.0
2046.0,38768214000.0,48792875000.0,32523598000.0,47148704000.0
2047.0,36881347000.0,47683252000.0,32202725000.0,47152996000.0
2048.0,37159563000.0,45893976000.0,33495120000.0,47771304000.0
2049.0,35948397000.0,47281934000.0,34148540000.0,47834480000.0
2050.0,35746415000.0,48176316000.0,33495243000.0,45560926000.0
2051.0,36297760000.0,47838646000.0,33949850000.0,47131873000.0
2052.0,35288810000.0,45576794000.0,35365660000.0,46584200000.0
2053.0,33438894000.0,45077280000.0,35536250000.0,46897460000.0
2054.0,33882600000.0,45134533000.0,32730182000.0,45519528000.0
2055.0,34369044000.0,44901480000.0,31147990000.0,45767130000.0
2056.0,34192148000.0,45762216000.0,32335092000.0,47427863000.0
2057.0,33818135000.0,47267123000.0,33290433000.0,47629402000.0
2058.0,33728633000.0,48500340000.0,34058306000.0,47444763000.0
2059.0,33207026000.0,48567783000.0,31555030000.0,45486770000.0
2060.0,32871037000.0,47365906000.0,33372330000.0,47985594000.0
2061.0,34000224000.0,47774140000.0,34203552000.0,49192020000.0
2062.0,34502226000.0,48342073000.0,33483057000.0,49455333000.0
2063.0,33635715000.0,47221880000.0,32904073000.0,50685817000.0
2064.0,33469549000.0,47147733000.0,33386890000.0,50509062000.0
2065.0,33507470000.0,48306370000.0,33729636000.0,51533726000.0
2066.0,33310872000.0,49163112000.0,33129738000.0,48637350000.0
2067.0,33408741000.0,50266186000.0,33865730000.0,48438936000.0
2068.0,34493130000.0,51688063000.0,33752121000.0,47933346000.0
2069.0,34053198000.0,51793080000.0,32693981000.0,48433553000.0
2070.0,33348504000.0,52528530000.0,33952510000.0,48537310000.0
2071.0,33762615000.0,51463160000.0,33645253000.0,51872580000.0
2072.0,34508382000.0,49417736000.0,32598920000.0,50521740000.0
2073.0,35495300000.0,51442352000.0,34725300000.0,48826896000.0
2074.0,35182006000.0,51301510000.0,35999224000.0,51207885000.0
