time,FGOALS-F3-L,INM-CM4-8,MPI-ESM1-2-HR,CANESM5,EC-EARTH3,ACCESS-CM2,CAMS-CSM1-0,CESM2,BCC-CSM2-MR,NORESM2-MM,EC-EARTH3-VEG,TAIESM1,GFDL-ESM4,IPSL-CM6A-LR,CMCC-CM2-SR5,MRI-ESM2-0,INM-CM5-0,CESM2-WACCM,ACCESS-ESM1-5
2000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0
2021.0,69795190000.0,71961110000.0,71224650000.0,70729245000.0,72758830000.0,69345070000.0,72050830000.0,71960460000.0,72278794000.0,70633930000.0,72382770000.0,70972514000.0,73092090000.0,73160400000.0,71960450000.0,73004500000.0,71427610000.0,69279320000.0,72960320000.0
2022.0,65018077000.0,70299280000.0,70604210000.0,68672260000.0,71991390000.0,64665420000.0,71389360000.0,69719785000.0,70411690000.0,68831190000.0,70924526000.0,70010810000.0,71221610000.0,69708330000.0,69468684000.0,70536830000.0,70021505000.0,63289102000.0,71904460000.0
2023.0,64425860000.0,68029220000.0,69010790000.0,66769170000.0,67441033000.0,64527660000.0,70163010000.0,65248727000.0,69390350000.0,66731330000.0,67965900000.0,69795520000.0,68779330000.0,68030095000.0,67908297000.0,69505384000.0,68227305000.0,60529553000.0,71870415000.0
2024.0,65027957000.0,64671265000.0,68860720000.0,61622596000.0,68397933000.0,61272326000.0,67464420000.0,63635930000.0,67353860000.0,66474738000.0,63063167000.0,67027833000.0,68897930000.0,67371594000.0,66499977000.0,68664037000.0,66510590000.0,58723280000.0,71395934000.0
2025.0,61374296000.0,61820160000.0,67424653000.0,59415454000.0,68568570000.0,60328526000.0,62772003000.0,59329950000.0,65250353000.0,63618355000.0,61620765000.0,63537144000.0,68325044000.0,66912793000.0,65324770000.0,66264486000.0,64106226000.0,56568170000.0,68853514000.0
2026.0,60475880000.0,58788094000.0,66926223000.0,58343404000.0,65601163000.0,57662616000.0,63477506000.0,56674423000.0,63695940000.0,58376440000.0,62146390000.0,61948916000.0,65820398000.0,64873943000.0,64229390000.0,63290827000.0,63818514000.0,50495963000.0,66337825000.0
2027.0,59707000000.0,57188684000.0,65572020000.0,54690304000.0,63983810000.0,55659274000.0,63173270000.0,54731575000.0,63405605000.0,56887165000.0,61143294000.0,60899406000.0,64193880000.0,64078310000.0,63089830000.0,61389290000.0,61820180000.0,47394734000.0,62042132000.0
2028.0,55474434000.0,55991110000.0,64326560000.0,53227647000.0,62662130000.0,51896750000.0,60396077000.0,53681467000.0,61062906000.0,56830480000.0,56982970000.0,57113154000.0,63795257000.0,62794215000.0,62816862000.0,58653356000.0,59914187000.0,45157597000.0,59351572000.0
2029.0,51297320000.0,55922352000.0,64456397000.0,51504013000.0,59567202000.0,48839570000.0,61868760000.0,51277066000.0,57812054000.0,56980636000.0,51630313000.0,53630804000.0,60925706000.0,59017040000.0,61824135000.0,55590502000.0,59815380000.0,41878323000.0,56998167000.0
2030.0,51789720000.0,53423743000.0,61235294000.0,50044420000.0,58337900000.0,48197930000.0,61643690000.0,48140317000.0,57056834000.0,57270755000.0,51786900000.0,50956812000.0,56487200000.0,54882947000.0,59570330000.0,53624308000.0,60839756000.0,40825760000.0,50674950000.0
2031.0,49090605000.0,52053560000.0,55767593000.0,49241477000.0,59418140000.0,45777740000.0,60642940000.0,47637370000.0,55931510000.0,55827124000.0,51760873000.0,49442260000.0,57311190000.0,50261594000.0,55011220000.0,50942312000.0,60840960000.0,39532438000.0,43782353000.0
2032.0,44447687000.0,51987100000.0,50651402000.0,46138126000.0,57007313000.0,42565770000.0,56785640000.0,45895410000.0,54092145000.0,50190647000.0,49688986000.0,47535230000.0,56224880000.0,48443105000.0,52877836000.0,48407245000.0,59264733000.0,37799272000.0,39829540000.0
2033.0,42845280000.0,50880510000.0,49099567000.0,43466400000.0,53807845000.0,42171830000.0,55688670000.0,42214527000.0,52913136000.0,48513655000.0,47743377000.0,44695343000.0,52264534000.0,47909274000.0,51801790000.0,43982995000.0,59686330000.0,36500898000.0,38037537000.0
