time,UKESM1-0-LL,MPI-ESM1-2-HR,TAIESM1,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,GFDL-ESM4
2000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0
2001.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0
2002.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0
2003.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0
2004.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0
2005.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0
2006.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0
2007.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0
2008.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0
2009.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0
2010.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0
2011.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0
2012.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0
2013.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0
2014.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0
2015.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0
2016.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0
2017.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0
2018.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0
2019.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0
2020.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0
2021.0,102553395000.0,101906194000.0,100452660000.0,101246460000.0,99003340000.0,100484410000.0,102542430000.0,102208225000.0,103644310000.0
2022.0,99416000000.0,101457930000.0,97483235000.0,100488880000.0,93909510000.0,96692460000.0,100888710000.0,101212840000.0,103470430000.0
2023.0,94388400000.0,99703144000.0,94313490000.0,99367305000.0,88443860000.0,94004740000.0,98198310000.0,100207760000.0,101368270000.0
2024.0,91160660000.0,96757015000.0,91729940000.0,99180480000.0,83110855000.0,90832994000.0,96082240000.0,97776075000.0,100469790000.0
2025.0,87790350000.0,94823000000.0,88588710000.0,99220144000.0,78718400000.0,88001176000.0,94119890000.0,95671780000.0,100451800000.0
2026.0,84592250000.0,91955160000.0,85747050000.0,98956370000.0,72537416000.0,86112700000.0,92539270000.0,92648730000.0,99658380000.0
2027.0,80767220000.0,90229060000.0,83463770000.0,96048320000.0,68669972000.0,84438385000.0,90517480000.0,89779680000.0,98840860000.0
2028.0,77530630000.0,87846445000.0,79395030000.0,96080230000.0,64529056000.0,81300670000.0,90251215000.0,86624590000.0,97259820000.0
2029.0,76068470000.0,86399060000.0,76589515000.0,95868340000.0,61114814000.0,79322235000.0,88340350000.0,84503626000.0,95856345000.0
2030.0,73704460000.0,84180760000.0,73193775000.0,94565620000.0,58445197000.0,76399160000.0,85329160000.0,81888354000.0,94035165000.0
2031.0,69828850000.0,84166340000.0,70759650000.0,93792000000.0,55543464000.0,74341120000.0,82795890000.0,80040720000.0,92314060000.0
2032.0,67665093000.0,80185524000.0,67604988000.0,93876790000.0,53225714000.0,71704370000.0,79432420000.0,77019300000.0,91650180000.0
2033.0,64848187000.0,76648950000.0,65369416000.0,94033860000.0,50136556000.0,69521980000.0,77160310000.0,75038050000.0,89803590000.0
2034.0,61511300000.0,74250810000.0,63971350000.0,91975900000.0,47394220000.0,67623522000.0,74074560000.0,72427320000.0,87445135000.0
2035.0,57630327000.0,72863220000.0,61519570000.0,90502816000.0,45577700000.0,65220137000.0,71784160000.0,70636250000.0,85166375000.0
2036.0,54165460000.0,69728400000.0,58928333000.0,89915230000.0,41080357000.0,63063904000.0,70123010000.0,68450075000.0,83814020000.0
2037.0,50974056000.0,68393992000.0,57303900000.0,89354715000.0,38719648000.0,59849953000.0,68237804000.0,66480337000.0,81643450000.0
2038.0,47525913000.0,66017590000.0,55052108000.0,87308100000.0,36141896000.0,57539457000.0,65337156000.0,64583586000.0,79567454000.0
