time,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR
2000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0
2001.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0
2002.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0
2003.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0
2004.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0
2005.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0
2006.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0
2007.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0
2008.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0
2009.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0
2010.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0
2011.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0
2012.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0
2013.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0
2014.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0
2015.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0
2016.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0
2017.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0
2018.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0
2019.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0
2020.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0
2021.0,101127830000.0,100640290000.0,102593650000.0,101753890000.0
2022.0,96715830000.0,97899550000.0,99773430000.0,97005710000.0
2023.0,93476530000.0,93598770000.0,98535160000.0,96668930000.0
2024.0,90107020000.0,87454330000.0,96581110000.0,96253360000.0
2025.0,86956510000.0,84043870000.0,95834735000.0,94535246000.0
2026.0,83968020000.0,81330390000.0,93837530000.0,91720670000.0
2027.0,80750120000.0,77706700000.0,93360415000.0,88755330000.0
2028.0,77946520000.0,73147924000.0,91544715000.0,85710010000.0
2029.0,74435050000.0,69689130000.0,88958150000.0,82575660000.0
2030.0,72673460000.0,67128734000.0,87430550000.0,80440440000.0
2031.0,71251040000.0,63683035000.0,86541920000.0,78645700000.0
2032.0,69604970000.0,60680557000.0,84059070000.0,76265650000.0
2033.0,66063372000.0,57208870000.0,81438474000.0,72692020000.0
2034.0,63463100000.0,54773550000.0,79735920000.0,71411520000.0
2035.0,59593994000.0,53096124000.0,77829050000.0,69457895000.0
2036.0,56759538000.0,50048650000.0,74783200000.0,67030580000.0
2037.0,53679813000.0,46823907000.0,73822010000.0,64115650000.0
2038.0,51044620000.0,44760023000.0,72530665000.0,62039600000.0
2039.0,48520810000.0,42808700000.0,71135720000.0,60657345000.0
2040.0,46708273000.0,40394420000.0,70553460000.0,59312210000.0
2041.0,44795420000.0,37776760000.0,69912960000.0,56672743000.0
2042.0,42280380000.0,34917380000.0,69131240000.0,54784295000.0
2043.0,40285010000.0,33079070000.0,68231873000.0,52323670000.0
2044.0,38583263000.0,30658430000.0,66297475000.0,49750315000.0
2045.0,37124243000.0,28710420000.0,65375568000.0,48751047000.0
2046.0,36084204000.0,27306965000.0,64449577000.0,47006188000.0
2047.0,35555197000.0,26193715000.0,63291650000.0,44779717000.0
2048.0,34824750000.0,24841503000.0,61450010000.0,43527758000.0
2049.0,33241313000.0,23871280000.0,60316586000.0,41729580000.0
