time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2030.0,76902280000.0,69417950000.0,86122570000.0,68826610000.0,79351940000.0
2031.0,73459280000.0,66508470000.0,84319740000.0,64044590000.0,77269750000.0
2032.0,69922320000.0,62417908000.0,81059410000.0,59886940000.0,76020820000.0
2033.0,66366230000.0,59358675000.0,78733280000.0,56959152000.0,73167675000.0
2034.0,63238410000.0,56618760000.0,76891840000.0,53475790000.0,69526230000.0
2035.0,61321190000.0,53809136000.0,74076020000.0,50119060000.0,65863172000.0
2036.0,59240575000.0,52276425000.0,71972950000.0,46939628000.0,63736150000.0
2037.0,55539060000.0,50021590000.0,69572160000.0,43501195000.0,61745533000.0
2038.0,52294880000.0,46508610000.0,67545690000.0,40515523000.0,60099453000.0
2039.0,50309304000.0,43148866000.0,65178948000.0,38641640000.0,57543570000.0
2040.0,47524810000.0,41103974000.0,62400573000.0,35188750000.0,54596723000.0
2041.0,44625117000.0,39050478000.0,61656150000.0,32517112000.0,51763655000.0
2042.0,42015810000.0,36234936000.0,59295412000.0,30354446000.0,49819763000.0
2043.0,39262626000.0,34123043000.0,56553880000.0,27905108000.0,47114887000.0
2044.0,36562395000.0,32739627000.0,53683446000.0,25612956000.0,45138320000.0
2045.0,34529140000.0,30893990000.0,52712190000.0,23984202000.0,42030360000.0
2046.0,32440791000.0,29427650000.0,50852712000.0,22482727000.0,39633076000.0
2047.0,30478424000.0,28610466000.0,49242570000.0,21051441000.0,37666034000.0
2048.0,28693017000.0,27533154000.0,47475233000.0,19391900000.0,35898802000.0
2049.0,27339570000.0,26425455000.0,45265170000.0,17782542000.0,33747808000.0
2050.0,25470308000.0,25254615000.0,43521454000.0,16371393000.0,32170602000.0
2051.0,23849118000.0,24000991000.0,42559705000.0,14999806000.0,30166950000.0
2052.0,22933156000.0,23365845000.0,40483017000.0,14052329000.0,28596937000.0
2053.0,21741994000.0,22613473000.0,38765605000.0,13102141000.0,27411730000.0
2054.0,20390770000.0,21766519000.0,36957147000.0,12571174000.0,26104111000.0
2055.0,19825572000.0,20713840000.0,35489972000.0,12173431000.0,24413915000.0
2056.0,18476866000.0,20291369000.0,34063868000.0,11584729000.0,23322700000.0
2057.0,17803598000.0,19749016000.0,33177539000.0,11136152000.0,22214345000.0
2058.0,16939400000.0,18780778000.0,32695288000.0,10590120000.0,21292069000.0
2059.0,15949243000.0,18146095000.0,31511966000.0,10187231000.0,20305380000.0
