time,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2-WACCM,INM-CM4-8,INM-CM5-0,EC-EARTH3
2000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0
2001.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0
2002.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0
2003.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0
2004.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0
2005.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0
2006.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0
2007.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0
2008.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0
2009.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0
2010.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0
2011.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0
2012.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0
2013.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0
2014.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0
2015.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0
2016.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0
2017.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0
2018.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0
2019.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0
2020.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0
2021.0,14085031000.0,14026460000.0,14112761000.0,14005826000.0,14057808000.0,14046953000.0,14027159000.0,14150172000.0,14148648000.0,14033580000.0,14029121000.0,14053403000.0,13996564000.0
2022.0,13971670000.0,13934764000.0,13960765000.0,13916423000.0,13916500000.0,13918247000.0,13937884000.0,14405447000.0,13947668000.0,13924082000.0,14216539000.0,13922034000.0,13856327000.0
2023.0,13772346000.0,13802990000.0,13835504000.0,13820863000.0,13805394000.0,13764222000.0,14000941000.0,14127054000.0,13835194000.0,13769844000.0,13862560000.0,13816188000.0,13735177000.0
2024.0,13736770000.0,13705917000.0,13845892000.0,13704359000.0,13615286000.0,13726286000.0,13693545000.0,13945624000.0,13747229000.0,13708527000.0,13725075000.0,13761473000.0,13549585000.0
2025.0,13635926000.0,13584379000.0,13759994000.0,13772950000.0,13540225000.0,13592688000.0,13472014000.0,13769780000.0,13657164000.0,13490206000.0,13592289000.0,13686193000.0,13692303000.0
2026.0,13456241000.0,13410872000.0,13530691000.0,13405960000.0,13514717000.0,13577131000.0,13296864000.0,13644321000.0,13755535000.0,13309975000.0,13468833000.0,13530926000.0,13522678000.0
2027.0,13349822000.0,13202122000.0,13407119000.0,13312934000.0,13294075000.0,13377849000.0,13055658000.0,13593015000.0,13577981000.0,13095638000.0,13411606000.0,13383186000.0,13275811000.0
2028.0,13223390000.0,12961828000.0,13311171000.0,13084018000.0,13212506000.0,13174597000.0,12956350000.0,13437587000.0,13460063000.0,12948368000.0,13207179000.0,13510082000.0,13026057000.0
2029.0,13376900000.0,12752034000.0,13336421000.0,12788007000.0,12963256000.0,12886046000.0,12683673000.0,13553337000.0,13352077000.0,12621367000.0,12983293000.0,13197015000.0,13100078000.0
2030.0,13023495000.0,12521881000.0,13069277000.0,12529034000.0,12813512000.0,12921332000.0,12422322000.0,13260058000.0,13357155000.0,12297975000.0,12723013000.0,13003794000.0,12907616000.0
2031.0,12856870000.0,12302657000.0,12944332000.0,12281636000.0,12502227000.0,12647164000.0,12251241000.0,13390846000.0,13544960000.0,12078360000.0,12538871000.0,12866251000.0,12824963000.0
2032.0,12682372000.0,12019737000.0,12812987000.0,12101628000.0,12343372000.0,12375393000.0,12085845000.0,13101580000.0,13085920000.0,11749786000.0,12316753000.0,12739982000.0,12498297000.0
2033.0,12504716000.0,11860146000.0,12649842000.0,11883890000.0,12497524000.0,12237107000.0,11689429000.0,13007996000.0,12939570000.0,11562957000.0,12461642000.0,12507738000.0,12595123000.0
2034.0,12351400000.0,11607759000.0,12462404000.0,11523654000.0,12037126000.0,12011942000.0,11308687000.0,12689509000.0,13214790000.0,11482837000.0,12042488000.0,12381805000.0,12118839000.0
2035.0,12069137000.0,11335519000.0,12433973000.0,11261213000.0,11830011000.0,11868958000.0,10863261000.0,12538758000.0,12707396000.0,11483721000.0,11918193000.0,12200059000.0,11927367000.0
2036.0,11969703000.0,10973795000.0,12186695000.0,10916550000.0,11553895000.0,11662931000.0,10621008000.0,12343792000.0,12721857000.0,11161027000.0,11594702000.0,11971420000.0,12074981000.0
