time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0
2031.0,12751660000.0,11991228000.0,12508501000.0,12742280000.0,12931260000.0,13030067000.0,12888196000.0,11986367000.0,12589301000.0,12027282000.0,12925518000.0,12457644000.0,12771049000.0,13319469000.0
2032.0,13011225000.0,11725069000.0,12306080000.0,12496810000.0,12689295000.0,12941799000.0,12854616000.0,11930808000.0,12352249000.0,11795381000.0,12676378000.0,12211600000.0,12471222000.0,12990778000.0
2033.0,12838929000.0,11474440000.0,12072888000.0,12279250000.0,12682289000.0,12756531000.0,12569247000.0,11564940000.0,12164663000.0,11401002000.0,12500940000.0,11995859000.0,12246835000.0,12906450000.0
2034.0,12499354000.0,11258273000.0,11867956000.0,11901899000.0,12504983000.0,12666021000.0,12334155000.0,11268007000.0,11918596000.0,11145416000.0,12483835000.0,11722884000.0,11942800000.0,13274230000.0
2035.0,12202000000.0,11020674000.0,11644524000.0,11722687000.0,12274115000.0,12573788000.0,12352463000.0,11050506000.0,12064541000.0,10894866000.0,12188403000.0,11409990000.0,11698921000.0,13876103000.0
2036.0,12032541000.0,10746057000.0,11414187000.0,11570613000.0,12146998000.0,12472701000.0,12097769000.0,10656599000.0,11985033000.0,10621587000.0,12073842000.0,11124545000.0,11455145000.0,12979261000.0
2037.0,11927528000.0,10452567000.0,11210221000.0,11505276000.0,11962289000.0,12412472000.0,11950623000.0,10229310000.0,11662856000.0,10594295000.0,11872397000.0,10943745000.0,11299002000.0,12668956000.0
2038.0,11816192000.0,10125779000.0,10986905000.0,11198274000.0,11843862000.0,12126833000.0,11836634000.0,9772836000.0,11303230000.0,10697716000.0,11622182000.0,10742314000.0,11045655000.0,12831559000.0
2039.0,11567392000.0,9929549000.0,10835379000.0,11112773000.0,11670273000.0,11828781000.0,11616659000.0,9479817000.0,10877497000.0,10090037000.0,11499811000.0,10481821000.0,10763769000.0,12502202000.0
2040.0,11372735000.0,9639782000.0,10727560000.0,10666780000.0,11375791000.0,11600903000.0,11389022000.0,9170821000.0,10790041000.0,9788264000.0,11189898000.0,10331856000.0,10514357000.0,12442367000.0
2041.0,11148222000.0,9373202000.0,10353382000.0,10551483000.0,11218424000.0,11336458000.0,11387018000.0,8690960000.0,10495266000.0,10068498000.0,11093931000.0,10115218000.0,10156250000.0,12333969000.0
2042.0,11293396000.0,9139767000.0,10133037000.0,10161116000.0,11104960000.0,11117938000.0,11166672000.0,8378618400.0,10233939000.0,9471065000.0,10874557000.0,9757532000.0,10057329000.0,12790764000.0
2043.0,10893137000.0,8806825000.0,10182718000.0,9870522000.0,10825708000.0,10904653000.0,10942934000.0,8031507500.0,9899870000.0,9084757000.0,10861050000.0,9500391000.0,9702147000.0,12516209000.0
2044.0,10662521000.0,8627164000.0,9882331000.0,9757316000.0,10568393000.0,10626333000.0,10955547000.0,7615244000.0,9584612000.0,9416530000.0,10624207000.0,9143462000.0,9326198000.0,12125436000.0
2045.0,10473338000.0,8362414600.0,9622806000.0,9436774000.0,10971929000.0,10459094000.0,10607101000.0,7223769000.0,9334870000.0,8652313000.0,10552373000.0,8854269000.0,8953131000.0,12472587000.0
2046.0,10239026000.0,8081483000.0,9507597000.0,9156030000.0,10390004000.0,10588894000.0,10382726000.0,6966024000.0,9028389000.0,8354223600.0,10304227000.0,8646508000.0,8547035000.0,11974187000.0
2047.0,10057226000.0,7770517500.0,9335278000.0,8942022000.0,9976109000.0,10204994000.0,10523739000.0,6707825000.0,8646125000.0,8047092000.0,10117539000.0,8516525600.0,8171514400.0,11916600000.0
2048.0,9857205000.0,7646426000.0,9147060000.0,8588511000.0,9671040000.0,10054855000.0,10343933000.0,6464918500.0,8258630000.0,7940309500.0,9957385000.0,8349119000.0,7780385000.0,12010625000.0
2049.0,9625991000.0,7188549000.0,8997341000.0,8254476300.0,9324517000.0,9824253000.0,10075202000.0,6244783000.0,8090455600.0,7634745300.0,9820972000.0,8126228000.0,7456762000.0,11885031000.0
2050.0,9428481000.0,7008799000.0,8784480000.0,7991781000.0,9098415000.0,9825466000.0,10188103000.0,6026461000.0,7819005400.0,7520416300.0,9662277000.0,7900947000.0,7217741300.0,11687840000.0
2051.0,9177034000.0,6676420600.0,8605437000.0,7806982000.0,9006453000.0,9405359000.0,9730178000.0,5735833600.0,7558495700.0,7176789000.0,9589364000.0,7689235000.0,6775694300.0,11606344000.0
2052.0,8948594000.0,6463224000.0,8617687000.0,7530705000.0,8686874000.0,9122279000.0,9500164000.0,5497362000.0,7291953700.0,7059641300.0,9336784000.0,7820011000.0,6427199000.0,11564951000.0
2053.0,8697596000.0,6229229600.0,8522992000.0,7400488000.0,8437335000.0,8974561000.0,9267616000.0,5257827000.0,7026192400.0,6936678000.0,9161972000.0,7422111000.0,6095719400.0,11332786000.0
2054.0,8681872000.0,6105743400.0,8319197000.0,7192447500.0,8139119000.0,8761727000.0,9091437000.0,5060421600.0,6602262500.0,6844272600.0,9314268000.0,7138578000.0,5870704600.0,11173563000.0
2055.0,8324637700.0,5873193500.0,7964132000.0,6982677000.0,7892495400.0,8597030000.0,8958309000.0,4888371700.0,6324399600.0,6586710000.0,9015704000.0,6973876700.0,5711412700.0,10991894000.0
