time,CESM2-WACCM,EC-EARTH3-VEG,INM-CM5-0,CANESM5,ACCESS-CM2,IPSL-CM6A-LR,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,BCC-CSM2-MR,ACCESS-ESM1-5,CAMS-CSM1-0,EC-EARTH3,MRI-ESM2-0,CESM2,FGOALS-F3-L,INM-CM4-8
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51513156000.0,51465920000.0,51494093000.0,51555234000.0,51499504000.0,51500160000.0,51503497000.0,51481810000.0,51485540000.0,51519870000.0,51507384000.0,51496514000.0,51464700000.0,51505537000.0,51504927000.0,51499870000.0,51502460000.0
2022.0,51496595000.0,51408740000.0,51454026000.0,51476980000.0,51489698000.0,51461100000.0,51469693000.0,51458670000.0,51447490000.0,51501050000.0,51495363000.0,51483770000.0,51436160000.0,51503763000.0,51503075000.0,51481000000.0,51511790000.0
2023.0,51491803000.0,51330384000.0,51410153000.0,51620094000.0,51445998000.0,51429646000.0,51454226000.0,51438105000.0,51443614000.0,51470520000.0,51514905000.0,51448930000.0,51379515000.0,51456800000.0,51464475000.0,51463623000.0,51495720000.0
2024.0,51482010000.0,51302232000.0,51383108000.0,51409640000.0,51432403000.0,51375133000.0,51443380000.0,51437085000.0,51400643000.0,51435966000.0,51478350000.0,51455857000.0,51339014000.0,51443010000.0,51455152000.0,51439055000.0,51459674000.0
2025.0,51494662000.0,51269837000.0,51359203000.0,51326180000.0,51392225000.0,51356350000.0,51403670000.0,51513310000.0,51372626000.0,51450393000.0,51405574000.0,51430863000.0,51303110000.0,51399606000.0,51434324000.0,51390270000.0,51480280000.0
2026.0,51440497000.0,51217764000.0,51322204000.0,51263600000.0,51374150000.0,51320803000.0,51378053000.0,51360140000.0,51357827000.0,51421864000.0,51380257000.0,51401970000.0,51260890000.0,51364810000.0,51373277000.0,51374910000.0,51450630000.0
2027.0,51439235000.0,51176460000.0,51286770000.0,51196604000.0,51337716000.0,51296330000.0,51356490000.0,51337142000.0,51328307000.0,51381998000.0,51331530000.0,51353540000.0,51220250000.0,51341718000.0,51353997000.0,51339170000.0,51403153000.0
2028.0,51538330000.0,51123855000.0,51253342000.0,51116515000.0,51311456000.0,51283640000.0,51335870000.0,51305157000.0,51293962000.0,51353883000.0,51327080000.0,51331998000.0,51182035000.0,51293610000.0,51347120000.0,51308680000.0,51470627000.0
2029.0,51412960000.0,51067884000.0,51212394000.0,51029377000.0,51306734000.0,51250430000.0,51313807000.0,51302494000.0,51262198000.0,51331180000.0,51293946000.0,51316190000.0,51132576000.0,51266585000.0,51310555000.0,51296637000.0,51465240000.0
2030.0,51430072000.0,50995495000.0,51174957000.0,50912522000.0,51287610000.0,51219700000.0,51302543000.0,51267793000.0,51240743000.0,51318710000.0,51280507000.0,51299530000.0,51111340000.0,51240776000.0,51290290000.0,51280320000.0,51384476000.0
2031.0,51397956000.0,50929300000.0,51138167000.0,50810827000.0,51293397000.0,51186810000.0,51268490000.0,51267633000.0,51314024000.0,51311190000.0,51284492000.0,51293500000.0,51049464000.0,51218620000.0,51263164000.0,51241260000.0,51368610000.0
2032.0,51383144000.0,50864656000.0,51097980000.0,50786873000.0,51256398000.0,51158630000.0,51251786000.0,51241878000.0,51190540000.0,51282567000.0,51306918000.0,51281723000.0,50985590000.0,51189050000.0,51244400000.0,51212292000.0,51361870000.0
2033.0,51330654000.0,50816530000.0,51053840000.0,50600743000.0,51255038000.0,51136446000.0,51234160000.0,51220960000.0,51160257000.0,51268080000.0,51241140000.0,51256430000.0,50900214000.0,51152953000.0,51223396000.0,51187730000.0,51404095000.0
2034.0,51418173000.0,50771083000.0,50991840000.0,50441716000.0,51270980000.0,51094835000.0,51223500000.0,51220865000.0,51125530000.0,51251515000.0,51247860000.0,51243820000.0,50821247000.0,51097063000.0,51202404000.0,51166830000.0,51326770000.0
2035.0,51297337000.0,50739876000.0,50920104000.0,50247864000.0,51227386000.0,51060770000.0,51195100000.0,51201606000.0,51105427000.0,51229606000.0,51213795000.0,51232440000.0,50759870000.0,51050865000.0,51180830000.0,51121476000.0,51634650000.0
2036.0,51278030000.0,50672560000.0,50878075000.0,50082000000.0,51179205000.0,50998915000.0,51179930000.0,51178250000.0,51061990000.0,51196154000.0,51189770000.0,51392963000.0,50664972000.0,51004590000.0,51151340000.0,51095814000.0,51345690000.0
2037.0,51260480000.0,50616120000.0,50802487000.0,49910220000.0,51137730000.0,50927370000.0,51173892000.0,51152613000.0,51113080000.0,51179987000.0,51135267000.0,51204805000.0,50590097000.0,50956333000.0,51113860000.0,51075590000.0,51299020000.0
2038.0,51225936000.0,50549520000.0,50745893000.0,49699880000.0,51077124000.0,50856632000.0,51116180000.0,51171426000.0,51022623000.0,51128926000.0,51099386000.0,51155520000.0,50495726000.0,50902940000.0,51085877000.0,51037250000.0,51306738000.0
2039.0,51206128000.0,50523670000.0,50710348000.0,49460924000.0,51023225000.0,50770043000.0,51110085000.0,51104460000.0,50983900000.0,51090186000.0,51088245000.0,51133313000.0,50385883000.0,50805880000.0,51064287000.0,51008516000.0,51265892000.0
