time,MPI-ESM-LR,GISS-E2-R,CANESM2,IPSL-CM5A-LR,CCSM4,CESM1-CAM5,GFDL-CM3,CNRM-CM5,NORESM1-M,GFDL-ESM2G,CSIRO-MK3-6-0
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1913531000.0,1910365800.0,1896755100.0,1907687000.0,1890257200.0,1919316000.0,1903558100.0,1924289400.0,1919208400.0,1919028200.0,1901318800.0
2022.0,1957275000.0,1882124900.0,1860963800.0,1875557500.0,1892999600.0,1865133000.0,1868450200.0,1879285500.0,1901051600.0,1901246300.0,1876204000.0
2023.0,1871567500.0,1846257400.0,1827796400.0,1846720000.0,1845828700.0,1848063600.0,1829614500.0,1856937000.0,1865500800.0,1869460900.0,1836298000.0
2024.0,1884712100.0,1805996400.0,1817367800.0,1794137200.0,1807124500.0,1823444000.0,1775368700.0,1871135200.0,1830071800.0,1929057300.0,1822158200.0
2025.0,1907350400.0,1746753000.0,1777216300.0,1770496400.0,1770077700.0,1784255700.0,1714492000.0,1845740500.0,1788061800.0,1849254900.0,1783705600.0
2026.0,1895711400.0,1721534800.0,1723941900.0,1773772700.0,1737908400.0,1738899500.0,1660447100.0,1796863700.0,1741352600.0,1803254900.0,1750811500.0
2027.0,2038608000.0,1679504100.0,1743983700.0,1729387300.0,1695283800.0,1737308400.0,1591207200.0,1730550700.0,1690679400.0,1761996200.0,1671347800.0
2028.0,1887368000.0,1697436900.0,1671456600.0,1694530300.0,1664491000.0,1647337600.0,1528982800.0,1679985000.0,1787239700.0,1721367800.0,1620512100.0
2029.0,1823849900.0,1617556400.0,1626366300.0,1685514200.0,1629260500.0,1590927400.0,1434882300.0,1772416900.0,1645498200.0,1697289700.0,1945023500.0
2030.0,1783455600.0,1534560100.0,1582020600.0,1615563800.0,1592854500.0,1659240300.0,1343729900.0,1634626800.0,1598925400.0,1668504200.0,1563826600.0
2031.0,1744500200.0,1469855700.0,1513845600.0,1562245000.0,1553140100.0,1533519200.0,1314498800.0,1587038200.0,1549177500.0,1639471700.0,1519861100.0
2032.0,1686588700.0,1533106600.0,1468599200.0,1535513300.0,1516318200.0,1477276700.0,1244074900.0,1545878300.0,1497206300.0,1595909500.0,1498593300.0
