time,GFDL-CM3,CESM1-CAM5,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CCSM4
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1925675300.0,1898586800.0,1909804400.0,1913374600.0,1908712000.0,1895210400.0,1917539100.0,1910109300.0
2022.0,1923486800.0,1940724600.0,1886952300.0,1884415000.0,1946100500.0,1853693600.0,1863614000.0,1974997100.0
2023.0,1878702600.0,1888273700.0,1844883000.0,1854758400.0,1910616000.0,1855252200.0,1830955600.0,1859606100.0
2024.0,1843043200.0,1912253700.0,1806104200.0,1808713100.0,1879041800.0,1803968400.0,1784795400.0,1843587800.0
2025.0,1810033800.0,1858220900.0,1767411700.0,1767961600.0,1840329100.0,1756270800.0,1897023500.0,1797613200.0
2026.0,1770750700.0,1812151300.0,1774383600.0,1740108800.0,1821788400.0,1707670100.0,1790799700.0,1883048300.0
2027.0,1681346000.0,1790001200.0,1817801300.0,1714674600.0,1788316900.0,1679810600.0,1706687600.0,1755427000.0
2028.0,1629179300.0,1848967000.0,1830288500.0,1695903100.0,1744202400.0,1640823000.0,1666493600.0,1739653500.0
2029.0,1578450700.0,1747158700.0,1934611300.0,1664150100.0,1738674700.0,1605249400.0,1671598300.0,1735026200.0
2030.0,1519485400.0,1734238600.0,1696331400.0,1609942700.0,1697425400.0,1566800400.0,1618868700.0,1704744800.0
2031.0,1466760800.0,1713646300.0,1629760300.0,1551605000.0,1693705700.0,1512834000.0,1587908100.0,1649389400.0
2032.0,1394486500.0,1666552200.0,1589047000.0,1520329200.0,1647545300.0,1464367000.0,1557220400.0,1605600100.0
2033.0,1419667100.0,1639506300.0,1555422100.0,1518773800.0,1643803000.0,1420980900.0,1623452800.0,1612773200.0
2034.0,1314344700.0,1607001300.0,1515572200.0,1439867100.0,1594511500.0,1374385400.0,1639092600.0,1563515900.0
2035.0,1260207400.0,1585691000.0,1497987800.0,1393089300.0,1613096000.0,1448164900.0,1514358400.0,1521241300.0
2036.0,1224240000.0,1572554000.0,1542507300.0,1366400800.0,1557090800.0,1343929100.0,1489492600.0,1487594100.0
2037.0,1216815500.0,1536253300.0,1446124000.0,1371659100.0,1533190400.0,1306031500.0,1470282900.0,1454641500.0
2038.0,1151398800.0,1533749800.0,1418275100.0,1292301600.0,1482820600.0,1278268400.0,1441402600.0,1421303200.0
2039.0,1087396100.0,1481482100.0,1374258800.0,1235611900.0,1452803300.0,1236022500.0,1394338600.0,1394878100.0
2040.0,1042964000.0,1469331100.0,1328209400.0,1309021400.0,1441370600.0,1232456000.0,1354481200.0,1357616800.0
2041.0,990833900.0,1439433000.0,1300581800.0,1212864000.0,1388419500.0,1191951000.0,1316080100.0,1324656000.0
2042.0,932203970.0,1430192000.0,1291936600.0,1161994400.0,1386551700.0,1424027800.0,1300360300.0,1290230300.0
2043.0,882361400.0,1423351200.0,1263046300.0,1108150400.0,1375872800.0,1402964000.0,1251579800.0,1340936000.0
2044.0,836157950.0,1381757200.0,1245335700.0,1085024000.0,1331810400.0,1222859100.0,1213263600.0,1228607500.0
2045.0,815513100.0,1354545700.0,1216934100.0,1053670140.0,1307417700.0,1144254600.0,1195639800.0,1208997500.0
2046.0,780699600.0,1585316900.0,1354773100.0,1034811840.0,1301250200.0,1119307300.0,1175332600.0,1192846200.0
2047.0,756210400.0,1346899300.0,1185897200.0,1005229200.0,1287958000.0,1091766100.0,1123950200.0,1162963700.0
2048.0,724491200.0,1306547500.0,1164502000.0,947464800.0,1250212900.0,1084359600.0,1094232700.0,1125017300.0
2049.0,694083600.0,1280830200.0,1144873700.0,924054460.0,1228082000.0,1066678400.0,1055093500.0,1088128000.0
2050.0,683825600.0,1260340100.0,1156090500.0,881796300.0,1217788300.0,1043517000.0,1062600300.0,1043894300.0
2051.0,674474000.0,1278778200.0,1114645000.0,860528200.0,1194794600.0,1026834940.0,1299868400.0,1021037440.0
2052.0,644808400.0,1226145700.0,1069655230.0,831236600.0,1175572400.0,1035415740.0,1027150100.0,995912000.0
2053.0,656739000.0,1201203000.0,1133231900.0,801411000.0,1144675000.0,1026252860.0,981520450.0,1037014100.0
2054.0,599456300.0,1179180000.0,1170293400.0,761185800.0,1120095500.0,981422100.0,953772000.0,1088906400.0
2055.0,574031600.0,1154892700.0,1034003100.0,738891300.0,1185477400.0,965463360.0,942983600.0,960131300.0
2056.0,560770750.0,1138594700.0,1005569500.0,710356300.0,1089576000.0,941460900.0,907520640.0,926616400.0
2057.0,540160600.0,1119910400.0,993787600.0,680314240.0,1062098050.0,913556800.0,884459200.0,897027300.0
2058.0,515218900.0,1094106400.0,959173000.0,662306300.0,1046507900.0,914820400.0,845783500.0,871530050.0
2059.0,500917540.0,1064133400.0,1388848300.0,639699200.0,1045938400.0,892755300.0,855571840.0,852373300.0
2060.0,493315360.0,1020184640.0,932732000.0,633084860.0,1012004350.0,883633540.0,820808300.0,831365950.0
