time,MPI-ESM-LR,GISS-E2-R,CCSM4,CANESM2,IPSL-CM5A-LR,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1918646500.0,1900145500.0,1865324400.0,1889493000.0,1896101400.0,1905916900.0,1874955800.0,1890610200.0,1927757700.0,1896297600.0
2022.0,1885522600.0,1845893100.0,1823827300.0,1855577100.0,1857894900.0,1887996400.0,1816958700.0,1959625100.0,1868129400.0,1880980200.0
2023.0,1855995400.0,1800080600.0,1763240000.0,1824600800.0,1845443800.0,1866164200.0,1789074000.0,1846355700.0,1984685000.0,1856228100.0
2024.0,1948677600.0,1746468200.0,1735669200.0,1745237400.0,1815239600.0,1814532100.0,1739497300.0,1834115000.0,1853756900.0,1824258700.0
2025.0,1968593200.0,1800855800.0,1678322200.0,1710007700.0,1815393400.0,1775339300.0,1718202900.0,1817004400.0,1789865900.0,1773587800.0
2026.0,1915043000.0,1675980000.0,1645912800.0,1672962300.0,1757582000.0,1716833700.0,1658101800.0,1774595800.0,1739338600.0,1711574000.0
2027.0,1848156000.0,1652481700.0,1610372100.0,1630677100.0,1743386400.0,1670831100.0,1609345500.0,1789091600.0,1723227100.0,1677835400.0
2028.0,1814122100.0,1713861400.0,1702608800.0,1608469400.0,1716345500.0,1632652500.0,1592486100.0,1728729700.0,1689078000.0,1621309000.0
2029.0,1758496300.0,1599553900.0,1513090300.0,1610658400.0,1651189400.0,1550080400.0,1537511700.0,1682498400.0,1649101000.0,1562408400.0
2030.0,1720675100.0,1551152900.0,1496860000.0,1524754700.0,1594998000.0,1490691300.0,1490164400.0,1658484700.0,1587816100.0,1490304300.0
2031.0,1690382700.0,1521445600.0,1411287700.0,1537261300.0,1537873900.0,1780235900.0,1390934000.0,1615858400.0,1585490200.0,1535006100.0
2032.0,1616796300.0,1485735000.0,1370417500.0,1435024900.0,1490918500.0,1488199300.0,1367786600.0,1582200000.0,1540528100.0,1472070800.0
2033.0,1568424700.0,1436254000.0,1338323100.0,1394850800.0,1449494700.0,1444126600.0,1270483800.0,1524415700.0,1511139300.0,1382860400.0
2034.0,1528657900.0,1364142700.0,1293641600.0,1364944100.0,1394889900.0,1356588800.0,1228963700.0,1478847200.0,1551656300.0,1326368500.0
2035.0,1473809000.0,1335765600.0,1358900200.0,1286298100.0,1352642700.0,1361529900.0,1189129900.0,1445886700.0,1451385900.0,1283446800.0
2036.0,1429290600.0,1309007200.0,1240457300.0,1239420500.0,1297479700.0,1296640900.0,1127519000.0,1415941900.0,1420701200.0,1216561200.0
2037.0,1369913200.0,1286107800.0,1195284100.0,1205147500.0,1270772900.0,1268747400.0,1102356400.0,1364159600.0,1371361700.0,1186145900.0
2038.0,1360385500.0,1243413900.0,1201096400.0,1162317700.0,1208783200.0,1226828000.0,1059647360.0,1310183400.0,1347224300.0,1136702700.0
2039.0,1278631800.0,1198800100.0,1167237200.0,1116861600.0,1155393900.0,1203999600.0,1008559600.0,1262513400.0,1302796000.0,1099603700.0
2040.0,1263878800.0,1240098600.0,1094235900.0,1089088500.0,1219333000.0,1148833800.0,972507970.0,1226547100.0,1355829900.0,1054082300.0
2041.0,1234308400.0,1150676600.0,1069530000.0,1023529340.0,1098712700.0,1090240600.0,1048625000.0,1182408200.0,1240144800.0,1025514750.0
2042.0,1201966300.0,1116754800.0,1027410000.0,968636300.0,1032775500.0,1101303600.0,910164500.0,1146120100.0,1262549600.0,981537200.0
2043.0,1153321900.0,1097828600.0,988790600.0,927604900.0,1015196800.0,1044428900.0,863257200.0,1117316600.0,1227512800.0,947347400.0
2044.0,1113080200.0,1057813100.0,976149570.0,869045200.0,980081900.0,1000283300.0,816336600.0,1062604500.0,1184208000.0,902642200.0
2045.0,1045857900.0,1026776770.0,942801900.0,809421630.0,934975900.0,975826500.0,768523400.0,1040755260.0,1122151600.0,883077440.0
2046.0,1027856000.0,984971840.0,919419200.0,784293100.0,895278900.0,982773500.0,719836860.0,982865660.0,1093503600.0,844758460.0
2047.0,977228300.0,954801860.0,898341700.0,744874400.0,870664300.0,930668600.0,687188350.0,938330600.0,1060573060.0,833699140.0
2048.0,954150600.0,923472000.0,869925600.0,719627650.0,822199700.0,916441600.0,660721150.0,888732300.0,1030648600.0,802020100.0
2049.0,924440500.0,1267104800.0,851959400.0,663247200.0,788864700.0,882853800.0,629008100.0,859893950.0,994403200.0,762371650.0
2050.0,883588700.0,974930400.0,832525300.0,624202600.0,762550140.0,864806500.0,604832640.0,823734340.0,962583300.0,724709900.0
2051.0,856092900.0,885548860.0,807520830.0,586953800.0,719260100.0,829615000.0,574438460.0,783236540.0,961947600.0,698328400.0
2052.0,817135900.0,868015170.0,786436860.0,549908100.0,694238500.0,801421000.0,530326460.0,750676030.0,920584770.0,687558200.0
2053.0,867966140.0,854528450.0,756105200.0,522755360.0,657733700.0,766153400.0,491277600.0,719198140.0,894827000.0,656972700.0
2054.0,768750400.0,819558900.0,729305900.0,474806850.0,623764500.0,743590100.0,436881600.0,653529660.0,894851840.0,641971100.0
2055.0,715815000.0,828664640.0,705557570.0,439485000.0,610495000.0,724763970.0,391065730.0,612580740.0,863254700.0,621252600.0
2056.0,683195700.0,831598340.0,682492540.0,437874700.0,586683900.0,704822300.0,334197860.0,581488700.0,829910100.0,598383400.0
2057.0,657982400.0,766587300.0,653345000.0,452351200.0,551934700.0,692568770.0,316770080.0,536945340.0,811537100.0,573034100.0
2058.0,622241800.0,754914750.0,680802200.0,387254050.0,527420700.0,760666900.0,294312500.0,500429700.0,793557900.0,541183200.0
2059.0,611866900.0,721452000.0,611701700.0,345038880.0,510362800.0,681073150.0,272175650.0,455773400.0,772704300.0,505017600.0
2060.0,570956200.0,697749600.0,576486300.0,327118400.0,503899970.0,655843900.0,253632540.0,408374080.0,748762400.0,481010900.0
2061.0,532400700.0,683645440.0,551179700.0,316607650.0,469696770.0,639110200.0,244824110.0,376729100.0,720822460.0,473745900.0
2062.0,600039500.0,656785150.0,528730720.0,305544200.0,449488770.0,631932400.0,224883650.0,338466800.0,699167900.0,454105500.0
2063.0,571901500.0,627509600.0,510211330.0,279339170.0,433792930.0,606721540.0,203030530.0,297444540.0,669244160.0,433557950.0
