time,EC-EARTH3-VEG,MRI-ESM2-0,CESM2-WACCM,INM-CM4-8,CANESM5,EC-EARTH3,MPI-ESM1-2-HR,ACCESS-CM2,ACCESS-ESM1-5,CESM2,INM-CM5-0,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,IPSL-CM6A-LR,CAMS-CSM1-0
2000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0
2001.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0
2002.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0
2003.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0
2004.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0
2005.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0
2006.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0
2007.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0
2008.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0
2009.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0
2010.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0
2011.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0
2012.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0
2013.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0
